-0.912849649487496-0.408295869965097i,0.935458990979877-0.353435250356993i,0.857156430598937-0.515056165367322i,0.913109833222834+0.407713664808733i,0.0668745025059242-0.997761394780628i,-0.640803206799901+0.767705184400212i,-0.941536036082165-0.336912292382875i,-0.465283532600289+0.885161699516533i,-0.501657154247457-0.865066528997824i,0.10415605159137-0.994560966918014i
0.990455593515832+0.137832206951792i,-0.999884467585442+0.0152003776721793i,-0.788715720088341-0.614758092980914i,0.651742911303064+0.758439963059836i,0.837693951640133-0.546139948534749i,-0.992163218215171+0.12494858310887i,-0.936348683688732+0.351071420873843i,0.590006830245016+0.807398253815444i,0.748908695134026-0.662673197249331i,0.00756700113336825+0.999971369837081i
0.999981851951846+0.00602459682939146i,0.428916601749428+0.903344092106503i,-0.519660542996519-0.85437282263223i,-0.0414493041296086-0.999140608316553i,0.703705829244431+0.710491453775067i,-0.218536306040027+0.975828818462736i,0.913691019432417-0.40640954837276i,0.646351161199786+0.763040088341162i,0.30767332956758+0.951492050556808i,0.829895149741564-0.55791938524793i
0.88141579814126-0.472341180490337i,-0.999654738214885+0.0262755468930763i,0.999078541535903-0.0429193178241852i,-0.475234913792564+0.879858952737638i,-0.0695080982905563+0.9975813872923i,-0.591332293248692-0.806427999861887i,0.940605786098225+0.339500743973472i,0.963200032090198-0.268785598910065i,-0.553582464401014+0.832794365439452i,0.605150942394479-0.796110756690973i
-0.82318091064501-0.567779172169649i,-0.150184599508916-0.9886579722383i,0.64201848150767+0.766689160874592i,-0.596095756854305-0.802913350655158i,-0.799598396127412-0.600535098816439i,-0.364358421191875-0.931258793733817i,0.0415779255148647-0.999135264170913i,-0.659070788927941+0.752080909996991i,-0.976423397911218-0.21586418881211i,0.881936574204934+0.471368092980067i
-0.990412039554293-0.138144822218954i,0.827094142198648+0.562063412739776i,0.237214552802817+0.971457284670077i,-0.993577218471833+0.11315613520166i,0.993599933579+0.112956504867166i,0.615542717797219+0.78810352274737i,0.453197421395037-0.891410173399928i,0.00125738850925766+0.999999209486756i,-0.817474169159371-0.575965261762544i,0.921597030133634+0.388148056866019i
-0.783870121690896+0.620924820183812i,0.598698817443087+0.800974235535856i,-0.993856184868589+0.110679193159565i,-0.82411786282244-0.566418350847652i,-0.366841701603447+0.930283379387532i,-0.959528031620868+0.281613132743811i,-0.0959094020399434-0.995390067561627i,-0.538924315595225+0.842354190385623i,-0.982464609583646+0.186449164427341i,-0.866439956911759+0.4992812845148i
0.992221183614267+0.124487440278542i,-0.787761459535639-0.615980424096642i,0.580094400592827-0.814549253514389i,0.00824611640403279+0.999966000204133i,0.644150359792844+0.764898891343653i,-0.783217258255323+0.621748121324878i,0.363655984206243+0.931533319399252i,-0.735842964358997-0.677152222032361i,0.467139047790937-0.884183866641422i,0.999584694546831+0.0288173286013524i
0.959246359073492+0.282571093008908i,0.432823243599304+0.901478807183052i,-0.946797766018405+0.321829132091172i,-0.280109091036584+0.959968175055121i,-0.815485358352708-0.578777703710463i,0.97058504536704+0.240758529879755i,0.692538054013322-0.721381344188663i,0.331190686665877-0.943563844721588i,0.789739091307328-0.613442880520326i,0.214864266108473+0.976643920346442i
-0.768122511983105+0.640302902214854i,-0.809321094277989+0.587366466830272i,0.00720607934510581-0.999974035873168i,0.155365444113855+0.987857063939569i,0.604277703913668+0.796773780035981i,0.412142472171133+0.911119411840548i,-0.822515864160824+0.568742167597737i,0.932352075090008-0.361551667228015i,0.729972065855256+0.683476980644564i,-0.524957391275682-0.851128508126141i
0.944113716154251+0.329619918951223i,0.955555467603927+0.294811377548833i,0.999753592429193-0.0221980725497417i,-0.497840576977289-0.86726856273874i,-0.421493052696292-0.906831630750031i,-0.962849829533763-0.270037415494231i,0.3220224164298+0.946732044095219i,-0.0748750375790674+0.99719292453744i,0.927691079362356+0.37334871269566i,0.750853663578509-0.660468603258876i
0.321638068061081-0.946862689714795i,0.818109832950352+0.575061997727156i,0.840731808925433-0.541451775748283i,0.185515885018743-0.982641265368859i,-0.519836763522026+0.854265614016475i,0.803027316277755-0.595942219776168i,-0.825959045083368+0.563730126784946i,-0.295280522346133+0.95541059923103i,0.938437962161083-0.345447812520145i,0.623028589296815+0.782199064764732i
-0.999261516049681-0.0384242441967651i,-0.0625985357297968-0.998038788486943i,0.960770439080975+0.277344845613092i,-0.230243893056429-0.973132955823725i,0.978578765326731-0.205872776373203i,-0.712309319351327+0.701865680572322i,-0.900953193414821+0.433916286022588i,0.167889471628286+0.985805825361351i,0.482554345885936+0.875866030433077i,-0.991706460057508+0.128523527341135i
