0.99160619883637-0.12929480433987i,-0.213156870766302-0.977017987779712i,-0.849575354698232-0.527467265988491i,0.949103147685143-0.314965418822691i,0.26571970310673-0.964050330315213i,0.980851390992274-0.194757666828604i,0.817084409803032+0.576518054580107i,0.356468467858558+0.934307353830939i,-0.622912830645919+0.782291253572919i,0.844482194781073-0.535583628108385i
-0.801155715989679-0.598455945527375i,0.224992250981665+0.974360552874655i,0.844856411378615+0.534993125331951i,-0.367626159345706+0.929973659285426i,-0.993494843227437-0.113877111310788i,-0.992968265360288+0.118380842991508i,-0.718185116720606+0.69585209500368i,-0.813225318257076+0.581948951150939i,-0.825581083094495+0.564283506082289i,0.404629786689759-0.914480582474773i
-0.463303638499307-0.886199604238968i,-0.702780758353081+0.711406498205258i,0.986235336480568-0.165347697525729i,-0.195422032732359-0.980719240722212i,0.864437849604057+0.502739698225546i,0.957516276690939+0.288379229265772i,-0.990823451559046+0.135162449817315i,-0.998755561844771+0.049873115845475i,0.198407533183108+0.980119610443641i,-0.886061038433982+0.463568588419549i
0.634611156387639-0.772831598854721i,-0.0781574260232367+0.996941029729152i,0.687651116776199+0.726041280917584i,-0.951573933989085+0.307419986586i,-0.999968912053621-0.00788510788110555i,0.829685692405326-0.558230823063269i,-0.821453659063742-0.570275272136878i,0.992936940183865-0.118643300772965i,-0.841969938704711+0.539524440889924i,0.284217291944232-0.95875989223574i
0.327682404577376+0.944787934792983i,-0.983846842294739+0.179012264682261i,-0.351591658037029+0.936153462846115i,0.816853563683807-0.576845087954353i,0.364102789904638-0.93135876996121i,-0.209177869144413+0.977877609448239i,-0.168675701683105-0.985671602341121i,-0.528476853050218-0.848947710869249i,-0.352497858287931+0.935812620080763i,0.0384499585833289-0.999260526932261i
0.287128921361114+0.95789194720386i,-0.99689163667987-0.0787849269703896i,-0.917867972674973+0.396885858575907i,0.991247014089069+0.132020290332603i,-0.954458188435426-0.298344710910994i,-0.237536630427674+0.971378581813016i,-0.992982768585512-0.118259127733341i,-0.880117151884865-0.474756568104196i,0.666941153444675+0.745110393057221i,0.418160728535604-0.908373053932454i
-0.616584023104543-0.787289109827017i,-0.617322803237239+0.786709957101928i,0.829650604146873-0.558282970400074i,-0.859024539663973-0.511934410110416i,0.992801142216468+0.119774337876179i,0.489296051475829+0.872117752376457i,-0.0878128478730902+0.996136990452828i,-0.940600403872986-0.339515655359184i,0.595499958101217+0.803355338503111i,-0.883825143828325-0.467817395077225i
-0.493840898494815-0.86955227960936i,-0.790252660860453-0.612781145273722i,-0.894107214699077+0.447852976570501i,-0.0387014484730472-0.999250818306439i,-0.946958582001783+0.321355634730701i,-0.0621256333538398+0.998068337179566i,-0.633658175363174+0.773613157072327i,0.917622886379546-0.397452183781232i,-0.763999892964266+0.645216369561862i,0.200381461676152+0.979717954217707i
0.99532971598648-0.0965337064152857i,-0.956376962956027+0.292135421897117i,-0.775865496190676+0.630898353002127i,0.935678601757992+0.352853445798974i,0.959211454202561+0.282689557866237i,0.163661929613154-0.986516483792997i,-0.985905407314849+0.167303699383312i,0.594826479724609+0.80385412794762i,-0.530350100011714+0.847778727863329i,-0.371433973542458+0.928459370838843i
0.84755366070078+0.530709706179101i,0.589033198238259+0.808108836341497i,-0.709349400276918+0.704857026869121i,0.974795507404012+0.223100243713345i,-0.304413847458793+0.952539872905767i,0.721205867624844-0.692720792602255i,-0.265341618822398+0.964154461339421i,0.548724895965263+0.836002983575963i,0.62881605958926+0.777554090210216i,0.820329036595195+0.571891835681188i
-0.74535172867902+0.666671433732687i,-0.267907845924097-0.963444542302415i,-0.998686760138335-0.0512323640328711i,0.959287934220498-0.282429919199382i,0.941341606838581-0.337455151441726i,0.174935075192382+0.984579971087893i,0.706452736795374-0.707760221172627i,0.861670484793898+0.507468201599912i,0.0664090129285762+0.997792484939555i,-0.633903982416624+0.773411753903666i
-0.480279646298875-0.877115420769141i,-0.991032323171489+0.133622357520444i,-0.361490582911913-0.932375760338076i,-0.795096169333394-0.606483372823495i,-0.579375556842537-0.815060711930958i,-0.605986907303528+0.795474618185084i,-0.344113092058186-0.938928208051156i,0.793941194294513-0.60799455589849i,-0.714375676905541+0.699762382702693i,-0.913395608205665+0.407073043704203i
0.898249771997134+0.439485320695807i,-0.909742862974335+0.415172160997412i,0.996310980934923-0.0858162529390014i,-0.61676427197477-0.787147910379893i,0.978721885611849+0.205191302506676i,0.783246140656566-0.621711736375142i,0.780501906563531-0.625153400255243i,-0.379596282292069+0.925152237456107i,0.299567292111517+0.954075173923404i,-0.705540891968397+0.708669210393989i
