-0.803050392784852+0.595911123111572i,0.605109993628171+0.796141881583499i,-0.997862946702009-0.0653417140820668i,0.780434449223707-0.625237611204643i,0.695518184465712+0.71850849339275i,0.919803048499556-0.392380366444249i,-0.999826129201627+0.018647020289884i,-0.989402622036952+0.145197973492764i,-0.945910259235608+0.32442839190309i,-0.621000252703412-0.783810363635426i
0.260848864171057-0.965379650738853i,-0.91812918133462-0.396281221333816i,0.969275077207322-0.245979317636139i,0.0359818341967447-0.999352444139623i,0.0529263781571706-0.998598417030171i,-0.207808367021884-0.978169557181012i,0.407719378023554+0.913107282187633i,-0.220187065652757-0.975457664954881i,0.0722493087437825+0.997386603773103i,0.987363595878503+0.158471226201706i
-0.261140494224431+0.965300804037902i,0.841066235819687-0.540932146358583i,-0.971120324911395-0.238590264981593i,0.681657168213858+0.731671719436158i,-0.801538968748883+0.597942540364019i,0.530587293515684-0.847630299104333i,0.767806073242965+0.640682319009366i,0.0290602234096199+0.999577662523219i,0.633803231191238-0.77349432068474i,-0.927837636457728+0.372984343334324i
-0.906473611395316-0.422262467955575i,-0.531605416856239-0.846992137371478i,-0.0877773403873438+0.996140119920147i,0.796918100665177+0.604087361920614i,0.466076664104701+0.884744337747936i,0.993983868203759-0.109526570980254i,-0.924755810385366-0.380561021596411i,0.0868563496141982+0.996220846264369i,0.859999093915359-0.510295559910884i,-0.979043078317817-0.203653261201418i
-0.145693256357702+0.989329811059936i,0.0370902385514223+0.999311920375314i,0.831289890576318-0.555839111457276i,-0.653858732254737+0.756616652112698i,-0.779708151568117+0.626143113336104i,-0.908305802931873+0.418306787370567i,0.989564241356648-0.144092373941999i,-0.267819195510893+0.963469189188683i,0.45527615423613+0.890350281284821i,0.335086141105106-0.942187496223172i
-0.989637421425806-0.143588906652576i,0.696340336211722+0.717711736120112i,0.859181763412594-0.511670496920847i,-0.243894741056071+0.969801709260812i,-0.515842978550002+0.856683151159553i,-0.42971857749844-0.90296286975308i,0.305056257084847+0.952334332056439i,-0.999967860175224-0.00801739462569796i,0.999735280777082+0.0230080066404931i,-0.625589514798191+0.780152394711805i
-0.528300625838101-0.849057388366105i,-0.263439711244566-0.964675861903562i,-0.999662900497922-0.0259631540472549i,0.962952493784023+0.26967108616819i,0.29548883531154+0.95534619285693i,0.0480027270383578-0.998847204629858i,0.827178909200463-0.561938655169701i,-0.733616868981141-0.679563307975281i,0.44981802115155+0.893120231462317i,0.873281566834553+0.487215871074608i
-0.911564982437518+0.411156032174754i,-0.978375497275947+0.20683661747873i,0.344153231781045+0.938913496044583i,-0.507433746737548-0.861690775552282i,0.757713155474006+0.65258775197028i,0.754704413474471-0.656064972607252i,-0.820814903688563-0.571194269826593i,0.993890570638287-0.110369985033524i,0.101979032338258-0.994786548443108i,-0.983590667102047+0.180414521560075i
-0.390793862290494-0.920478222010754i,-0.289035980715937+0.957318234367014i,0.97770254862242-0.209994586637906i,-0.263184450133817-0.964745533914389i,-0.632410052507711-0.774633800893813i,-0.748122645249755+0.663560477774641i,-0.339784944970108+0.940503158512326i,-0.967900325857852-0.251334357389242i,-0.821319409444257+0.570468603579668i,0.866446609076873-0.499269740340018i
-0.386006156536083+0.922496204391238i,0.904917063645528+0.425587955566361i,0.839538669473791-0.543299937841131i,0.313806907686618+0.949486821755922i,-0.242166982195047+0.970234586445229i,-0.994579272101469-0.103981111294849i,-0.832228736619154-0.554432439477784i,-0.595289527680223+0.803511280713754i,-0.950791541317269-0.309831316944449i,-0.634176392515245-0.773188400828899i
0.960147089038212-0.279495201052626i,-0.964855263454866+0.262781887852722i,-0.90492889463042-0.425562798730065i,-0.962998303408257+0.269507453761149i,0.206756953657212-0.978392335474062i,-0.684918823437813+0.728619383011845i,0.926469421414854+0.376370045544575i,0.938192200364576-0.346114713895662i,-0.518411269181405+0.85513142614789i,0.819073334526279-0.573688829129522i
0.0383579274073424-0.999264063901536i,-0.291899217496322+0.956449082191538i,-0.553309813119731-0.832975540280391i,0.228033640378637+0.973653253913151i,0.817293437577323-0.576221690751956i,-0.809407626486314+0.587247217265261i,-0.0766286102404541-0.997059705380082i,0.703841725616862+0.710356829544615i,-0.958449428127154+0.285262499678333i,-0.990743065012227-0.135750429576405i
0.874022930786917-0.48588467403145i,-0.837519238137526+0.546407838294381i,-0.445756849207837-0.895154082482061i,-0.0751443878769163+0.997172663569657i,-0.289897818727667-0.957057602601296i,0.602767108756105-0.797917171517073i,0.873165497843871-0.487423853924964i,-0.526127473438358+0.850405715934089i,0.860459102470366+0.509519511869655i,0.112897229348151-0.993606670471526i
