-0.919016964433237-0.394217984221823i,0.760246388555978+0.649634842575114i,0.984445436845387+0.175690585616574i,-0.593671202374342-0.804707713068169i,0.381714259276467+0.9242803818458i,-0.9381546803999+0.346216400021377i,0.878083156536324-0.478508067024168i,0.284000486585738+0.958824135918086i,-0.14863193136691+0.988892587179286i,-0.355489952728645-0.934680102232301i
-0.581696433766691+0.813405961954493i,-0.887511825983941-0.460784937621284i,-0.856819815667183-0.515615945719345i,-0.996387831258552-0.0849193129969764i,-0.993060268560848-0.117606560216074i,0.803428871886318-0.595400745565101i,0.853569782068997-0.520978528481439i,-0.992681548252474-0.120761516051563i,-0.983657075228442-0.180052098996448i,0.294005807546173-0.955803633142877i
0.371734186618426-0.928339213056918i,-0.756314155677936-0.654208604285492i,-0.741888588006958-0.670523171102268i,0.103192218665429+0.994661432853866i,-0.868358827884337-0.495936433462334i,-0.555808863363153-0.831310115063542i,0.237018758509411-0.971505073643292i,-0.669402109932588+0.742900272726965i,-0.969393830400815-0.245510899108035i,0.84598028647787+0.533214173565202i
-0.833485437951306-0.552541423535937i,-0.251056568837014+0.967972416571767i,-0.0157246704544196-0.999876359726091i,0.983156596518492-0.182765168241036i,0.806374333324002-0.591405473897792i,0.170527557524694+0.985352907401537i,-0.0483143786888549+0.99883217850243i,-0.795380400045202+0.606110566830785i,-0.658902867496658-0.752228031387213i,0.135250263553691+0.990811468549218i
0.752006773987617-0.659155377643798i,0.68110223501808+0.732188326493516i,-0.530498178605094-0.847686075441067i,0.116578635524083+0.993181464657564i,-0.591608243764725-0.806225580039246i,0.899598589043795-0.436717733313421i,0.469020121629431-0.883187480383816i,0.976717889481545+0.214527770618904i,0.640357366004801-0.768077107980308i,0.348959212353936+0.937137913070067i
0.28658856106357+0.958053754581398i,-0.808234449350984+0.588860828109929i,-0.196876019500822-0.98042839256394i,-0.256150422368806+0.966636933455515i,-0.760800828020624+0.648985439037836i,0.1847793039598-0.982780040918685i,-0.751947535732049-0.659222954323118i,0.994713015479638-0.1026938013485i,0.857055428507866+0.515224215720883i,-0.996979180318139-0.0776692604070096i
0.133422211795482-0.991059288539087i,-0.998894404434451-0.0470103051419854i,0.687124930657079+0.726539282950003i,-0.314092637852016+0.949392339787489i,-0.97521543945867-0.221257421664072i,0.496500942666634-0.868036182385933i,0.761802234427006+0.647809660025243i,0.984436058218732-0.17574312868151i,0.728895783147181+0.684624668932005i,0.472962410256192-0.881082605936954i
-0.979232934634169+0.20273840220282i,-0.948785894129547-0.315919811187579i,0.191428037890801+0.981506651179338i,-0.309136730012547+0.951017603494883i,-0.986251396977962-0.165251874298047i,0.474948952174611+0.880013348096629i,-0.65592179621098+0.754828852956325i,0.81447802571305+0.580194403308557i,0.899008887762758+0.437930382279615i,-0.665573923834945+0.746331931456074i
0.291455261926078+0.95658446061788i,0.633060631124587+0.774102213741919i,0.942346949399287-0.334637455999559i,-0.057462918595287+0.998347641348699i,0.515175937347977-0.857084449501701i,-0.771093233966982+0.636722250695184i,-0.999980370977347-0.00626559334845332i,-0.848507619373442-0.52918316287011i,0.933306911154434+0.359079670256294i,-0.999491935783913+0.0318727203565517i
0.048704086845815-0.998813251776585i,0.183959092383107+0.982933900285051i,0.0892768907921738+0.996006845744788i,-0.889625912831505+0.456689977138442i,0.71920335439956-0.694799636600669i,-0.442610934694575-0.896713756161237i,0.977423492112681-0.211289652056726i,-0.274284794961491-0.96164850712354i,0.654986663492229-0.75564043740877i,-0.88507473331102+0.465448940759808i
-0.07860805219485+0.996905599407553i,-0.599755096476678+0.800183619083927i,0.464757382831515+0.885438069603742i,-0.993037186015391+0.117801303857948i,-0.224629844916647+0.974444166062234i,-0.956757754668435+0.2908858863572i,-0.315250918683178+0.949008355215808i,0.920742446764856+0.390170919886998i,0.99332827836557+0.11532099288201i,-0.422083356437316+0.906557025353954i
