-0.684352507816816-0.7291513183454i,0.974869550729837-0.222776477797378i,0.061990020078317-0.998076769297177i,0.828244737235314-0.560366536511599i,0.253144538464892+0.967428469007087i,-0.201889245305234+0.979408358464478i,0.323748264822698-0.946143256079275i,-0.990489294959554+0.137589812742533i,0.973533351223858-0.228544993502033i,0.980489652731744+0.19657070200308i
0.586103386410308-0.810236274452316i,-0.409711736497827-0.912215047549609i,-0.0266790396549758-0.999644051071724i,-0.46107902154012-0.887359079457468i,0.910635961559724-0.413209566097153i,0.737284999911376-0.675581844712898i,-0.078707958613216+0.99689771654415i,0.775097244150494-0.631841959757588i,0.0521874404635606-0.998637307062911i,-0.558240102992321-0.829679448589106i
-0.575174561179488-0.818030698795579i,-0.456721197285639+0.889609885258686i,-0.998104928249696-0.0615349673248423i,-0.886213558895079-0.463276945282752i,-0.960070244648953+0.279759048718178i,0.990766593154814-0.135578604095201i,0.997215067322998+0.0745795515137266i,-0.222018409500027+0.975042473866179i,-0.992119518870784+0.125295092783413i,0.340971539305578-0.940073619129685i
0.731577785585494+0.681757980252395i,0.304270083549182+0.952585805193933i,-0.457664832978955-0.8891247947585i,0.892674668044891+0.450701605312145i,0.75355859595521-0.657380743908743i,0.236147845019361-0.97171713749049i,0.27901425834237-0.960286959008429i,0.980682156714227+0.195608045597141i,-0.120200142822636+0.992749679257273i,-0.333295974959898+0.942822248928997i
-0.581089475626192-0.813839677895147i,0.105703841244728+0.994397655843028i,-0.942473761976247-0.334280133998926i,0.614227857147823+0.789128721758113i,-0.418923437427523-0.908021560082088i,-0.377857989004166-0.925863564541627i,-0.825444734350728-0.56448294086948i,-0.999306722075181-0.0372300310953103i,-0.264953785541163-0.964261111695068i,-0.995214803025233-0.0977112881884544i
0.225193860700809+0.974313976653658i,0.892856850042143+0.450340588147263i,-0.222577908099188+0.974914906453989i,-0.863430830575411+0.504467244538093i,-0.423324266760942-0.905978236588115i,0.956653536262841+0.291228452517609i,-0.923410483744897+0.383813859194812i,-0.99603354064184+0.0889785699844589i,-0.55432042370188-0.832303350868521i,0.0900528198128265-0.9959369908i
-0.0932034277874559+0.995647086596786i,0.130361915451991-0.991466474975169i,-0.124771682184805-0.992185480303342i,0.967794430677436-0.251741812080827i,0.903970935141337+0.42759390596651i,0.989577318766814+0.144002535332834i,-0.998244016293692+0.059235833191066i,-0.919694422371884-0.392634906061658i,0.0961563953312176-0.995366237943053i,0.579034484042747+0.815303051809172i
0.061010072033459-0.998137150451015i,0.484249968462094-0.874929693200809i,-0.897488317207805+0.441038230174553i,0.892093447181261+0.451850950531538i,-0.294471302706708-0.955660322437954i,-0.963991329807531+0.265933668526398i,-0.908445809410077+0.418002645165398i,0.490083228258271-0.87167564459491i,0.629807403944032+0.7767513333991i,0.349155432943232+0.937064823609458i
0.788370979646098+0.61520012878075i,-0.286812274643632+0.95798680529209i,-0.636873796160206+0.770968071819118i,-0.630096296120282-0.776517004073641i,0.421253900053883+0.906942749951392i,0.897936342522288-0.440125351209965i,-0.714939163871417+0.699186664605983i,0.981230257952393+0.192839780332481i,-0.304488772884664-0.952515924899522i,-0.23955246136317-0.970883421557319i
-0.820048399687924+0.572294174502305i,-0.464301598362164+0.885677156619917i,-0.873910465974958-0.486086923769228i,-0.0704163234063392+0.99751768976692i,0.874396589074239+0.485211917635312i,-0.204241261848372-0.978920582559476i,0.730013967052064+0.683432226273321i,0.534523296349462+0.845153740842283i,0.0845116430694279-0.99642249181043i,0.613230759096173+0.78990381445992i
-0.836060892918197+0.548636658757714i,-0.975903760555556+0.218201398101669i,-0.956467377964432+0.291839262077336i,-0.904494400715934-0.426485496908773i,-0.72963253271312+0.683839430865637i,0.983821035012787-0.17915404284126i,0.686124262765545+0.727484361374482i,-0.846835501429018-0.531854898933406i,-0.720962673756927+0.692973897812365i,-0.999993558770348-0.00358920852202741i
-0.795263961699037+0.606263334882419i,-0.0934126645301528+0.995627477576517i,0.983664224894547-0.180013034701966i,0.811460566645996-0.584407177213421i,0.965109395502106-0.261847006310096i,-0.696710830080427+0.717352088760215i,-0.995025694040548-0.0996186137181445i,-0.760891184521688+0.648879499843524i,0.874608858662902+0.484829190899615i,-0.518384160538879+0.855147859789406i
0.575771543455711-0.817610622329864i,-0.567441998382478+0.823413370350336i,0.865784170143497-0.500417596342231i,0.964255221552076+0.26497522093501i,-0.472966095919971+0.881080627474138i,-0.980894907536112-0.194538377626942i,-0.465863699707365+0.884856493051255i,0.606145888692929-0.795353482183023i,0.972010311436937+0.234938192851373i,0.0395187554831485-0.999218828868363i
-0.995683835676986-0.0928100176250643i,0.80893464917413-0.587898574046176i,-0.960928882837397-0.276795379529488i,0.975066828263978-0.221911424715416i,0.997939393438008+0.0641635957890579i,-0.779118489338994-0.626876686095538i,-0.445059057293041+0.895501220279141i,0.914558417851978+0.404453829671679i,-0.576587501263937+0.817035405221958i,-0.479533224381412-0.877523724302863i
-0.759074220867099-0.651004091550128i,-0.938533977651353+0.345186866485285i,0.81276001185927-0.582598629523379i,-0.641419986398983+0.767189938051802i,0.75354734010198-0.65739364632253i,-0.743675908399016+0.668540307884946i,-0.268053160701342+0.963404122389987i,0.193424940227762+0.981115076073081i,0.567961081380433+0.823055411279926i,-0.692686007338529+0.721239277381236i
-0.274392732919632+0.961617714125991i,0.853442919068828+0.521186323584261i,0.90351054018284-0.428565868657915i,-0.843427092735096+0.537243649790692i,0.0889085030987559-0.996039797436196i,0.852844782797409+0.522164510911302i,0.0162262103295966-0.999868346382832i,-0.976403768275729-0.215952960843226i,0.999989445671538+0.00459440371875725i,0.659185427197156+0.751980433635678i
0.998545184487632+0.0539213736523916i,-0.419040978397699+0.907967322332417i,0.801899750286115+0.597458609856002i,-0.527772032551088+0.849386061609733i,-0.289188965103207+0.957272031589002i,0.426482960505409+0.904495596671726i,-0.431617922933226-0.902056521844839i,-0.0216657048980603+0.999765271066799i,0.990537713025032+0.137240806887527i,-0.125422172082444+0.992103461716631i
0.768357066964338-0.640021419677466i,0.368595861701529-0.92958974323973i,0.0719270450133863+0.99740989577788i,0.936611155296609-0.350370580634208i,-0.781588026287213+0.623794964042239i,0.323418303995251-0.946256096752267i,-0.997659591798408+0.0683764498393502i,-0.183890802491496-0.982946678492294i,-0.999069049317386+0.0431397113580351i,0.749854025563999+0.661603310409995i
0.124905667289256+0.992168621898025i,-0.73868670320183-0.674048925904353i,0.999472301027402-0.0324826027126864i,-0.659358691299941+0.751828515159693i,-0.769390018201463-0.638779304526965i,0.468259907670844-0.88359077568074i,-0.661725878679801+0.749745864600429i,0.97944829322025-0.20169541617979i,-0.518947810064663-0.854805925593108i,0.828711853271905-0.559675499058735i
0.763626201501676+0.64565859738729i,0.943732687341401-0.330709260292749i,0.960264114673614-0.279092869973601i,0.925281210576812-0.379281796760021i,-0.988218825939203-0.1530475483611i,0.159988859749043-0.98711881997873i,0.703423678687363-0.710770798684032i,-0.99636944204138-0.0851348046697013i,-0.467126749335412-0.884190364149786i,0.00745330401510926+0.999972223743869i
-0.19740122576598-0.980322781570483i,0.951012335775675+0.309152934973121i,0.916916269935497+0.399079633566503i,-0.999994866266169+0.00320428483543495i,-0.443663901310364+0.896193250741193i,-0.943093118250489+0.332528751100666i,-0.0488638145985154-0.998805450336992i,0.970745516486965-0.240110687434889i,-0.712106391148897+0.702071568776926i,-0.992337988056086-0.123552893372837i
-0.54635789547382-0.837551819324284i,-0.980684838920868+0.195594597856769i,-0.460149601472923+0.887841395894734i,0.348352838566131+0.937363483320595i,0.271073462677735+0.962558662021127i,0.582074004937182+0.813135814471599i,0.989984076582309-0.141179064005513i,0.780348558194381-0.625344807065631i,-0.820731737491813-0.571313762370266i,0.894202318370958+0.44766305835975i
-0.871660248717852+0.490110610786108i,-0.978412854126153+0.206659833738238i,0.511026546462732+0.859564929956064i,-0.994630089492835+0.103493889073098i,0.534074423524742-0.845437466721646i,0.135479506206012+0.990780148871673i,0.403227712820594+0.9150996730485i,0.753256702944903-0.657726644943456i,0.458278307734717+0.888808749203001i,-0.97307143198587-0.230503770582975i
