0.345458249236981+0.938434120241863i,0.740176922224284+0.672412168098248i,-0.781837427014071-0.623482347560873i,-0.348506995037541+0.937306179649907i,0.652879923572958-0.757461421720848i,-0.40312772741367+0.915143723898214i,0.254937965845525-0.966957410422272i,0.940063545916764+0.340999310319538i,-0.969231800521483-0.246149785411007i,-0.160763918307659+0.986992888814488i
-0.99660140975272-0.0823749359871792i,-0.95355841649365-0.301208144534843i,0.100989636538106-0.994887477713888i,-0.260438566946108-0.965490420898653i,-0.692451500403943+0.721464427112195i,-0.891926365793243+0.452180669647497i,-0.822833186987815+0.568282980909578i,-0.668714967697109+0.743518857849519i,-0.91209560660769+0.409977565736164i,-0.629694090126114+0.776843197086932i
0.757493594700493-0.652842595108289i,0.989575429965169-0.144015514474136i,0.84813397572609-0.529781803405001i,-0.990327589541937-0.138748929336615i,0.461711666543643-0.887030065430418i,-0.999596872759514+0.028391758828933i,0.44142607130762+0.897297622625804i,-0.040326554403664+0.999186553657488i,0.94181488798471+0.336131993077643i,-0.84382106554435-0.536624644741179i
-0.151088512195952+0.988520238276594i,-0.646604836130053+0.762825134544758i,0.947049742802011-0.321086880234377i,0.782045783907773+0.623220981572409i,0.199274603554391-0.979943688371041i,-0.993571221471641-0.11320877997466i,-0.000574566003294216-0.99999983493694i,-0.799176592660016+0.601096309874156i,0.991190420381208+0.13244451874096i,-0.0467037728974596-0.998908783421761i
0.864798931492234+0.50211832080685i,-0.520626265010392-0.853784687249267i,0.293368250762919+0.955999513307567i,-0.930993549527966-0.365035629408033i,-0.998272794733271+0.0587488493114918i,0.769311053974481+0.638874402549259i,-0.837600297156599+0.546283573067301i,0.929856364203431-0.367922739104798i,-0.323554951931992-0.946209381204967i,-0.0307372322718931-0.99952749964784i
-0.285266374783705-0.958448274774264i,-0.954483029811044-0.298265227277218i,0.25389681267511+0.967231310759438i,-0.99020805033224+0.139599488026369i,0.537241983061976+0.843428154400619i,0.0735112060013164+0.997294391136455i,-0.994560143966316-0.104163909458611i,0.977219906155834+0.212229251077187i,0.836811645301334+0.547490886031972i,0.721575786871005-0.692335456120435i
-0.00679975940889336-0.999976881368755i,0.903655735809792+0.428259630525763i,-0.834326331631024-0.551270870214561i,-0.996749149844678-0.0805675634726014i,-0.871616026578412-0.49018925142404i,0.926702785340823-0.375795087303654i,-0.901657872991959+0.432450089688528i,0.492652128897384+0.870226338312554i,0.890418147667224-0.455143408504254i,0.783898547391405+0.620888933222074i
0.93559325050285+0.353079693006425i,-0.88584670948111+0.463978024588977i,0.559542138302769+0.828801903631721i,0.30968961106197-0.9508377068671i,-0.875416819974973+0.483368794301934i,-0.958607995643168+0.284729188333383i,0.549893470886075+0.835234799728115i,0.956288510547957-0.292424835802246i,-0.989472329850919+0.144722176805748i,0.82976520563677+0.558112626191676i
0.916175270714193+0.400777835379871i,0.207252266584411+0.97828753339477i,-0.999208576292547-0.0397771424743156i,0.969670371441811+0.244416388051006i,-0.541592186082457+0.840641364658215i,-0.137124753303556+0.99055378553183i,-0.937014702561145+0.3492899185265i,-0.803962450565944+0.594680063630858i,-0.606478264171095+0.795100066084776i,0.653934863641199+0.756550853620936i
-0.942162933211407-0.335155198799718i,-0.926213481269778+0.376999452405594i,-0.910601077913258+0.413286434453409i,0.845158788497542+0.534515315239299i,-0.259763103514404+0.96567237200438i,-0.791158096899963+0.611611695203443i,0.69509449924999+0.718918380007359i,-0.332227091486312+0.943199427312456i,0.43155837550095+0.902085011811515i,-0.424985645029264+0.905200089217329i
-0.0996223390816395-0.995025321062687i,-0.880782172675713+0.473521661908567i,-0.828220519817857+0.560402329182025i,0.277966468188266+0.960590777887724i,-0.967995869968181+0.250966124655391i,0.830309794560955+0.557302112911968i,0.348195161819635+0.937422065712877i,0.922622037147792-0.385705297564422i,-0.275053178289048+0.961429014079091i,-0.926885717066858-0.375343665854983i
-0.587334028554676-0.809344635431492i,-0.976593136513795+0.215094969058201i,0.594259597435712+0.804273293635655i,0.142190733788689-0.989839277471163i,-0.340836157026945+0.940122712236601i,0.444325289664272+0.8958655239291i,-0.353553372685846+0.935414353461857i,0.873247520900653-0.487276889705293i,0.333891990764756+0.942611340109564i,-0.998526204451102+0.0542717147736756i
0.964478848148945+0.264160086828582i,0.208386989280324-0.97804645221926i,-0.0861874444872817-0.996278939059113i,-0.204371666382201-0.978893365990475i,0.256985174471044+0.966415345543564i,0.50969478892207-0.860355288323194i,-0.880804739031191-0.473479684569671i,0.679028259196155+0.734112132588094i,-0.493385861166511-0.869810549488209i,0.21765315094931+0.976026180940776i
-0.462594875095159-0.886569783793523i,-0.865816670126241+0.500361363148184i,-0.836270592290757-0.548316967154643i,0.733717279745931+0.679454894310308i,0.971638503695447+0.236471178236319i,-0.91862666914744+0.395126616075254i,0.955562263861897+0.294789348320334i,-0.72325038183006+0.690585899930394i,0.236117351869382-0.971724547465068i,0.847101405804056-0.531431282749513i
0.112351751470646-0.993668498012027i,-0.957745551489652+0.287616860774509i,-0.691630841171822+0.722251188673275i,-0.308450513803694+0.951240390508223i,-0.768911405237114-0.639355340085845i,0.145617582592453+0.98934095216964i,-0.287210381543394-0.957867525670277i,0.770068592445253-0.637961098288436i,0.997330599862657-0.0730183167266422i,0.35850330205726-0.93352845827754i
0.619484484497275+0.78500890024709i,-0.13879523229233+0.990321101205522i,0.786784753305416-0.617227471817429i,0.0185920490123345-0.999827152918705i,0.84726522343926+0.531170068010634i,0.233582017482721-0.972337102608299i,-0.143937264618741+0.989586814713128i,-0.188643330065411-0.982045667991989i,0.977518142579025-0.21085132422836i,0.834456555394602+0.55107373114582i
0.999074982366274-0.0430020884356604i,-0.427522860773813+0.904004537331409i,-0.375216946378536-0.926937022213681i,-0.0689713015936769+0.997618644350873i,0.711805727266223-0.702376399540163i,-0.953413062378939-0.301667917560376i,-0.236714801546103-0.971579179855656i,-0.361896592098399+0.932218245169855i,0.64053571668076+0.767928379249175i,-0.748185718223652+0.663489360160476i
-0.22386284950837+0.974620656773697i,0.656752882956947-0.754105861751345i,-0.0951925440349852-0.995458878889604i,-0.972514860309258+0.23284081789425i,-0.216856532789389-0.976203485030946i,-0.565814501049897-0.824532564791504i,0.257980757264402+0.966150055054227i,-0.243773953315465-0.969832078086175i,0.0531310487523678-0.998587548319362i,-0.832693279175646-0.553734505711636i
0.754659060795958-0.656117140424301i,0.191319264359044-0.981527859556271i,-0.965529359636133+0.2602941714304i,-0.967215217281422+0.253958113592088i,-0.945210965231573-0.326460152554638i,-0.820341240849624+0.571874329342819i,0.00153671766922775+0.999998819248705i,-0.974664547512937+0.223671678630538i,0.909595023373316-0.415495960816103i,-0.137564704813026-0.990492782401621i
-0.0637129082037551+0.997968268698068i,-0.823603975404946-0.567165312494664i,-0.725823115269142-0.687881389006126i,0.997452409603773-0.0713350585310355i,-0.66628427571241-0.745697836887294i,0.748657585863512+0.662956875768717i,0.836038571309488+0.548670672883827i,0.909975692364835-0.414661596130072i,-0.970246814961644-0.242117983753345i,-0.538486892942344-0.842633886174358i
-0.480091979838467-0.87721815467692i,-0.531909574671553+0.846801159879182i,-0.394669177885366+0.918823290969101i,-0.31535873519119+0.948972532868372i,0.686875786353083-0.726774830412993i,-0.995692369920919+0.0927184150062047i,-0.993844339834352-0.110785505275829i,0.978933984876119+0.204177014510845i,0.551993957740607-0.833848110040349i,-0.0853323061421387-0.996352546806834i
-0.595536880561847-0.803327967825511i,-0.10874578574805-0.994069592172519i,0.0509542232567365+0.99870098985247i,-0.968698919932574-0.248238599982888i,0.633421072196995-0.773807305016443i,0.956285251435501-0.292435493548477i,0.939302118668445+0.343091139298248i,-0.832520592024417+0.553994100921042i,0.715092319226282+0.699030024379194i,-0.849866745772927+0.526997641768286i
