-0.874442157560341-0.485129789933803i,0.208176752732364+0.978091222546143i,0.298839169140561+0.954303489979671i,0.427392201974221+0.904066317087207i,-0.0652439975049268-0.997869340539921i,-0.788203976366343+0.615414081444587i,0.346663168276084+0.937989684250732i,0.0120929664526386-0.999926877407731i,0.553761294147407+0.832675464454303i,-0.942102280999681+0.335325650875679i
-0.857897713045983+0.513820507522298i,-0.324424446064303+0.945911612570577i,-0.343513950242184+0.939147574127203i,-0.999910763395165-0.0133590885354418i,0.139730069378401-0.990189632197544i,-0.152911365990112-0.988239907183998i,0.804187840566625-0.594375232563395i,0.00851696605628464+0.999963729986841i,0.189692264566346+0.981843594858006i,-0.604875007783037+0.796320428570981i
-0.900428215577636-0.435004630540497i,-0.0184685599590531-0.999829441601436i,-0.982691871431636+0.185247633782967i,-0.754102340340221-0.656756926338354i,0.537111750771593+0.84351109487847i,-0.999838063053866-0.0179957680773375i,0.227992404325328-0.973662910647189i,-0.868456513517013+0.495765351885219i,-0.406844693862005+0.913497342676119i,-0.396115255968569+0.918200797205576i
-0.72202812833045-0.691863701822568i,0.523926482394962-0.851763488912997i,-0.952063648683149-0.30589999813032i,-0.181568045493098+0.983378383358011i,0.882128988888741+0.471007905413622i,0.23879979131449-0.97106882334269i,0.598827167992051-0.80087828218439i,0.987640373375112+0.156737018216726i,0.691571046438229+0.722308443622482i,0.335475004304456+0.942049107789464i
0.992505957279263-0.122196255119268i,0.920677271085072+0.390324688570099i,0.837411079760245+0.54657358470272i,-0.531353313648182-0.847150314923566i,-0.896245910541492-0.443557513562392i,-0.693969942636639-0.720003971320228i,0.486510313214293+0.873674833754601i,-0.977995186056579+0.208627457565291i,0.74618079937285-0.665743354940396i,-0.990129045130111-0.140158745676946i
0.772246810875049-0.63532264487685i,-0.423835926525983-0.905738984137186i,0.0876038360317949-0.99615539345652i,-0.94123497691966+0.337752451098502i,0.154593340412012-0.987978187562993i,0.475029644154514-0.879969793330678i,-0.991121956544959+0.132955884617764i,0.609752054174146-0.792592223296702i,-0.472459153457403-0.881352567542816i,-0.99991057642321-0.0133730758243521i
-0.224032292448068-0.974581721530043i,0.962900957898506+0.269855044937349i,0.857520037813015-0.514450565894495i,0.446663198279537+0.894702177991478i,0.999948958018974+0.0101035318957467i,-0.398484098338759+0.917175241364019i,-0.944237385444988-0.329265485479443i,-0.155562933206758-0.987825983568012i,0.907664500889774-0.419696502039888i,0.5899109127544+0.80746833684874i
-0.387366728750697+0.921925711463231i,0.96106108334315-0.276336016623405i,-0.731219387760329+0.682142365612494i,-0.161151439225999+0.986929690320131i,-0.953267514744259+0.302127531571196i,-0.531757505192372-0.846896661743087i,-0.959242525940631-0.282584105050228i,0.695061348201963-0.718950431000406i,0.649237687347803-0.760585580541254i,0.964482893248108+0.264145317262599i
0.458744023962394-0.88856846696177i,0.948841639673903-0.315752344125802i,0.997724522151995-0.0674223842397478i,-0.418036407622972+0.908430273549754i,-0.598835654268655-0.800871936814265i,-0.50235738723265+0.864660080894674i,-0.374615646922128-0.927180196661423i,-0.541653224059524+0.840602037153089i,0.0516334189977588+0.998666105383877i,-0.0211698252702806-0.999775894137294i
0.863794013491806-0.503845117328448i,0.185041339284144-0.982730737667206i,-0.853874642723945+0.520478716676345i,0.408019336874405-0.912973285883312i,0.596248450941953-0.802799965588764i,0.305032715993134+0.95234187252995i,-0.999341709207451+0.0362787573978299i,-0.215580134109558-0.976486152373553i,0.628640600225562-0.777695953279973i,0.449671353471772-0.893194085217129i
0.315464891019744-0.948937248996951i,0.913104631704938+0.40772531385602i,-0.711390522012478-0.702796930265645i,0.831794485622516-0.555083717729114i,0.998192657782062+0.0600950742572391i,-0.999087179195154-0.0427177757832798i,0.0895764391857512-0.995979950371894i,0.218641151425939-0.975805332483452i,0.623805809022235+0.781579370652856i,0.625931963975012+0.779877667634087i
