-0.66055717158359-0.750775747523512i,0.721928358340015+0.691967806638785i,0.0487735579581478-0.998809861807593i,-0.998159856381956+0.0606374563084014i,0.965876024807468-0.25900483528715i,0.78692130316428-0.617053370970641i,0.208797257536313+0.977958948650358i,-0.898348335757278+0.439283812178561i,-0.0907981738802576-0.995869314528774i,-0.952882379616359+0.3033400247522i
0.40500837968373+0.914312972885084i,-0.478469159747555-0.878104357790387i,0.946756438408055-0.321950689287808i,-0.821043387456532-0.570865795011317i,-0.403451176686644-0.915001173786221i,0.559889755519997-0.828567113554333i,0.496270856585301+0.868167746984471i,0.0800093543646328+0.996794112750549i,-0.206088004762853+0.978533460998072i,0.941113934713791-0.33808957672121i
-0.996074085522441+0.0885235344449906i,0.381772486247099+0.924256332812877i,-0.558913065609309+0.82922625687517i,0.01019135832607-0.999948066759204i,0.515343219515676+0.85698387738581i,-0.10430161681+0.994545711735172i,-0.947893038332959-0.318588744119925i,-0.9888761836309+0.148741028124676i,-0.0911995564916729+0.995832636990635i,-0.452756179353403+0.891634365677607i
0.405790027912475+0.913966330477657i,-0.320420772000487-0.947275318410974i,0.530684681422498-0.847569329850663i,0.828739814514271-0.559634094600081i,0.533669425232956+0.845693174012612i,-0.838235968629873-0.545307675441249i,-0.985767174911705+0.168116259970881i,0.420407456629319-0.90733542331955i,0.838065012509154+0.545570375669382i,-0.145842737657226-0.989307786218549i
-0.990547349788893+0.137171235418365i,-0.978758090232898+0.205018537707327i,0.477945995037824+0.878389222285488i,0.910426377938382-0.413671137927217i,-0.805549365681134-0.592528665509715i,-0.982587658782132+0.185799603899063i,0.374104087406009+0.927386721808177i,0.99995614500894-0.00936525807760542i,-0.829587856144662-0.558376207352447i,-0.955792826859107-0.294040936137601i
0.8085487512958-0.588429194362416i,0.962183472391058-0.272402212651596i,0.099987113287438-0.994988732185669i,-0.958955492847048+0.283556630566939i,0.182143271989649+0.98327200126359i,0.275116440615527-0.961410913243158i,-0.608869875938816-0.793270114257591i,0.608896169546508+0.793249932058988i,0.981300485091442-0.192482097763144i,0.113921550575495+0.993489748469744i
0.95820501916491+0.286082402896744i,0.518776539609074-0.854909879432467i,-0.903024442793853+0.429589170856123i,-0.645364465437487-0.763874797823954i,-0.783120149879519-0.621870429311991i,-0.924680917454962+0.380742959087426i,-0.118134044865531+0.992997657320353i,0.97809533416464-0.208157433894064i,-0.849361875511164-0.527810955199072i,-0.129849498518079-0.991533714875396i
-0.662351503094766-0.749193223640006i,-0.974019090509796-0.226465916469721i,0.92367488050934+0.383177132819871i,0.978631208565246+0.205623339196029i,0.439586301553645-0.898200358208784i,0.931198455897686+0.364512600240053i,0.99786149091774-0.0653639422267804i,0.478230878909875+0.878234152408734i,0.635263744311669-0.772295264237143i,0.53667376585227-0.843789825161422i
0.122305155858375-0.992492543473481i,0.896220193524109-0.443609473207696i,0.99871899661919-0.0506000572327624i,-0.603142781726975+0.79763323955979i,0.680563997225231+0.732688641703156i,0.0192846099047199+0.99981403461885i,0.73943733950273-0.673225386441365i,0.800641001352157-0.599144379055512i,0.911634602738219+0.411001643658916i,0.554761614725933+0.832009345396237i
-0.789284908132998-0.614027144182962i,-0.999058188673441-0.0433905017779495i,0.104027957280308+0.994574373339715i,-0.452144117642239+0.891944895653045i,-0.994896839293103+0.100897369463202i,-0.458538469839629+0.88867455892308i,0.0218941611756778-0.999760294123753i,-0.916772147071538-0.399410603707316i,0.984599410799232+0.174825628137884i,0.34492625007556+0.938629789644891i
-0.712390273600957+0.701783512259125i,0.997577720720757+0.0695607009853903i,0.0727941163291066+0.997346989080463i,-0.679019061458213-0.734120640069742i,-0.558727484141275-0.829351311848701i,-0.077934169344546+0.996958507285321i,0.682820202243547+0.730586457175386i,-0.973336052618149-0.22938380211715i,-0.703051848733499-0.711138592675443i,-0.943461911104287+0.331480953141271i
