0.574688432844159-0.818372290070433i,0.916285592168691-0.400525546730882i,-0.997520244409325-0.0703801249896687i,-0.882361377171034+0.470572417462857i,0.969461960676806-0.245241731360474i,0.287622182929374-0.957743953197796i,0.146620895600844+0.989192758249476i,0.724231874764513-0.689556518042632i,0.53456740415774-0.845125842944147i,-0.816894704188114-0.576786825672548i
-0.981261722838657+0.192679607877196i,-0.371448832590898-0.928453426277731i,0.999968653858849+0.00791778376322906i,-0.89789378985821-0.440212155822691i,0.652072917008685+0.758156257577411i,0.999827133205564-0.0185931090983804i,-0.946469199885517+0.32279413512031i,-0.421513890619924-0.906821945044591i,0.25502903354259-0.966933395870849i,0.77096963934629+0.636871898584206i
-0.529825999555839-0.848106367264541i,0.841589813577787+0.540117196247357i,-0.816176411581098-0.577802790905862i,-0.28475832281742-0.958599341532326i,-0.597118512414893+0.802153029123138i,-0.23451932816946-0.972111456940481i,0.718372302512659+0.695658849568279i,-0.417717655666091-0.90857688730499i,-0.275009912149441-0.961441390943596i,0.620455901095537-0.784241337086821i
-0.437200421365224+0.899364103996858i,0.0933260584497289-0.995635599410868i,-0.654465892800061+0.756091525651108i,-0.20698966472651+0.978343129324475i,0.148164983585623+0.988962657353184i,0.711178992465536+0.703010981902634i,-0.445955891859638-0.895054938266738i,0.553608502193483+0.832777056779957i,-0.524014165486382-0.851709548126361i,0.206750416510343+0.978393716901739i
0.604044918068496+0.796950272573907i,-0.779787358180074+0.626044468087164i,0.770054157353518-0.637978522164001i,0.859948498569103+0.510380818417724i,-0.96606409589229-0.258302463456725i,-0.040559167076924-0.999177138432433i,-0.472642719313727-0.881254140347565i,0.981111522930846+0.193442962064572i,0.956217085926122+0.292658306875023i,-0.932507807678299+0.361149814646238i
-0.932866415918291+0.360222500757187i,-0.483968101263625-0.875085639785776i,0.881060172005962+0.473004200092161i,0.81933962010996-0.573308457043909i,0.965124257116259-0.261792223577761i,-0.895526493689463-0.44500820116067i,0.733588405823279-0.679594033847899i,0.209527792077652-0.977802691930772i,0.228814893041822+0.973469950600562i,-0.790495649930471-0.612467654199797i
0.268745909049328+0.963211106855216i,0.625966112791481+0.779850258470639i,-0.610360418926106+0.792123828077624i,-0.339643776305083-0.94055414794536i,0.613970952167417-0.78932861971085i,-0.0271364324249059+0.999631739209619i,0.537790285377289+0.843078649328646i,0.190409260280943+0.981704799621182i,0.038322191906385+0.999265435010883i,0.707055954355966+0.707157604363959i
0.583073571436578+0.812419356177703i,0.936207139135326-0.351448705548972i,0.996337906596857+0.0855030752557654i,0.21107945378226+0.977468907020056i,-0.735200660750547+0.677849532294564i,0.0997768457201087-0.995009839679058i,0.19486798584915+0.980829479619722i,0.986604341232783-0.16313146189692i,0.477206347383642-0.878791273293473i,0.970773572433063+0.239997231370589i
-0.771712136187924+0.635971995342775i,-0.989190143163152+0.146638537461548i,0.744182031895043+0.667976873405483i,-0.725030134221393+0.68871714402279i,-0.787213423349527-0.616680651632851i,-0.818132355273668-0.57502995509309i,0.864146243427033-0.503240767397621i,0.051612640335835-0.998667179473504i,0.871209895298196-0.490910703014821i,0.0136406778158944+0.999906961626292i
0.811260623440266+0.584684702087639i,-0.895591873478986+0.44487660778962i,-0.288638174620654+0.957438250829607i,0.920967912108803+0.389638428374246i,0.984942436402729+0.172882610383626i,0.157637548584851+0.987497039629061i,-0.970493874015253+0.24112577734217i,0.932164463422342+0.362035099310186i,-0.773437756326213+0.633872256128216i,-0.803568318851234+0.595212530898503i
-0.813516769552533+0.58154145652465i,0.674271512216733-0.738483532526596i,0.519143323575504-0.854687199849734i,-0.93593294292535+0.352178259333387i,-0.999955733458169-0.00940909794483473i,0.893267351738349-0.449525792717567i,0.287439129411921+0.957798907330196i,-0.767638647178479+0.640882912362309i,0.85320599391247-0.521574090567998i,0.578577152103251+0.815627659575183i
