38.9364094065278+65.6772451230365i,109.193877065162+24.9612930851819i,104.182837663491-105.124230104922i,57.577531158604-72.5249287549432i,-151.783601482474-87.9886934310614i,-164.302856728439-103.663052771171i,11.8323326598497+45.9860964750459i,-22.7318799953188+69.2883675811885i,-65.5941372117498+121.853742144407i,-87.3781847862754-106.105711334594i
28.3789800572413-3.00597238182858i,-59.3851505709433-51.8201703344637i,-106.416899146757+11.5738657301066i,76.7896007127557+44.8864883038595i,121.010241152794-18.5766645421054i,251.367882235482+13.9118096588246i,-49.6541335437382-20.7580140545962i,36.0839746417078-69.1388315173878i,151.77945649086-110.681794533182i,172.159956480744-13.1252309875659i
52.8558027494784+40.970406271372i,79.3772048311618+16.4231558145298i,80.7597342306122-112.495638845991i,55.9024898495249-31.9067782279211i,-125.70459308796-43.4276230120627i,-155.224340149862-75.8501828526591i,15.1416398583798+54.0510838901757i,0.848336231210421+43.3194129632976i,-40.6652466093817+119.256496606931i,-63.1139057243088-78.6553873507128i
43.8343537567666+67.3240769200697i,-7.25152560416952-44.1392420370608i,-53.425897541603-16.097773875077i,60.5561331479075-22.8415512480534i,57.714470375261-62.9597767815128i,201.544134035243-29.0500330311575i,-41.9297086409229-14.9498075993222i,13.9108370192236-7.24021758319421i,127.987735269034-66.2518597289214i,76.7969692067381-20.9350425268625i
5.06273951421251-55.5115967752645i,16.5576966872947+12.1214672494069i,12.4374266674935-52.6892303465099i,89.1358120868975+40.573340493688i,-42.8599496607936-11.2351098591548i,-76.9438673450925-31.8070513020212i,-2.66136236003729+38.2033842171904i,11.307651732889-40.1400778253487i,-27.8756328863355+43.5618305656988i,72.6279403901024-104.723899716503i
119.372530255593+159.611245349923i,49.9816136508175-45.1927513744163i,7.4328619735583-94.5100311006254i,17.0896886329027-85.2452202672794i,-26.383202813079-74.8588378533654i,109.928517514026-67.0887341275076i,-15.8270207269789+7.15483296087618i,19.6506957045532+75.8404472382675i,131.759839943617+15.8885774861023i,-65.0078516305808+35.4480661248924i
-79.0587557302541-121.046598595779i,-22.2410634880003+14.3017707679741i,-29.2049522784102+24.1531288717481i,129.816380487091+73.9525187060636i,18.2111500182058-17.8313202620986i,3.8507802550763-7.18835883053262i,-30.5195186685841+16.3669284837187i,-8.11791021560809-102.270410063727i,-44.91327918153-24.6881143303981i,179.648892825878-179.332170906652i
191.312380276518+179.946519886481i,60.3908550316308-44.6285986166075i,19.4436149340745-147.671583847261i,-7.80833022552729-87.2579513712948i,-51.4402541931596-56.8943821387227i,56.6081394428452-82.1006063659431i,8.12508121093066+25.309852352492i,43.898861273795+100.582845756193i,153.272663937178+48.0668697583988i,-113.806356097826+102.058962574664i
-115.381942749126-96.4861356971503i,-3.57447775423226+4.30740852243235i,-17.591231764641+36.968234500885i,127.88093830741+43.2842392485294i,-1.11544598338946-33.8286345605386i,14.8962325880219+1.90770699616414i,-43.1236020550564+5.39349715662648i,-25.6550241187319-84.7058363964393i,-57.4769182183004-14.6977489592773i,157.393699394318-214.904289428613i
180.880730727897+118.475647903243i,17.2307216938248-23.4352132606719i,-8.99465573636137-113.033806334465i,23.5617193656167-38.9741520854869i,3.33184686070928-53.6969300000312i,86.5089153796507-96.1291471127233i,6.40798049627909+30.0763911998735i,44.4571780849172+45.5832739639594i,145.840164061596-4.66681670448653i,-33.7383487658927+85.9373568968965i
-56.2323968839213-20.4747745458548i,51.7580437143326-28.4438586856635i,10.4730077315656-38.9837397396086i,71.8052119178842-11.7541469999588i,-78.008036465581-16.1555657974816i,-49.2093246373669+25.1042143893789i,-25.3548324376051+6.0468406602894i,-4.70736920240947-8.20544047350078i,-23.6512961887877+64.1346967743436i,40.9906353817811-145.198385358231i
