-70.8296835256365-20.7096029115687i,41.5418482045453-9.55992317445052i,-59.3840934390452-61.8302500501264i,40.9284753873295+63.1967592118125i,-196.572348155061+130.546009978259i,-143.261784630049-8.45144982367759i,60.7735474160727+149.932039359833i,-16.2004093243039-172.347155440558i,-66.4302115189852+24.3467279736421i,86.3408335956707-99.072865728269i
44.0142649871052-29.9972326602803i,-66.0051881671921+60.1112243298091i,76.0844579974667-31.8659522662104i,-62.5749884532414-14.4851890443925i,58.9710100399051-46.1250622054469i,49.710435224625-59.0425559316734i,-27.8965756000728-43.9834284714768i,70.8992125591258+3.89517220741778i,13.9425415156942+72.5851724744838i,17.5921050779994+2.6676123145271i
-20.5489562583932-41.057242389827i,8.31425151365028+4.50530906635413i,44.0009371165467-13.3749380476208i,12.1499384847475-34.8087242349532i,8.59724784694675-14.7421119646011i,-21.8235704621729-17.6657438131478i,4.09734666484584+22.6711015724225i,-12.4682707781029-4.05877892219875i,-63.4094686132861+76.9252024477333i,58.7513103604735-15.3770994397288i
-4.50502148297683+5.15829976708087i,-38.7276165739148+39.0977919209009i,-53.5332185432059-72.1031417087803i,-19.2111909559156+83.431728867909i,-133.583860856211+143.264891759096i,-78.4112776731893-32.9348226022833i,60.1314551992041+82.4463933481738i,31.8224499373526-178.473432933121i,11.3426575528296+16.2062451251493i,29.1145370531001-89.543819341431i
11.4315144657452-80.6756679984367i,-5.27241397907447+26.0693165091568i,167.126309417271+5.46334917770002i,-34.7495880628513-109.423373470721i,142.795080366941-198.988996298175i,81.0653700928553-51.6166979662827i,-91.1522459766499-71.7026698759532i,49.8196832290997+146.09497535472i,-57.7903059564089+127.447244483165i,63.1923249173666+58.708045209368i
-14.3323818670396+36.3835050854146i,-38.6644369042981+26.6275457599886i,-142.081790843269-69.7218075531689i,16.5542375777335+120.779990829988i,-183.382866967935+270.67108994472i,-135.786743053173-3.81665215195335i,135.399383090478+124.081881218627i,-35.5561004772587-262.670309238794i,9.06404103409521-17.2441741016982i,12.3212908960297-128.57230943103i
-2.89774827016154-91.6178100559139i,7.13597856698479+24.5094066661441i,196.84773245138-12.4415200809996i,-45.481752755049-104.274591735981i,110.714693982535-226.251115352106i,81.1779098542422-59.2646809511759i,-118.842012842538-57.2540156407966i,92.9457979384633+146.401016345831i,-58.1002891622898+139.879268795503i,79.6478608773161+49.6574696855005i
15.6823899618393+20.4838427206703i,-55.4593057624048+45.6771509314458i,-107.948145851465-51.3470685111464i,-5.52172705082766+81.1038078726515i,-93.4407436714331+181.461896323988i,-86.028918157596-27.2855803072341i,102.114543332945+65.2232879449609i,-35.565452752855-186.672461014539i,18.5474833623667-6.90181963787015i,5.71478834745223-76.3233742304991i
-39.5180369098388-49.4614425651639i,22.7108939888868-7.90944608816875i,105.878635755848-19.8030273470393i,8.14612150793401-44.3209398560232i,1.99006990310051-33.227552998069i,-2.88692839163982-1.46749434030453i,-24.9364929708583+22.2947622298947i,37.4579642923638+18.5532591215764i,-73.2309147049107+113.203230271505i,66.5105102213414-34.8508981021895i
45.589257923187-39.2848205735828i,-61.7414612690413+85.5713448550342i,13.9775661671429-64.6595545381389i,-79.2499813338385+20.4730809891784i,-2.62563256191102-70.8576943397223i,5.63123779297574-108.804038767643i,-31.5414981914776-9.42525010436618i,64.167808144516-45.7544996161825i,40.9092025990884+29.0617134500689i,37.2855281553559+16.3367629707627i
-56.1624665627744+14.0544568226995i,18.5539810738289-44.4685182737i,-18.1584759975958+11.2323404613016i,83.3293777882616+1.73898432254641i,-45.1494239049025+217.71966563967i,-80.1021070947078+86.3064961476829i,117.633401445538+70.7918617286661i,-85.0121949900958-99.1856294633205i,-93.5661158554001+79.1443143360501i,21.6450369440492-115.429484082986i
44.3554282100947-90.5354462511283i,-46.2949702302668+110.858900882393i,107.361187190724-104.689285714832i,-134.441778167751-0.514170457845174i,-2.81042196162261-255.354968043977i,49.1012376629664-177.849322255712i,-144.888371928412-23.1599554840157i,171.404925859549+20.1805885271782i,56.4535760389547+54.2299702418746i,79.9468639550085+63.8552502384275i
-42.2215634317814+40.2464678874935i,-1.72577053365641-51.1142994237004i,-61.8336581241573+41.8568071558241i,100.967670590523-1.98349763073934i,-12.0399164295117+288.769767121751i,-85.8448616430521+116.473958217633i,172.571033375897+53.4347473924253i,-145.313865800241-104.732238188751i,-93.7713944892704+69.3209279172811i,-5.62648662531929-123.795326846109i
23.8285748895879-84.9837687783609i,-25.7090702681709+98.8097811425459i,91.7538117828821-110.487459933872i,-105.573906775402+21.6556002527041i,-39.5720283642314-192.770101919712i,20.4723007870406-154.903405248506i,-124.113783730473+9.69534631600184i,157.485625215659-27.2258631766333i,41.3195219706883+49.2342194850686i,77.5311471394816+32.9259918649612i
-26.4442963876668+5.30213407043767i,-14.6964473106358-23.167389366048i,2.33975688280808+9.80205359859834i,28.9417034718626-29.7350878237596i,-0.0825014907932875+109.370850296896i,-38.8943065508361+42.3336158018842i,81.4067848802699+23.9922344181457i,-55.1555243476127-28.6522298543162i,-59.1534626956952+87.3768496936655i,28.7316916905162-68.6311147414766i
18.5492987256665-30.4934280135776i,-21.9071596082389+64.2744012831083i,-2.90989730643361-41.6154797433958i,-4.9989948487395+44.1974933281934i,-7.0066363492378+58.651552112201i,-29.820114893814-42.7298106181222i,16.1440035677204+18.6551936393536i,4.42103025109501-104.532283549544i,-4.18736962621135+24.981044441286i,14.5339715117375-31.1147681335739i
-36.3135833317318-53.1236029804721i,-7.72733786069509+9.22782498804961i,98.8064332291954-85.8914434662757i,-77.2385670551808-38.5632737769401i,-75.8553241308074-149.378282384242i,-1.58287157499541-80.8801282886724i,-70.9224613411393+41.9498479431956i,122.899274285401+23.9753093173989i,-6.97054155325918+112.937754186478i,103.427776359282-16.3277621383445i
38.7049592451331+15.9681131234559i,-33.6018194425738+43.9978986603191i,-79.4277650921572+57.5780634054599i,82.3026727517948+39.6463337091241i,92.3828736944513+262.30371661372i,-49.2065950512482+63.1579795061569i,143.435207151368-21.6423409014965i,-158.045236240468-120.849220386349i,-48.7170790216667+4.1819772754818i,-53.9578425203469-61.5731706713445i
-60.5606570581498-74.7535489450573i,4.06833195576282+13.2722097922786i,137.305318664933-164.258617372377i,-125.477684765371-25.6801607982961i,-162.831472603577-250.272326787914i,-0.284502919977017-141.757849846046i,-140.686954332114+87.9758841622256i,225.720061700842+5.17851607827187i,24.5105500196558+127.775473646315i,143.49422125327-14.4684268249409i
54.9477729675146+7.62294094328234i,-36.6917041042709+57.5817716999541i,-79.0175495312947+90.8254009274434i,81.8126768148405+29.6413652050429i,130.37274175803+243.978817470646i,-43.5647409281949+65.2673064569951i,141.913226600725-52.8849089120532i,-178.103159968225-83.7079787393655i,-56.7464344460377-3.83660185109489i,-54.0949284722303-42.2035879528781i
-61.6388991066489-38.991090029978i,-4.34467461477113-12.217590266317i,103.928554464925-141.624893557493i,-78.7832204231267-27.7190946570736i,-123.953182304774-126.164217709817i,-2.73848093068318-83.4338319663974i,-70.6801408843849+85.0386974004303i,155.445707732263-29.1180751641259i,11.989978932326+132.298977485817i,98.1029524313686-46.3221739359491i
34.7133124921083-45.0461433385968i,-13.8817142118165+88.0893246770836i,-31.4981280126121+13.1392292079095i,3.55439332392496+50.5706877225554i,10.6077218808348+55.9836025599407i,-56.219813403358-36.7959986735644i,26.6047961636146-7.46492193546776i,-39.808965772114-73.6045650344823i,-23.7879644391979-6.53764100900827i,25.7897201539849-13.7990095506765i
-24.0916616356501+16.7711554010069i,-36.0741705505881-37.8022341754689i,57.7690991376138-27.8190798865105i,9.41943720519565-65.1519667336176i,56.7947519211286+72.9687818395896i,26.3043577356544+37.6873999908924i,58.9768603563003+1.52420433863693i,-16.9794294693263-5.91082898328644i,-28.4704386602997+136.072395194726i,0.0367848879111357-63.1205821015234i
-13.3794568429027-89.5235997390478i,21.7050407501886+102.704285959217i,-2.81914812291191-110.05248954227i,-71.1596591660232+96.4766726613777i,-186.77548153875-102.310371453207i,-98.2608188194043-145.157498872671i,-82.5222660601508+94.4259234678223i,118.593247979791-126.881481213429i,17.2613780357906-10.3298224084005i,115.943038971187-15.4101418894085i
20.0978348298678+40.5904031545986i,-64.9330559768786-37.0796426559565i,48.9003188642483+71.5600024589911i,52.684235987343-104.184032694339i,217.809976955224+157.795627436768i,66.5864207892127+108.816280118735i,123.888904750659-91.4086989172026i,-124.442003160257+58.3531707141104i,-55.3596363432596+138.793224630593i,-62.3247773061302-48.8985761498235i
-42.4633608034747-89.2432389173109i,38.345543711826+88.9046529900477i,-11.5811096451418-160.594373861988i,-74.0502834750173+114.387367057307i,-260.951338227863-104.063755456746i,-122.632645504365-162.229759021433i,-91.4826738329269+148.761313912226i,147.134877815718-177.023724658954i,26.7621186510133-7.70543479193898i,133.377314888745-35.2414454959245i
23.0147552287764+20.7806633810406i,-63.2967139267004-14.3391333759856i,60.866385348546+57.823121470096i,18.0511110015956-88.9886016227369i,176.939884520142+94.0908519402028i,59.399419307119+72.6412143058709i,84.474758617485-87.221455913561i,-74.3067846925098+68.2002658307481i,-40.7852571927239+128.563485629956i,-34.1316074334871-37.7784151377882i
-18.5630398299971-58.9328602867775i,21.2763483449192+65.4272097672954i,-15.4667244287506-86.4569797348359i,-13.7854227012226+64.5354964125423i,-104.648738638838-7.54944790302448i,-79.8994995578105-84.0294864741593i,-21.5994940086588+79.9446118129144i,33.3721862406863-132.439859101109i,-4.8534097506833+12.454530827827i,66.243428011791-30.4054846586174i
-23.9322356648567-8.09794186355004i,-34.3876843848858+3.98838557021886i,43.9422021397756-59.9583423663544i,-50.0518202602683-11.2128029759418i,-61.1608737201411+4.03140048080022i,-15.6735694833661-23.7701853253256i,10.8679045533099+32.6842689950132i,66.3322673955778-30.2593545708524i,4.92331227931463+100.717114961391i,50.776317323439-64.4273396919108i
37.3449330283078-40.6617770907037i,-8.49954755088431+57.5119011287044i,21.5540009312262+44.7261869907962i,45.1460363367932-23.4929368405387i,159.824772471905+47.6193010066226i,9.63872657555572+7.65284157610039i,34.2196484202571-63.5081719486309i,-99.2929648760674-0.329096544926206i,-51.0554947372338+44.3091836347374i,-16.0961867816068+11.0249191215722i
-74.8251769378874-10.4348036909194i,-11.3869953256156+1.98714466014673i,-7.94175940788015-174.35507293665i,-87.3988655844685+66.5874989771472i,-285.059755346101-3.81189937186085i,-98.4754786877936-88.9133202897784i,-12.4251684029101+162.356361770966i,155.940070051684-164.141095608172i,46.7601956326357+72.353723740268i,107.423564368571-111.1078749427i
66.7026484730887-52.469990180268i,-15.0291071032855+66.9551937400355i,70.0509144732823+115.226834244292i,57.3377384682644-69.7601068047985i,287.310658333119+18.4584265624105i,59.9941675223395+37.5442311806283i,26.0847981531301-145.527205391342i,-132.420523127534+97.4608144405655i,-77.7848133965637+62.6944657450683i,-36.7563136926478+44.9978261601732i
