110.226615796083+72.8915861731941i,-77.7198106688108+65.0442107145189i,-97.734421123967-18.2574409381806i,-12.6974362787993-19.8683400662552i,-27.4079116477308-146.526428740427i,-43.7699723139351+16.3589123624304i,105.523017382014-79.1527885012823i,-91.6827225179641-52.2155681035042i,-34.409345239947+106.137387896799i,-32.2590463044532-149.30501175941i
-60.7130030030841-27.3219018928659i,0.737942257878643-49.3250976838876i,68.571618831698-156.287451052753i,-76.4315819121178+14.1459494879592i,41.9441044741785-55.8852358932687i,-28.6347835161345+126.963560658571i,-90.6731024317014+109.371541395785i,84.4453285856486+49.9012022193617i,-84.3374428581191+38.2953385985941i,101.229313427001+17.3687481629596i
83.3486280496972+39.0720936997073i,-71.3565435667998+66.0111747103312i,-49.3258467398276-27.6654885222043i,-28.2388182560865-13.158778727511i,-14.0402598309617-134.330631363981i,-39.0476040419151+22.0622930408701i,45.4398194499372-72.8257630231988i,-88.6276484009913-48.2370475127125i,-27.5609308000563+82.8596210245662i,-27.7368943472953-119.371167945615i
-4.002723699362+7.68778787121089i,-3.27283341263659-31.211815959895i,-1.38357439946349-102.084523473204i,-43.4335347744032-17.032995354484i,-18.166579508716-87.2166825070086i,-56.3205535665849+114.321522965893i,11.1370685462102+55.4259138903349i,62.1578096998076+43.3621833431911i,-86.0045295467181+81.8598966660618i,61.9293580445592-30.0644347643431i
11.4315325140001+12.4893264813555i,-71.8195305555529+36.8050785111419i,14.442874700625-115.21437600644i,-66.5612535799034+40.8383377930376i,75.4110981461601-99.2900082451219i,9.65031353733219+36.109562352775i,-67.6500536546025+22.1662709690904i,-53.0073896606594-41.5834672332279i,-29.9825265389075+32.0743870383488i,34.5205444235467-71.5873298320857i
65.5444961422969+18.0328066416402i,2.89657177769542+2.92212312676569i,-45.713054230333-2.64638234794663i,-12.2896455370683-79.3292792246086i,-123.026463597695-112.739230198579i,-109.182089208081+107.729477490604i,106.075069104675-59.8156405986201i,22.2748211553022+38.4314458454552i,-74.5564484451982+131.838684252062i,-11.6034436104274-66.7507889340511i
-36.3915152988683+16.6639364036459i,-80.7058553475913+9.35080143323478i,24.1796189622653-199.053480888899i,-82.2856768763278+98.8959237739791i,163.883969723348-90.9409355899975i,56.9841782091951+34.8946618143534i,-121.849309143275+128.08011052954i,-18.9408622515893-37.4917799982049i,-42.8578931182649-2.48612537776147i,95.7019379158259-55.6971648724227i
79.5592458207307+4.12887542425932i,10.892415174632+18.7068922029536i,-28.0482599820974+41.9801261541196i,-14.6343776172701-114.935530487128i,-178.816720980893-104.341473012483i,-133.385051434861+117.502246752718i,112.295630712157-126.396818361487i,2.39261481388725+33.1978554209501i,-60.8826187865904+147.33361384041i,-46.6405769187504-63.6137737658195i
-11.666872357522+29.0680964072043i,-81.9531298744699+11.2765221579954i,-14.6605827216131-189.581784250164i,-65.7310413223435+104.536753391972i,165.967470815626-108.944957434962i,55.1247209158705+23.9331655379598i,-86.4457659952681+134.112426452195i,-17.9302094733443-27.5751490172525i,-47.0262248816311+6.40256899942235i,89.4983553385092-72.9767419908934i
23.2497673918127+1.10233393545608i,2.26346504288828+2.30120998479612i,9.49948673309232-20.7561123388331i,-37.5869854754698-85.0532075222423i,-132.115379585606-87.4091591538785i,-100.200057525128+125.596156511853i,54.4384078600161-66.326874333876i,20.0679163405482+16.3717547915692i,-65.2912505892456+121.660316673913i,-2.58315424826578-44.7856613462036i
62.4725903978351+15.8117356062004i,-61.4096260914222+39.678503582955i,-40.268858818391-87.7623822885901i,-45.5469685386785+48.5144176916683i,75.3482171898384-115.101449687755i,2.32916383308246+25.940408354797i,-28.3250237461118+20.6543019728336i,-49.5918575744287-2.85051196500095i,-29.0691003955528+43.8780230028514i,13.4624897891038-84.6085805097457i
-48.8238671984769+28.2355507666662i,-27.0234561782067-28.4818892835082i,8.26462506214778-135.212252382172i,-48.3513798962344-13.7122457853876i,-25.8893128654796-96.4162664050763i,-35.2643488936169+114.216140227512i,16.167197428159+72.3394756268491i,57.8482400706088-13.7703523357474i,-88.1528549089067+86.2261699354081i,83.1280783501054-48.5753103121172i
115.378988340149-19.4960714894356i,-28.070736272584+67.7361558945506i,-18.1290943675486+10.8124098289644i,-46.2914219832835-17.5922038789476i,-27.2073799355116-93.5958360378113i,-55.5840271365936+45.8648554968527i,-18.7985951991274-106.993563938658i,-84.7473657461036+28.3354906922621i,-3.70375761026095+71.3754118784582i,-64.7378508146937-67.2130324409739i
-69.5800412023883+58.783528099793i,-56.1144445238466-45.881057004066i,-29.9443835430081-192.28629327164i,-39.5334721350237+33.6281152243133i,43.1513595905836-120.537537112415i,8.08068763256624+94.6576920904637i,33.2402433728176+154.650150970565i,82.9876370190474-39.3796899682562i,-102.69387658151+75.8442141733927i,130.960409881975-74.6861619820525i
101.740290471647-35.0606407451939i,-9.50771639365304+74.5000951125237i,14.3195156598656+13.9514205232974i,-55.7250251501136-32.1695233860089i,-54.9684099632073-79.9326340327643i,-72.1711381580924+58.6580884245947i,-48.2080603295892-121.214763813655i,-95.6557771725308+42.7196153241028i,-2.35714585244331+67.0315875274318i,-75.4600603344273-44.8690333296604i
-26.9729524830427+49.8304691528787i,-58.4405455348612-40.9184044968403i,-45.3785256446858-142.164449775733i,-38.2167945814503+15.868550147199i,20.8222690413436-111.110747037483i,2.30766904690068+97.9518661401914i,56.9343483216458+95.9598116656256i,79.3179162942227-38.3383227251025i,-82.453403466153+94.5458570219657i,99.9972971526058-83.8530171521986i
44.3929876916258-2.1145596746235i,-23.2668921394924+64.1325856363468i,-3.45532230713629-72.7078499642046i,-42.3200067669919+14.557865022271i,0.838937582022737-118.516832193733i,-45.0736723291053+37.9336831178643i,-48.8146395363205-4.14753268741032i,-80.5639989863011+26.414741353741i,-37.6674290012831+43.9944087473216i,-16.9970458698272-57.5910713417549i
29.7051885319735-1.70836800250238i,-31.3307995091503-27.9699812873745i,0.742232037686048-42.9223826828533i,-67.9219667510068-43.5536644907184i,-56.4525486496288-45.5006419023111i,-30.8787624863827+135.826476516428i,27.1983539010568-49.8474464260438i,58.0809848802074-10.3499980871331i,-33.8528801019365+117.676771919886i,26.9608578157873-50.7225723052461i
3.45829683810577+52.9647122770432i,-55.3544504071372+55.3735241823426i,-72.560942648105-156.611393584179i,-0.758842563375117+73.3752679665938i,71.3538942919191-198.65880625564i,-12.2342866996089-7.39317705795045i,7.62561079755206+133.916435441072i,-58.7851238960444-5.49683457697511i,-84.3815575401108+29.7545805416849i,47.0953982798277-104.974191826217i
