-126.281719009223+60.9977291793228i,17.0976403885584-147.90513754516i,62.0220706107351-182.369763224229i,32.3462308527555+11.6809305425105i,-1.96348935335774+5.71095051285129i,6.33563658559805+7.93965444904815i,69.5443338499608-35.4478376308405i,98.7158160435012-8.84896322192271i,59.8453765763274-83.3457265496953i,-33.7518476374618+49.7465020679423i
119.671235212574-53.4075935764303i,19.1978577543423+115.756750464226i,74.3636655300424+104.048599860474i,-41.3112507144152-70.4917281744012i,112.083746792073-33.80967216043i,-7.60298078899131+49.0269797594531i,0.933361851893331-18.2865875869168i,-153.508608217192+37.0206169944774i,-62.568663076163+12.3094647604716i,-6.04753587162101+110.818501346717i
-61.7408194828652+55.2515357931815i,-24.2096480728908-86.1305465823461i,45.4975555596466-140.281046079583i,8.03943591391948+0.786990860676216i,30.3555781542592+13.6915149571783i,15.2623087409901-37.824543188298i,79.9330712808739-11.8286983144329i,64.2508967409936-22.057788577382i,26.3586813702249-71.9840106312931i,-32.7094475249539+73.7674089762884i
34.6445159880056+3.55324093027034i,53.0588987006811-0.592498762658646i,69.4921851794899+32.3562063468415i,4.54833045023499-61.7913699282321i,42.843813948658-38.8235110744384i,-5.40490530146203+104.812376211268i,-20.7907168745713-51.7356854938244i,-101.414357384065+47.493965740579i,-24.4858205177331-14.6370304080476i,-14.6952220378487+84.6917326073652i
16.8270535825867-40.8581453248134i,-36.5940097279425+56.9669408094436i,69.7028858538401-62.4679282713396i,-49.3763813858342+0.0634938584931835i,119.766356788025+5.13457032400264i,1.19822036801967-89.5302810378165i,108.071511476487+18.6546151424366i,6.49188012120512-25.6364416786499i,-8.47662303206721-35.5548694066759i,-13.5724497948823+95.9002941652842i
-14.101147479789+112.668253351394i,38.758718107377-135.989257889933i,31.489386534135-35.0667064815274i,56.4075964201751-69.7986832749906i,-46.2981273831802-19.2977791488058i,18.6759460114844+138.863215627719i,-50.1033013004988-72.3861427320805i,-49.7970657065749+47.5510282692887i,-2.87213236134076-49.7976939408565i,-33.1750814620406+73.5162984811643i
24.9850942742366-132.100413045973i,-3.06119105406238+151.125223649421i,105.594052456706-25.2644555789043i,-83.8744424159085+14.0970966133837i,186.878285660357-23.9605883928293i,-24.6023995387695-97.3952242856972i,128.820946423236+21.5668942002524i,-27.7424523266354-24.0772674840357i,-15.9385950728908-11.8707993361409i,3.19810653744336+95.0243363044735i
16.0635718849819+157.325004425325i,1.14810020671607-167.432265940082i,10.7222369498435-39.0389611727227i,62.4775446793471-82.8450424195795i,-77.4037366704638+5.79439816287307i,38.9936391744298+118.64809346778i,-56.7767953420073-59.2833845147899i,-37.9557164989027+51.9648370382004i,-9.98319713243875-53.1483635523326i,-36.8762132749474+86.0777477544221i
-27.7918153420908-114.435654902349i,19.2643675798266+114.305075831114i,96.9419622996375-55.1788663946998i,-61.8535238412668+19.4340654385542i,175.959130346999-37.8419196612077i,-31.4243285486702-55.0474452438596i,116.267583457065-5.77696044177722i,-16.7104569629871-37.0044756780791i,-2.34962249857835-31.2757644632187i,-3.421712102414+76.7032285471322i
70.3743802866996+77.4850838859383i,8.19709995766628-75.790881942615i,50.7716937860106+8.90380774164431i,16.1014367992539-74.6917511551598i,-31.1421220993208-3.21641973330382i,31.0731872192795+65.2890203968592i,-27.9790477445265-27.1959641908155i,-65.0705559412504+77.4441954130898i,-24.7542339466209-13.6045561786721i,-15.2640714570278+104.88106981734i
-62.6267720166892+8.93005567301326i,-22.4258841364055-5.80665422613712i,28.4398157151722-108.622832260487i,-4.70394221603078-2.50441401653859i,107.785704180476-8.14787174698798i,-10.5114144570486-4.55108373583812i,75.9429083169608-37.0475375994399i,17.5216330550633-70.7942067936985i,4.77376928331019-81.3399012744045i,-29.6264605911502+64.3771670756276i
74.1022283504288-59.4368907193881i,75.868355810424+39.4567737096431i,131.134492170361+48.2229624347451i,-40.0185067653246-42.6816646040058i,39.1752270643048-51.0122268171624i,6.25861757626283+29.3983738613479i,12.4573581494028-5.09644667035794i,-94.8892711100033+115.627647668782i,-23.0963358185516+35.4143126201056i,14.004838040862+108.138277970015i
-34.8608867724661+124.300037370472i,-97.5013032343025-87.1827477134113i,-46.9418375514082-127.356048733682i,36.0154817437043-35.3540681077972i,51.8932603191881+41.0459843932049i,9.04716908374575+9.40872862504507i,44.3280088330697-49.6623152105281i,35.0912619515535-102.714109072283i,-7.05258400280947-116.384320366223i,-48.7000101581159+71.392935149216i
27.7178898182558-125.164740492139i,132.940125459148+68.3392238567345i,180.032674241719+40.3003116950019i,-59.8805220254704-18.8057810268468i,67.7915125238242-89.1429494750316i,2.83226450802631+37.4957265568143i,25.1647693110857-2.85653302299301i,-94.848409176626+134.786179135084i,-7.94323812878764+48.4442783611061i,22.8586282779211+94.802335470138i
10.598587095277+124.982115755464i,-114.593789069747-61.6109095223714i,-58.7724920555525-102.498123376726i,31.9903268550471-40.5993543055816i,52.5507807507578+49.8972118985644i,-8.06038066710818-15.0780724088404i,52.6010720334072-48.1995065868344i,18.8161906110863-101.011138235145i,-21.2018685240118-103.761277408298i,-39.5272748649377+86.7259930608468i
4.42163599298208-64.5174738219663i,96.6793564553375+0.656877534335519i,149.084556565787+6.05287477039926i,-39.2605984448317-36.0005306601693i,42.2544958864937-64.2382430944236i,41.1912412028015+67.9580108660886i,-3.72494384640738-4.62453478422551i,-66.214921894847+113.049424370632i,-3.02181791452665+14.692793495537i,3.5258063579911+83.8141422421659i
-1.53637267596263+22.1717071812572i,-27.682009964176+24.5687131167261i,4.31118945205437-75.1809392503843i,2.14712136580009-2.19015304102549i,90.119341482461-11.1942051385451i,-59.4700140546767-40.8514617648691i,92.9124696925703-52.9563443570305i,-14.1195262984219-61.4384741341167i,-16.0167679120749-57.3666754125455i,-10.1808178510358+90.1861748793017i
54.0534663160872+49.4080450159944i,-23.9891288730983-78.702296005577i,68.518486087865-8.90543942407467i,-12.6018438857963-86.62019095631i,5.00629161147344+18.3101973252516i,95.1450339850082+80.3082935376964i,-46.3404350392611+6.29452994718517i,-35.0999968908196+66.7964184349058i,-19.3244467297343-31.4302677769447i,-22.2631594396738+89.6398697265954i
-76.0486620576294-71.3961991381836i,97.2892096702967+76.2384628234076i,77.9143474284974-79.0004567053357i,-15.2210109916558+48.6370477976016i,114.79613766296-100.517743058171i,-101.497419072868-36.6442578789407i,124.762160545636-70.5401370949801i,-37.671925861166-18.0569065618002i,3.79595515296143-22.2220705032512i,10.188698661838+78.0209819622455i
131.436713493376+97.4209276085374i,-121.607816172932-93.8846106821589i,19.4706443360342+5.26602404541406i,-10.1377011757884-123.189919152954i,-3.20576838527457+89.9341227486158i,115.553310943208+61.4265456113413i,-60.5397518276869+23.7252100024929i,-19.4390415112734+39.4492737420296i,-36.8040762345448-46.9594549373854i,-26.3689739770167+103.948689639606i
-129.685058137746-64.1223154848289i,140.395532752013+58.2827505522553i,86.569272127421-96.9391020223374i,-6.3768058989225+60.8522605030596i,107.007775659735-140.497113328562i,-93.7754669684869-10.172328798956i,115.778867955515-84.0238927810654i,-46.5935718673207-12.1864657659659i,8.67142647994093-27.5452113122637i,2.54351906664236+67.93257865901i
