31.7934324708802+61.3349665372204i,-38.5318221572754+120.815359980015i,-4.04720307446038-130.735631173565i,-101.963769164429+159.421528057183i,205.520393369369+139.786633218089i,41.5468141712681+50.7451109295347i,118.870980624955+12.1920767621151i,131.81614006998-38.2560400496121i,23.1933339907567-73.0935980703627i,-95.4309666830215+43.9834217886057i
-62.3388804527082-226.614346223062i,-144.049935330011-28.7404495946871i,46.6088609737477+82.9038238369731i,-13.6043828351281-197.833772454438i,-36.2538137259483+13.0289804073399i,-108.928239269588+2.74109207937144i,-15.7184163237419+106.202590254163i,-115.630724648792+57.4221255061299i,-109.444072645509+195.671326298087i,52.3084920950912-174.270918655615i
46.3190333146567+7.71542130819059i,-92.2418936322708+61.4326450915833i,-10.5144092179288-77.9723595118154i,-84.2093197755769+73.5386942401083i,131.235867594139+69.4633163593945i,1.69783991454725+45.7249739760507i,87.8512504510405+3.15486990743909i,60.4327207654865-36.0897516751679i,-1.92635551015841-64.5271882936574i,-13.6831903905755-2.12858737306787i
-59.2681462237287-151.973928571008i,-47.5342516163724+43.5864016055145i,39.243323826347-9.1143229434406i,-3.78063661391348-56.4694011400787i,79.447500489174+89.5485682166721i,-49.769314245521+5.20788336980257i,41.5022779803734+108.184408564232i,-12.7685379270971+12.87125072646i,-73.3727475553321+174.043513804409i,-56.3223995164403-74.4724643968239i
20.9030890964524-68.3182344744534i,-207.664610665373+4.84145191137499i,12.7731498818512+29.8354821520336i,-126.578751889436-81.8398085217596i,3.34544560705446+3.2024706141023i,-60.812959543315+50.2760591756716i,20.3060370700262+8.82376378651153i,-43.6658872150147+43.5384490224648i,-38.2710778170046-31.5419439753135i,85.946707585882-135.785861952137i
-26.1956923681846-92.2401694632973i,59.8032027864455+75.6414854303349i,3.36879801413156-108.051078093056i,58.2645892975535+75.2904772109643i,192.17766310768+127.020974205976i,2.60360956057924-1.8102734306936i,107.827751212367+92.2016213571403i,64.9782201261752-81.336618009201i,-38.7391372691585+140.612119657778i,-125.79181431936+61.7554635080378i
-12.3048371998499-98.3162896973665i,-275.600475723207+7.86522548958184i,48.9978214467179+96.2682019654642i,-188.608571943174-154.086608874212i,-61.5263259278697-7.42451900986734i,-89.2230172252816+57.3148908679733i,-27.0795439601514+27.136130819383i,-76.7564307323211+125.205270580972i,-63.2997603925144-3.51491769091003i,107.808542807467-238.559695496951i
-13.0476936303973-94.851295709893i,70.5481251487148+50.9989493998053i,-20.1027392341711-129.933381070288i,92.7299083524841+75.7846897778646i,194.959659287749+113.458421053974i,2.83243105531394+0.0188711003776234i,130.619827919511+75.8370318843967i,50.2114459682827-123.853095516496i,-19.9268068668207+128.484026780333i,-107.065405270871+102.674088452708i
-1.33383973976392-68.105539269029i,-221.275588190795+45.6913731057611i,46.1907559691143+71.5230873479666i,-176.836664855539-84.1987909706083i,3.53533903034471+11.445525570277i,-61.0371901624701+44.2254247567549i,-19.5819416296028+30.750222436727i,-24.6765296975611+111.796877029164i,-73.8211647906661-8.252375733367i,59.5206400662744-203.47802630016i
-56.4592623905616-138.670771855595i,-34.8881197977842+22.8676362140931i,13.581242805669-70.5931868719451i,24.9345388643406-38.5129071258848i,81.0755189523665+98.921779555623i,-43.7321816529652+28.3015462343327i,101.62749361622+86.3822687392624i,-18.0660563045297-52.4109273121723i,-9.82744776820036+152.146125855033i,-55.876206804447-1.26906605298312i
61.7062292353855-25.7041597521124i,-87.5995142548864+58.3987688413484i,-15.7184817964323-4.66373852308402i,-63.9028678483225+45.0345505618427i,141.374123972166+7.36970713024662i,-6.7287315790826+6.76934629485545i,23.6439970477448+3.01150682179621i,36.7164961943762-2.66416082520233i,-82.9954928258831-42.3199034482934i,21.4773932878677-55.5371158685238i
-130.634820997512-164.777736542318i,-161.496940617639+34.9463541688543i,89.1744292718692+0.232719299538874i,-110.280410345677-146.130144257581i,-42.6333925057821+117.038062059438i,-90.9047425484328+69.5524656400206i,60.6814685290222+122.136357726379i,-53.9301874050184+77.4286944137611i,4.80506848652256+190.507469885826i,-47.2110608719234-154.552134223631i
122.802367793682-22.5566473939411i,3.6535213615226+34.8367647943924i,-86.3878369740519-54.0443923457289i,57.5931467847352+110.624230353997i,223.664563823781-21.0044966861518i,24.9727833845267-25.3382766152776i,54.2622644887454-33.9892673773735i,39.82001883833-114.204280600924i,-98.625202739057-72.1517285665705i,36.7786704647937+63.7405891639274i
-167.91219278465-144.244080867076i,-193.773818818172+61.6540553123436i,132.974090032875+18.1873760665914i,-185.954478858324-157.754544119196i,-60.5789705022454+135.852149512454i,-100.419489164575+85.132082356817i,50.7679056687661+145.3202412559i,-28.9583334694266+141.347116911718i,23.1727221640953+206.228632923056i,-78.163408965664-207.858748529851i
120.121252165555-57.909437488771i,-25.5562369995274+27.9283369182664i,-88.9687657247493-42.7845759831533i,62.2414023748843+79.6509138519163i,178.026124719823-20.2217851309473i,15.3942528345693-15.6802664981887i,46.0414537125733-37.1015299849481i,2.23379139521361-113.088507208324i,-111.622628000513-66.423185517883i,59.2811483901086+38.1402871710245i
-130.834319854199-104.860322548358i,-111.518020275553+42.5259253885148i,87.8066813257313-13.8262800491559i,-116.008164239643-100.817329979804i,38.3201076052788+101.075043444021i,-76.0416999915478+52.4890905189492i,75.6462534309736+120.359226638531i,2.21780269099809+75.6755600206043i,31.5540910505323+182.112932312815i,-77.846629920393-109.786503392392i
52.5194476273907-88.1714404019602i,-133.778018074777+82.1765917193077i,-4.4391164718185-5.07300570741633i,-68.6601969361164+24.8587948359499i,55.4502683859154+42.4197657935571i,-13.1135948819537+35.9742084443207i,16.3314695433977+10.0614930150455i,-5.83245158073705-0.344469469159178i,-109.352081628781-26.2389085803102i,21.1419459023896-105.587532104629i
-56.1163778348593-90.1223753216352i,-4.28831432701357-31.8650891038673i,-18.9427207228474-45.0175767899287i,41.5367290768318-65.0802015207728i,157.350132619431+17.8847697030026i,-49.7905369710978-3.89598201925789i,104.460755821579+56.6252622354805i,-19.6847981695251-53.7145576108841i,24.1490679956254+136.68775934525i,-8.94623217172488+43.5267627851451i
-14.9472219083554-85.1529411604511i,-209.917380635534+164.010336604945i,98.3246989101934+10.3799817369626i,-213.207381361829+21.2098050556463i,-29.9180557357573+119.769611185928i,-29.7469742359523+85.2238895935135i,-1.62188850902788+73.1263323811755i,41.4440003224306+111.770608545532i,-96.5360400240888+18.0129204265605i,-66.8388318533314-229.978110157209i
-19.2323275520683-103.415294918801i,26.7963196262399-91.4949085090864i,-94.032827472441-45.139881345916i,132.755218650978-85.9249705959743i,196.61375270457-34.8897874673337i,-41.9521648363849-30.6345165421526i,112.48276886843+5.30645287471807i,-76.1572803439205-119.808419372168i,16.3597927380097+103.665030585865i,68.38466235861+112.174682705763i
-17.4853460038386-70.9698627064084i,-189.936557858098+186.537348278896i,126.393748485291+0.563182028333959i,-227.363744538698+54.7276959410962i,-18.2179911540337+123.492367394734i,-29.5998432803518+83.8162059131505i,1.19086506954442+97.5508493941831i,85.8623122506976+116.936915585811i,-95.5683142323306+38.2803519226844i,-111.379659507052-230.871260843883i
-56.2191704305872-105.39793066123i,-30.2857702988683-59.4673949323725i,-70.0599041167488-36.9387996895186i,63.3358650368484-108.099188616907i,148.973932883431+13.0956006872034i,-42.9184041033835+2.08387212511647i,107.742245351396+9.38102546234774i,-88.1880034076483-65.8415283989405i,31.0000764588625+98.575797001797i,56.7566590568143+54.1608622428483i
42.4476321357244-87.7411755545654i,-112.736441187669+108.631554845121i,56.3564349563901+3.09886220620194i,-92.6693266450383+51.6987810370602i,48.3887208605537+25.4738176554502i,-30.8550709009494+28.989997200913i,4.43639746138137+63.9648123051935i,54.7028849881166+21.8792453608527i,-122.21153241831+34.4372630345464i,-43.7297050672646-135.790457730355i
-127.523244742793-66.9376054934742i,-101.716397077737+53.2308287299547i,26.0435349112521-56.6365829624089i,-104.548174684415-68.9530446411918i,88.3211378932079+134.696957667996i,-34.6203657592485+68.6396190897722i,113.91511059562+58.9977946359921i,-15.8077038036433+42.716015482346i,70.7911098364702+107.829125664456i,-58.0875614790101-46.5625460942036i
100.203828295152-139.873780500896i,-61.7653873340555-5.37582490316497i,-42.1092946094664+36.9513232315517i,65.9670195797079-13.5069764907169i,89.7985916363404-94.8168753761937i,-43.2294000426241-31.6903953253178i,-8.93912202986669+8.93493699812928i,-42.3153292293474-70.7010398988828i,-163.67735509632+28.3237416763419i,85.7088616384683-56.3899298547335i
-162.304340410266-11.9837237444714i,-120.717246677841+143.928785247901i,101.159842749794-96.1858422735524i,-218.464241364488+6.87438011448068i,75.8762998036902+216.988205734004i,-20.4926109368221+111.959318730806i,133.987345046274+100.815879960173i,80.1684868636389+97.3123932754156i,109.508510879896+108.68539309047i,-170.702417649414-85.6167332991974i
98.8512295908183-181.029029598194i,-68.0920063646074-41.8405256215239i,-77.8124254373133+67.0757437963844i,110.700173444821-70.4242231423717i,80.4849069382485-120.843859983111i,-50.5606175107449-46.5740335226567i,-25.5961881868748-11.9286074720827i,-108.552466164152-77.9405170561554i,-186.576347183411+36.7186899758459i,143.823479642925-59.5041246412368i
-132.868324557239+4.6651088209607i,-98.0403742625597+119.920955779885i,90.1125124996449-103.720069071737i,-191.859921813429+24.3517002161515i,97.8294753467221+172.184236041397i,-23.8108178414852+99.0283633043843i,142.138103850543+91.8393491358174i,95.0420680721902+62.9773543574945i,115.400966210586+94.5980709381373i,-157.767797785358-50.176375698296i
46.0953674090927-165.561929244423i,-87.3074961144098+43.9523228093225i,-27.5668578522479+42.0615172807338i,27.0937167503804-31.0034753619837i,63.6188552901287-18.9636560722871i,-31.4179780889568-9.11108895533564i,-16.0293727590165+20.7513062239019i,-63.2103885627328-19.2706609289264i,-169.635414657286+55.4217037575075i,53.5752075912679-105.736361899511i
-77.7808042756575-37.7846227681665i,-92.632414790325-1.48983362009792i,15.2745795259929-47.0858021606313i,-81.8246863398048-65.9260573763196i,101.211289505786+31.5916172943991i,-54.9340446488893+50.1481800283659i,116.054355351606+40.388895232559i,-1.81467260010595+3.022546852899i,83.9484234204494+77.3643551624062i,-12.9524936625529-13.3066328403912i
