0.148492043932959+108.337527281246i,-75.4953601724937-44.2992649545062i,55.8623823237753-73.0405665486878i,-20.8427462985685+76.1061572981894i,-24.1014244440401+89.7647733314217i,-58.2917986272872+115.819697585369i,-36.178982172554-15.0374918797971i,-140.932038553917-48.1424855233872i,-0.525895320443553+78.1465706754716i,36.9321900791253-30.0620086632892i
-69.9841202140714-7.05427723362286i,48.0637027816854-14.6064774405874i,-42.952117863053-4.3861840164411i,36.072111910991-32.4834909617891i,-46.1237240500082-111.049195407439i,70.7093362801155-49.360514863887i,16.1414715497478+45.1495220608245i,9.32803771754569+47.4390973922263i,-89.4661598361668-44.1313267000036i,99.9533605741961-83.8387913057996i
-3.32999910649956+62.6308907001123i,5.5659472284703+33.8151255471394i,26.7544954479784-51.6073433489157i,-36.4423265395529+77.5309846636173i,-60.6585004535963+2.27873221419016i,-18.5165347701441-3.91240951302171i,-34.1345750449102-33.0503021573267i,-125.208242961422-3.74940480822635i,28.4748500331114+29.809390655356i,68.8292519700121-73.2457534604476i
-52.9944343539409+38.6371671052355i,-51.8477547290411-87.1119100012805i,-23.1925871215404-42.9715849965411i,45.4614366569277-34.1772807391559i,5.47062477483358-15.4895966621783i,39.2400766618888+94.2298201796084i,28.4213563345006+65.238856577887i,-22.9193867467543+4.06823186534912i,-112.925961465049+13.9873667595494i,64.8426495117982-25.8785603891322i
-25.4809980105889+30.1168975376184i,100.257827326339+83.3478383919158i,20.5451238155614-7.57246513535534i,-34.7060442030845+78.0529766296033i,-116.015925130689-75.5552413704357i,-3.59381733654112-137.714822580512i,-58.197196151215-46.5661331684668i,-84.1134483931314+32.1206122162021i,41.9084450992622-23.4658249135572i,92.9071725737487-137.138732867737i
-31.6572655113506+53.1636828314561i,-117.625247294024-105.682932697016i,-33.9609046505009-78.6792236113913i,33.0890707655511-32.3002972100238i,45.4842521008829+30.558149403458i,40.7418916344203+184.051009008037i,59.2020063610619+66.5012246241934i,-60.5200169571725-13.2503089776253i,-115.06741897581+53.072586042923i,52.988146594446+23.2085764862805i
-34.5731224700058+36.9571638875142i,118.108486105237+73.0325146812495i,41.2797744396548+8.4441366669707i,-12.0184419509201+72.6073509436882i,-126.676288452131-80.462178814025i,-12.0538624421582-162.018717383013i,-86.8963346910688-32.7834687743763i,-60.7626370616086+33.8589528838195i,36.4634739491-37.8132411863345i,88.3231585318781-162.682081839209i
-38.1168962537532+31.709580762187i,-81.6565185064701-77.3332997287006i,-58.3396400143263-68.8806035600399i,5.47366659547006-23.7504812564296i,15.6011780635303+1.58377768985759i,43.7011073864287+135.725949364209i,78.7967311540049+40.4241740227378i,-60.9659863058156+0.422388160208897i,-107.187046015353+43.0514973476776i,64.5244398225026+13.0347211996029i
-8.83639529467208+66.3849737495745i,35.2646634008273+41.0513611850237i,57.2419826027099-25.6484169165602i,16.9104859439534+62.2671774204488i,-59.1322586470625-27.9206918199303i,2.20881337743966-54.2622950972267i,-91.5488484120166-0.0148951375088586i,-84.1002927839145+17.0986697525463i,32.4900338226269-5.62229661506397i,73.0437969328641-122.672445575152i
-75.8009816989287+6.46349104592792i,27.0280983103885-54.8238274335588i,-60.8778879146753-18.5347483680539i,-18.5107355997327-14.5583008616765i,-79.2644257090219-54.6705710581792i,8.50050832888594-5.75399700634114i,68.5049488299643+9.39940585421903i,-18.2388282250552+15.4420071144925i,-110.182514756308+1.24178373097597i,71.9532153420689-52.0257719316993i
34.3396715506958+81.2735735962398i,-72.1362577608939+34.6110784918269i,41.5676946233502-79.3341052431302i,33.9777811562964+56.9486223895977i,40.4422971386574+19.3846096329018i,53.277557019972+85.7432451131158i,-69.3597274674793+22.4068901588461i,-134.430948651189+14.7829905188384i,42.9783876748267+35.3894645270243i,72.7268967376372-52.7204973870921i
-110.519439100969+8.02652261053042i,104.585224294579-63.0139964266558i,-32.8206732242959+25.3206040699656i,-25.9798396713874-15.8048411373068i,-161.196739581658-80.6933220821704i,-43.4237744322876-113.18589990451i,42.4341853060584+0.432666558087341i,27.0552291919588+6.84807650742422i,-123.685516034594-24.4956311317195i,61.6318436335857-114.254048347264i
53.4365212069184+66.4272394510088i,-100.203489234365+48.3525747627628i,7.17761161857028-102.879153427936i,34.2716274474388+65.3190631847451i,82.0669687994475+25.6432803647357i,87.2878230470752+137.541525174494i,-47.0763265012407+18.2771266598093i,-161.345400314656+35.7176096478689i,53.6815380885097+40.2420181370245i,83.55752707996-17.2717475269043i
-105.582216751399+32.5576170616341i,75.1067108417527-69.8574201324885i,-5.12574830254274+24.6796853284533i,-20.390975253841-30.4456210576815i,-152.57014797714-70.3765968106162i,-41.5562574020166-103.916685377133i,31.7570897874552+13.9115139808328i,28.8922434450955-15.5635668440405i,-124.246246470031-4.09592392842676i,53.6536443353848-119.717922938365i
27.7556962762829+42.1505282852976i,-21.3524061603769+37.0765042452426i,-6.6984012898728-80.6883816337225i,27.7082077474624+82.7315538535138i,22.5791270688226+11.9271576287617i,40.7683248137216+75.5879205630699i,-50.6770331707795+3.0142468381518i,-136.284787699299+55.4917238071436i,40.3199834025421+1.39178423746716i,76.6042971371552-45.5755899354868i
-63.0072573285085+51.0364569704568i,-33.8382152561247-35.7438304142726i,-12.4739453256361-9.85804702210911i,-14.6276619020158-46.4947448137878i,-57.9015710741752-60.4245568458901i,46.5961745099041-12.0593372587281i,49.2222473740403+23.6321608580627i,-15.7353755715643-21.7907547260874i,-96.0406488803622+46.3705000925396i,74.6024865038734-70.9384908388801i
-17.8315150468699+35.9079283449349i,90.2224950651611-15.8882090470411i,18.300546936441-45.4271901833648i,26.2138663139734+92.3876568198934i,-85.593764706838+14.4042449865331i,-71.7668906718684-20.4861852253501i,-75.730608929217+5.17331559951849i,-82.4910387085092+49.5170724973785i,2.54686246200809-47.0324297965283i,38.7256031516796-105.221651447571i
-23.9044611522704+46.9373709955838i,-122.657140554706+23.3210123232479i,-50.0183488997407-34.1845112788515i,-16.5092529569001-46.535744388141i,35.5641597707619-71.4926546164967i,157.340747463824+63.0875312361663i,74.5837859940063+7.86387911784737i,-64.2048669108392-1.94112312306844i,-56.431612139979+85.0869115973719i,117.092910915521-20.1231954822881i
-37.4611027623328+47.8584112693429i,137.122758803006-63.5006471281689i,54.4588427111548-38.9159799229876i,32.0126669498956+80.9734820735235i,-143.235118538798+29.7045096529269i,-150.881635473489-61.0350370644564i,-92.4337085690991+32.6477856773404i,-49.6220770758514+26.9875685912805i,-28.1571779655983-67.5079270180998i,-1.77694091820872-139.352739240088i
-25.9165726201611+36.1939987443832i,-122.025554331508+42.3013540460845i,-74.8227951481117-21.3197986928658i,-23.1471106596305-25.2439458452209i,42.7959672366912-77.1324513319785i,181.366525176586+65.4205276868947i,77.6827765102149-24.8226850713929i,-73.9359686485293+17.7881410363076i,-42.4365490844295+88.8321577348267i,138.768281884106-13.1253402168511i
-12.3366258488549+51.8168769989776i,94.8904943057152-43.3495814019276i,56.35035266804-65.7620932781123i,39.2113382729319+53.0367333261954i,-101.556381025019+18.427442903236i,-108.427066084654-35.1395007944357i,-79.5582944555881+63.0023481757198i,-61.4969823761304+23.0649476178918i,-20.3198856077938-56.2858274362502i,-0.765728497447753-124.7148508304i
-63.8652855572219+45.7940526774417i,-55.5750498907853-16.8945843498056i,-52.9107907463733+10.6698692577811i,-28.521211920574+3.70242614582638i,-36.9742064306972-40.8354427959757i,78.6764077740234+25.8987591410857i,52.7097088606319-45.1457383353728i,-45.7253868215866+4.77324654305429i,-69.795185542684+72.3692995347033i,107.712061292433-46.2496491772306i
30.2405941218414+29.8931025291599i,24.5937188759247+42.7097095356045i,12.2809750013028-92.0658840545746i,44.2387436192406+28.1469207597174i,-6.17688264161512-37.0044157723228i,32.8568359700216+0.509382478552848i,-48.3979066000525+69.3408698972034i,-94.2609026007551+56.5428551692494i,20.0213939632718-40.1863476651081i,50.1463196348105-88.1584220435056i
-96.5446777018898+77.5050535351651i,-1.13266889494214-108.392721051955i,0.826450975510768+23.6985023451603i,-32.8626625396182+19.7271977501364i,-125.970376341962+25.5640626023196i,-67.9688366066083+4.04744917828222i,24.437976278508-37.1323131071438i,-18.2099597180861-38.5765886295476i,-110.868368997861+64.9320721423383i,43.9325539260386-79.8146200879285i
47.2211497851632-1.83226360689304i,-3.15997784182897+114.288851700995i,-39.9436443142877-88.1940251890518i,50.792283267274+22.6936612392105i,55.3490577074976-94.4989083942002i,150.055674479268+5.20757008051921i,-29.4274169134647+51.7565043870653i,-106.773660733636+102.895254555988i,50.2435269689663-41.2402984974438i,106.01908817189-68.8790204360143i
-91.3250511006891+101.693672028371i,-2.25345511390332-138.171446182002i,36.3196226635395+6.14080839897078i,-41.4544183553276+14.6972408231012i,-150.68643156747+59.489205816763i,-127.25765864149+8.60418058859558i,19.5530610857939-17.0504508846484i,-22.6245010773557-71.7159229231044i,-119.366898145225+74.8378977135459i,6.15105163198605-87.1008540249444i
25.2108426340844-9.25931280668663i,18.2936044249111+90.1365972762437i,-52.4672036133009-63.9621449914925i,63.0141772708205+34.7178852268564i,41.9451357881077-88.8680577554885i,138.228366558499+2.63619239915338i,-37.3090851944469+37.7042560533701i,-86.4381409066726+117.001100976777i,33.1918181114291-52.6224433358277i,110.165578309611-74.1655648480244i
-56.8818472260362+90.8487132286179i,-31.3419185461816-61.8923703031761i,21.8819801704702-14.4807228538227i,-54.7487655470028-0.20098556760727i,-110.388984766493+13.7842194069092i,-48.5164859691494-4.5086485190947i,36.2805652352986-14.9977214064903i,-50.438039916039-58.3538100180365i,-77.8205290795089+84.0248636156029i,33.0888360031932-80.2085681349519i
-8.86505078804253+19.0356922938453i,40.6237063369302-22.6428575754401i,-18.9938880369007-54.9727292324968i,76.2882050073606+47.0656030568373i,-11.025627366211-7.89788708800443i,14.0444081421617+37.2711566982468i,-54.5984231188488+50.4858628752119i,-58.6191013254303+82.6764651638299i,-23.746833699343-52.7684479919138i,53.1819689283636-79.1810247565808i
