0.99160619883637-0.12929480433987j,-0.213156870766302-0.977017987779712j,-0.849575354698232-0.527467265988491j,0.949103147685143-0.314965418822691j,0.26571970310673-0.964050330315213j,0.980851390992274-0.194757666828604j,0.817084409803032+0.576518054580107j,0.356468467858558+0.934307353830939j,-0.622912830645919+0.782291253572919j,0.844482194781073-0.535583628108385j
-0.801155715989679-0.598455945527375j,0.224992250981665+0.974360552874655j,0.844856411378615+0.534993125331951j,-0.367626159345706+0.929973659285426j,-0.993494843227437-0.113877111310788j,-0.992968265360288+0.118380842991508j,-0.718185116720606+0.69585209500368j,-0.813225318257076+0.581948951150939j,-0.825581083094495+0.564283506082289j,0.404629786689759-0.914480582474773j
-0.463303638499307-0.886199604238968j,-0.702780758353081+0.711406498205258j,0.986235336480568-0.165347697525729j,-0.195422032732359-0.980719240722212j,0.864437849604057+0.502739698225546j,0.957516276690939+0.288379229265772j,-0.990823451559046+0.135162449817315j,-0.998755561844771+0.049873115845475j,0.198407533183108+0.980119610443641j,-0.886061038433982+0.463568588419549j
0.634611156387639-0.772831598854721j,-0.0781574260232367+0.996941029729152j,0.687651116776199+0.726041280917584j,-0.951573933989085+0.307419986586j,-0.999968912053621-0.00788510788110555j,0.829685692405326-0.558230823063269j,-0.821453659063742-0.570275272136878j,0.992936940183865-0.118643300772965j,-0.841969938704711+0.539524440889924j,0.284217291944232-0.95875989223574j
0.327682404577376+0.944787934792983j,-0.983846842294739+0.179012264682261j,-0.351591658037029+0.936153462846115j,0.816853563683807-0.576845087954353j,0.364102789904638-0.93135876996121j,-0.209177869144413+0.977877609448239j,-0.168675701683105-0.985671602341121j,-0.528476853050218-0.848947710869249j,-0.352497858287931+0.935812620080763j,0.0384499585833289-0.999260526932261j
0.287128921361114+0.95789194720386j,-0.99689163667987-0.0787849269703896j,-0.917867972674973+0.396885858575907j,0.991247014089069+0.132020290332603j,-0.954458188435426-0.298344710910994j,-0.237536630427674+0.971378581813016j,-0.992982768585512-0.118259127733341j,-0.880117151884865-0.474756568104196j,0.666941153444675+0.745110393057221j,0.418160728535604-0.908373053932454j
-0.616584023104543-0.787289109827017j,-0.617322803237239+0.786709957101928j,0.829650604146873-0.558282970400074j,-0.859024539663973-0.511934410110416j,0.992801142216468+0.119774337876179j,0.489296051475829+0.872117752376457j,-0.0878128478730902+0.996136990452828j,-0.940600403872986-0.339515655359184j,0.595499958101217+0.803355338503111j,-0.883825143828325-0.467817395077225j
-0.493840898494815-0.86955227960936j,-0.790252660860453-0.612781145273722j,-0.894107214699077+0.447852976570501j,-0.0387014484730472-0.999250818306439j,-0.946958582001783+0.321355634730701j,-0.0621256333538398+0.998068337179566j,-0.633658175363174+0.773613157072327j,0.917622886379546-0.397452183781232j,-0.763999892964266+0.645216369561862j,0.200381461676152+0.979717954217707j
0.99532971598648-0.0965337064152857j,-0.956376962956027+0.292135421897117j,-0.775865496190676+0.630898353002127j,0.935678601757992+0.352853445798974j,0.959211454202561+0.282689557866237j,0.163661929613154-0.986516483792997j,-0.985905407314849+0.167303699383312j,0.594826479724609+0.80385412794762j,-0.530350100011714+0.847778727863329j,-0.371433973542458+0.928459370838843j
0.84755366070078+0.530709706179101j,0.589033198238259+0.808108836341497j,-0.709349400276918+0.704857026869121j,0.974795507404012+0.223100243713345j,-0.304413847458793+0.952539872905767j,0.721205867624844-0.692720792602255j,-0.265341618822398+0.964154461339421j,0.548724895965263+0.836002983575963j,0.62881605958926+0.777554090210216j,0.820329036595195+0.571891835681188j
-0.74535172867902+0.666671433732687j,-0.267907845924097-0.963444542302415j,-0.998686760138335-0.0512323640328711j,0.959287934220498-0.282429919199382j,0.941341606838581-0.337455151441726j,0.174935075192382+0.984579971087893j,0.706452736795374-0.707760221172627j,0.861670484793898+0.507468201599912j,0.0664090129285762+0.997792484939555j,-0.633903982416624+0.773411753903666j
