-0.803050392784852+0.595911123111572j,0.605109993628171+0.796141881583499j,-0.997862946702009-0.0653417140820668j,0.780434449223707-0.625237611204643j,0.695518184465712+0.71850849339275j,0.919803048499556-0.392380366444249j,-0.999826129201627+0.018647020289884j,-0.989402622036952+0.145197973492764j,-0.945910259235608+0.32442839190309j,-0.621000252703412-0.783810363635426j
0.260848864171057-0.965379650738853j,-0.91812918133462-0.396281221333816j,0.969275077207322-0.245979317636139j,0.0359818341967447-0.999352444139623j,0.0529263781571706-0.998598417030171j,-0.207808367021884-0.978169557181012j,0.407719378023554+0.913107282187633j,-0.220187065652757-0.975457664954881j,0.0722493087437825+0.997386603773103j,0.987363595878503+0.158471226201706j
-0.261140494224431+0.965300804037902j,0.841066235819687-0.540932146358583j,-0.971120324911395-0.238590264981593j,0.681657168213858+0.731671719436158j,-0.801538968748883+0.597942540364019j,0.530587293515684-0.847630299104333j,0.767806073242965+0.640682319009366j,0.0290602234096199+0.999577662523219j,0.633803231191238-0.77349432068474j,-0.927837636457728+0.372984343334324j
-0.906473611395316-0.422262467955575j,-0.531605416856239-0.846992137371478j,-0.0877773403873438+0.996140119920147j,0.796918100665177+0.604087361920614j,0.466076664104701+0.884744337747936j,0.993983868203759-0.109526570980254j,-0.924755810385366-0.380561021596411j,0.0868563496141982+0.996220846264369j,0.859999093915359-0.510295559910884j,-0.979043078317817-0.203653261201418j
-0.145693256357702+0.989329811059936j,0.0370902385514223+0.999311920375314j,0.831289890576318-0.555839111457276j,-0.653858732254737+0.756616652112698j,-0.779708151568117+0.626143113336104j,-0.908305802931873+0.418306787370567j,0.989564241356648-0.144092373941999j,-0.267819195510893+0.963469189188683j,0.45527615423613+0.890350281284821j,0.335086141105106-0.942187496223172j
-0.989637421425806-0.143588906652576j,0.696340336211722+0.717711736120112j,0.859181763412594-0.511670496920847j,-0.243894741056071+0.969801709260812j,-0.515842978550002+0.856683151159553j,-0.42971857749844-0.90296286975308j,0.305056257084847+0.952334332056439j,-0.999967860175224-0.00801739462569796j,0.999735280777082+0.0230080066404931j,-0.625589514798191+0.780152394711805j
-0.528300625838101-0.849057388366105j,-0.263439711244566-0.964675861903562j,-0.999662900497922-0.0259631540472549j,0.962952493784023+0.26967108616819j,0.29548883531154+0.95534619285693j,0.0480027270383578-0.998847204629858j,0.827178909200463-0.561938655169701j,-0.733616868981141-0.679563307975281j,0.44981802115155+0.893120231462317j,0.873281566834553+0.487215871074608j
-0.911564982437518+0.411156032174754j,-0.978375497275947+0.20683661747873j,0.344153231781045+0.938913496044583j,-0.507433746737548-0.861690775552282j,0.757713155474006+0.65258775197028j,0.754704413474471-0.656064972607252j,-0.820814903688563-0.571194269826593j,0.993890570638287-0.110369985033524j,0.101979032338258-0.994786548443108j,-0.983590667102047+0.180414521560075j
-0.390793862290494-0.920478222010754j,-0.289035980715937+0.957318234367014j,0.97770254862242-0.209994586637906j,-0.263184450133817-0.964745533914389j,-0.632410052507711-0.774633800893813j,-0.748122645249755+0.663560477774641j,-0.339784944970108+0.940503158512326j,-0.967900325857852-0.251334357389242j,-0.821319409444257+0.570468603579668j,0.866446609076873-0.499269740340018j
-0.386006156536083+0.922496204391238j,0.904917063645528+0.425587955566361j,0.839538669473791-0.543299937841131j,0.313806907686618+0.949486821755922j,-0.242166982195047+0.970234586445229j,-0.994579272101469-0.103981111294849j,-0.832228736619154-0.554432439477784j,-0.595289527680223+0.803511280713754j,-0.950791541317269-0.309831316944449j,-0.634176392515245-0.773188400828899j
0.960147089038212-0.279495201052626j,-0.964855263454866+0.262781887852722j,-0.90492889463042-0.425562798730065j,-0.962998303408257+0.269507453761149j,0.206756953657212-0.978392335474062j,-0.684918823437813+0.728619383011845j,0.926469421414854+0.376370045544575j,0.938192200364576-0.346114713895662j,-0.518411269181405+0.85513142614789j,0.819073334526279-0.573688829129522j
