-0.624711259084749-0.780855839942782j,0.0565021999134151-0.998402474658864j,0.863080390751181-0.505066568979563j,0.881120516755588-0.472891779324156j,0.834066689135226-0.55166362765276j,-0.984225081966956-0.176920852437294j,0.885135866799301+0.465332673799563j,-0.675839798502405+0.737048551155369j,0.237911127496858+0.97128692743863j,0.384016909630751+0.923326060023028j
0.327258873449079-0.944934722480257j,0.88956747350453+0.456803798235925j,-0.898365344994508-0.439249026080763j,0.598975252654163-0.800767535997733j,-0.983135615615851-0.182877995690139j,0.852195520951466+0.523223464755031j,-0.257156950946642+0.966369651106566j,-0.933013478244283-0.359841422594044j,-0.793804703514806-0.608172749042384j,-0.297113471299325-0.954842178149073j
0.895932545333483-0.444190132952396j,0.98739457545811-0.158278085520069j,0.999858965374581-0.0167943252342238j,-0.830512653923465+0.556999759131907j,0.989103370392493+0.147222697564648j,-0.967866152062919-0.251465925506656j,0.722544412001451-0.691324506064611j,0.235145460814762+0.971960190675633j,-0.506158679370597+0.862440369705531j,0.992837893445123+0.119469315472428j
-0.150029371490908+0.988681540077513j,0.916598373963253+0.39980923056868j,0.388452162184651+0.921468891332784j,0.769173014574118+0.639040588422179j,0.879968028804059+0.475032912841519j,0.956204393271507+0.292699775005498j,0.82709083878523+0.562068273786686j,0.128869984485395-0.991661498243596j,0.990685544418234-0.136169571052962j,0.629958905497345+0.77662846804929j
0.628631983027805-0.777702918802887j,-0.999666931570586-0.0258074780683711j,-0.694370287085519+0.719617887779879j,0.977728988560181+0.209871448580044j,-0.140465923850039+0.990085513598172j,0.542204081074506+0.840246829488901j,0.427634592089251-0.903951688780247j,0.138640998460056+0.990342705100612j,0.0608527156670362-0.99814675624176j,-0.572899725644449+0.819625465902881j
-0.732263825131736+0.681021064581293j,0.382317423661222-0.924031053355376j,-0.988562456745218-0.150812032390852j,0.134888021494051+0.990860848786256j,0.311582853777326+0.950218988040114j,0.999861126720498-0.0166651514609604j,-0.935096951599363-0.35439200203952j,0.944225796352374-0.329298717736229j,0.868677384956192-0.495378240202042j,0.557767358958946+0.829997333296898j
0.758665949667718+0.651479836076896j,-0.835292030912929-0.5498065324215j,0.995165231003789-0.0982148817704122j,-0.0436004725644082+0.999049047240505j,-0.734988089943767+0.678080015662468j,-0.842274177694657+0.53904935728446j,0.781163651114096-0.624326317063516j,0.518551352774139-0.855046486769059j,0.388879438460026+0.921288653106622j,-0.999989776998236+0.00452171416816861j
-0.829367000104765-0.558704196455712j,0.966361243840019+0.257188542520796j,-0.0343083353809124-0.999411295775363j,0.71111002294219-0.703080745911277j,-0.860785436726446-0.508968006774161j,-0.807363366900482+0.59005456848254j,0.60568709389606-0.795702924644459j,-0.325040609672966+0.945700059248928j,-0.990183271716603-0.139775135172908j,0.998743349807503-0.0501170750871127j
-0.382285394609219+0.924044304710804j,-0.0485456533148244-0.998820964710011j,-0.428360294985864-0.903608022142136j,-0.579232728546115+0.815162220776345j,-0.00416928551892272+0.99999130849136j,-0.958592412725106+0.284781646645038j,0.331753043643651-0.943366269289492j,0.133786565093864+0.991010168969212j,0.993834530329389+0.110873469887812j,-0.985214470073082+0.171325561311254j
-0.466088903404093-0.884737890068901j,-0.0433741145796747-0.999058900257852j,-0.998437629156896-0.0558775508013465j,-0.978176432125733-0.207776003508036j,0.0249048801580153-0.999689825368006j,0.0874149888310217-0.996171983006786j,-0.212734572201195+0.977110025427216j,0.536239440512069+0.844065911193731j,-0.114346737544656+0.99344090091605j,-0.845576041262824+0.533854997581077j
0.978752121045226+0.205047032530272j,0.294402983070675-0.955681371357152j,0.51244690342756+0.858718912780838j,0.318241313017513-0.948009739764782j,0.593842396594898+0.804581386813309j,0.324262746137799+0.94596705622721j,0.96844817587712+0.249215028921371j,-0.927373814351631+0.374136082802644j,0.405901959456802-0.913916626016361j,-0.270719116982534+0.962658381618421j
0.961468564588693+0.274914894663346j,0.639119606402098-0.769107358378807j,-0.837104640222599+0.547042796605341j,0.897611765924096+0.440786930017924j,-0.748667610962623-0.662945554548425j,-0.152894531501084-0.98824251185479j,-0.968963800076165-0.247202658039831j,-0.510821249765414-0.859686949294975j,-0.940532098336651-0.339704830696379j,0.99979003814133+0.0204909646761223j
0.872887439770635+0.487921630480415j,0.309319040087212-0.950958322661685j,-0.641748794192367+0.76691491389374j,-0.398013656026487-0.917379490514383j,0.659254581077728+0.751919807777418j,-0.827482101609594+0.561492093903173j,-0.949261005933276+0.314489336249331j,0.0281454791021648-0.999603837530704j,-0.215526228142393-0.976498051704515j,-0.770027321931372-0.638010911724243j
0.895633033198491+0.444793738539193j,-0.288605417591973-0.957448125454618j,-0.966600711489144-0.25628707448617j,-0.99999985418278+0.000540031868402378j,-0.399452240015471-0.916754006234291j,0.163735445549905-0.986504284770509j,0.152008288160101+0.988379218888497j,0.759644330040858+0.650338751603174j,-0.640373323019124-0.76806380409797j,-0.199949990026477-0.97980610402692j
-0.03885973576705+0.999244675210289j,-0.813346722275654-0.581779261716547j,-0.625579376306377-0.780160524469243j,0.608207455573414+0.793778111933627j,-0.228237178755966+0.973605561936412j,0.556261456236869+0.831007335891349j,0.972846781129659+0.231450081973761j,-0.910958499031551+0.412498015803936j,0.500272059795639-0.865868272999899j,0.253638147180354-0.96729917310774j
-0.974501173368485+0.22438240372954j,-0.770066282942537-0.637963886027308j,-0.911924199371189+0.410358690173873j,0.962024845666355+0.27296189536385j,-0.198156016165255+0.980170491933682j,0.830465177581726+0.557070542053834j,-0.840650247026728-0.54157839891737j,0.00889450191869912-0.999960443135436j,0.954531141957355-0.298111219234679j,-0.492367829653202-0.870387224356261j
-0.161606067539542-0.986855348536149j,0.0602615410290308+0.998182621904833j,-0.254689083581032+0.967022993886213j,0.517550249605888-0.855652814599989j,0.695352987405458-0.718668367820864j,0.543625281351583-0.839328036869621j,-0.750383002743188+0.661003289851205j,0.61449911361344+0.788917511130471j,0.906697471718534-0.421781572356142j,-0.395355577281429+0.91852815281431j
0.388415009949523-0.921484552255713j,-0.0227052494836965-0.99974220259319j,-0.765826454463786-0.643047309024326j,-0.541044123796464-0.840994206939213j,-0.836222032857406-0.548391020863606j,0.998629984227658+0.0523273790808182j,0.941097418719865-0.338135547493616j,-0.7868813679791+0.617104296474542j,-0.999864599524691+0.016455473780174j,-0.884743572396266-0.466078116954115j
