-0.919016964433237-0.394217984221823j,0.760246388555978+0.649634842575114j,0.984445436845387+0.175690585616574j,-0.593671202374342-0.804707713068169j,0.381714259276467+0.9242803818458j,-0.9381546803999+0.346216400021377j,0.878083156536324-0.478508067024168j,0.284000486585738+0.958824135918086j,-0.14863193136691+0.988892587179286j,-0.355489952728645-0.934680102232301j
-0.581696433766691+0.813405961954493j,-0.887511825983941-0.460784937621284j,-0.856819815667183-0.515615945719345j,-0.996387831258552-0.0849193129969764j,-0.993060268560848-0.117606560216074j,0.803428871886318-0.595400745565101j,0.853569782068997-0.520978528481439j,-0.992681548252474-0.120761516051563j,-0.983657075228442-0.180052098996448j,0.294005807546173-0.955803633142877j
0.371734186618426-0.928339213056918j,-0.756314155677936-0.654208604285492j,-0.741888588006958-0.670523171102268j,0.103192218665429+0.994661432853866j,-0.868358827884337-0.495936433462334j,-0.555808863363153-0.831310115063542j,0.237018758509411-0.971505073643292j,-0.669402109932588+0.742900272726965j,-0.969393830400815-0.245510899108035j,0.84598028647787+0.533214173565202j
-0.833485437951306-0.552541423535937j,-0.251056568837014+0.967972416571767j,-0.0157246704544196-0.999876359726091j,0.983156596518492-0.182765168241036j,0.806374333324002-0.591405473897792j,0.170527557524694+0.985352907401537j,-0.0483143786888549+0.99883217850243j,-0.795380400045202+0.606110566830785j,-0.658902867496658-0.752228031387213j,0.135250263553691+0.990811468549218j
0.752006773987617-0.659155377643798j,0.68110223501808+0.732188326493516j,-0.530498178605094-0.847686075441067j,0.116578635524083+0.993181464657564j,-0.591608243764725-0.806225580039246j,0.899598589043795-0.436717733313421j,0.469020121629431-0.883187480383816j,0.976717889481545+0.214527770618904j,0.640357366004801-0.768077107980308j,0.348959212353936+0.937137913070067j
0.28658856106357+0.958053754581398j,-0.808234449350984+0.588860828109929j,-0.196876019500822-0.98042839256394j,-0.256150422368806+0.966636933455515j,-0.760800828020624+0.648985439037836j,0.1847793039598-0.982780040918685j,-0.751947535732049-0.659222954323118j,0.994713015479638-0.1026938013485j,0.857055428507866+0.515224215720883j,-0.996979180318139-0.0776692604070096j
0.133422211795482-0.991059288539087j,-0.998894404434451-0.0470103051419854j,0.687124930657079+0.726539282950003j,-0.314092637852016+0.949392339787489j,-0.97521543945867-0.221257421664072j,0.496500942666634-0.868036182385933j,0.761802234427006+0.647809660025243j,0.984436058218732-0.17574312868151j,0.728895783147181+0.684624668932005j,0.472962410256192-0.881082605936954j
-0.979232934634169+0.20273840220282j,-0.948785894129547-0.315919811187579j,0.191428037890801+0.981506651179338j,-0.309136730012547+0.951017603494883j,-0.986251396977962-0.165251874298047j,0.474948952174611+0.880013348096629j,-0.65592179621098+0.754828852956325j,0.81447802571305+0.580194403308557j,0.899008887762758+0.437930382279615j,-0.665573923834945+0.746331931456074j
0.291455261926078+0.95658446061788j,0.633060631124587+0.774102213741919j,0.942346949399287-0.334637455999559j,-0.057462918595287+0.998347641348699j,0.515175937347977-0.857084449501701j,-0.771093233966982+0.636722250695184j,-0.999980370977347-0.00626559334845332j,-0.848507619373442-0.52918316287011j,0.933306911154434+0.359079670256294j,-0.999491935783913+0.0318727203565517j
0.048704086845815-0.998813251776585j,0.183959092383107+0.982933900285051j,0.0892768907921738+0.996006845744788j,-0.889625912831505+0.456689977138442j,0.71920335439956-0.694799636600669j,-0.442610934694575-0.896713756161237j,0.977423492112681-0.211289652056726j,-0.274284794961491-0.96164850712354j,0.654986663492229-0.75564043740877j,-0.88507473331102+0.465448940759808j
-0.07860805219485+0.996905599407553j,-0.599755096476678+0.800183619083927j,0.464757382831515+0.885438069603742j,-0.993037186015391+0.117801303857948j,-0.224629844916647+0.974444166062234j,-0.956757754668435+0.2908858863572j,-0.315250918683178+0.949008355215808j,0.920742446764856+0.390170919886998j,0.99332827836557+0.11532099288201j,-0.422083356437316+0.906557025353954j
0.926994939592355+0.375073835358008j,0.297492755936056+0.954724075409j,0.734296853606935+0.678828498799921j,0.0254290307750234-0.999676629912815j,0.940687901681447-0.339273151944205j,0.234444230757119+0.972129570923909j,-0.857708914788051+0.51413560224235j,0.786981249879163-0.616976913943002j,0.0468423517709605-0.998902294561668j,0.456125915757942+0.889915248197253j
-0.897545162465946+0.440922534391222j,-0.905778348683815+0.423751794162127j,-0.994955509738267+0.100317165238384j,0.406657362472621-0.913580751519433j,0.46129181565837+0.887248477489031j,-0.838438969809698+0.544995498976325j,-0.956060464952574-0.293169553935378j,0.999365826296478+0.0356082185844463j,-0.345870538309791+0.938282244705342j,0.0950971682373987+0.99546799476087j
-0.990353503643357-0.138563840237368j,-0.559677573981353-0.828710451956742j,0.518032692046822-0.855360818585188j,-0.690461050471408-0.72336957205976j,-0.694386417792051-0.719602322665737j,0.949666710219732+0.313262093941209j,-0.807908033422453-0.589308585998426j,0.947598669239445+0.319463240538927j,-0.74638339591098+0.665516210402416j,0.125773436717514+0.992058991500135j
-0.328295557724078-0.944575050897829j,-0.455906362430154+0.890027746025766j,-0.967429846375728-0.25313927459293j,0.939396607814182-0.342832339821098j,-0.592835282173668-0.805323741243276j,-0.708213847394558+0.705997979004613j,0.741242153895389-0.671237714441407j,-0.959138482171687+0.282937046032138j,0.81940261272363-0.57321842107672j,0.919146688254395+0.393915429338554j
0.582176052815943+0.813062754975068j,0.811525928920016-0.584316409739198j,-0.998037131606096-0.062624946590613j,0.811279435630914+0.584658598946758j,0.222903826431998+0.974840440360356j,0.920370242834134-0.391048099478104j,0.930116267621578+0.367265202143771j,0.482389391206368+0.875956891206154j,0.562987702971429-0.82646527229095j,-0.236267678133573-0.971688007680125j
0.358455399766258-0.933546852803014j,-0.855269464558661+0.518183503204744j,0.999217338224377-0.0395564279452936j,-0.530431825667218+0.847727596766403j,-0.729520736013571-0.683958694459116j,0.461111189046754+0.887342364217943j,0.887608833900961-0.460598043831035j,0.421519303434514-0.906819429011136j,-0.635920549109867+0.771754530417416j,0.732975775090518+0.680254741350955j
-0.284665739277555+0.958626839224504j,0.0763310059700987+0.997082532956822j,-0.830394733852824+0.557175543244226j,0.1605817044795+0.987022551001981j,-0.971504860745023-0.237019631146436j,-0.922737889610337-0.385428056941191j,-0.610356407199645-0.79212691924359j,-0.996696551679086+0.0812156627198178j,0.144064007897906+0.989568371376325j,-0.252914446822955-0.967488647265816j
-0.93747506749881-0.348052435443427j,0.995751810372341-0.0920778591204554j,0.649838165937874-0.760072600539251j,0.814143782604426+0.580663328656595j,0.722417031513989+0.691457614448287j,-0.91947899772995-0.393139126434303j,0.99371696258126-0.111922286780935j,-0.990363500674215+0.138492369942588j,0.996581171206223+0.0826194238495616j,-0.0275244254386141-0.999621131231365j
0.693631005612978-0.720330499182375j,-0.610504897734774+0.792012480862425j,0.995662026598794+0.093043692903834j,0.373038179211581-0.927815992991341j,0.558312424816219-0.829630783117306j,0.969618024808478+0.244623968503713j,0.869542630679236-0.493857887890266j,0.707948824260252-0.706263734187539j,-0.0689663298361014+0.997618988065553j,0.4013530639293+0.91592342369576j
0.907136076882939-0.420837424687291j,0.935396100603752+0.353601661443064j,-0.914626647806633-0.404299511651946j,-0.670497172109711-0.741912085218242j,0.750178283267897-0.661235618605979j,0.227815401557276-0.973704340553793j,0.8559994080938+0.516976801552124j,0.455430453665503-0.890271364177257j,-0.949533485274581+0.313665682442798j,0.708347045952534-0.705864337171329j
-0.518428052789219+0.855121251099035j,-0.997607542064246-0.0691317005181631j,-0.87162166096731-0.49017923266147j,0.708850464418173+0.705358787493387j,-0.258556752953384+0.965996069092521j,-0.527906739468168+0.849302345707398j,0.63150439562777+0.775372296579395j,-0.600192559566013-0.799855544108808j,-0.490705266530992+0.871325623058767j,0.9566452096303-0.291255803189222j
-0.869292434037049-0.494298153067501j,0.200309204285805+0.979732730227172j,0.841799819710916+0.53978983274481j,0.999843566209872+0.0176873714476173j,-0.397212135633468-0.917726821720657j,0.43249454170313-0.901636551719705j,-0.0476035519230224+0.998866308293714j,0.920562533441466+0.390595215054958j,0.940767096560095-0.339053491399056j,0.928441177825935-0.371479446695493j
0.639578279410763-0.768725974913017j,-0.966870293627944-0.255268163506171j,-0.139086300712268-0.990280263841594j,0.954821500986812-0.297179913946571j,-0.972111044109634+0.234521039397488j,0.592012752096942-0.805928595692326j,-0.992113233896217-0.125344848829098j,-0.517378999749562-0.855756373402j,0.877820209557673-0.47899027097857j,0.99924153958625+0.0389402820393092j
-0.844941001720762+0.534859517640955j,0.543473408931984+0.839426383778737j,0.827725105131805-0.561133807869872j,-0.0298065960187687-0.999555684708848j,-0.981724958063335-0.190305298705905j,0.474022202823723-0.880512891007364j,-0.95759367065003-0.288122130234736j,-0.987021193579125-0.160590047716664j,-0.986394936798673-0.164392909390711j,-0.162333276416435+0.986735986658998j
