-0.684352507816816-0.7291513183454j,0.974869550729837-0.222776477797378j,0.061990020078317-0.998076769297177j,0.828244737235314-0.560366536511599j,0.253144538464892+0.967428469007087j,-0.201889245305234+0.979408358464478j,0.323748264822698-0.946143256079275j,-0.990489294959554+0.137589812742533j,0.973533351223858-0.228544993502033j,0.980489652731744+0.19657070200308j
0.586103386410308-0.810236274452316j,-0.409711736497827-0.912215047549609j,-0.0266790396549758-0.999644051071724j,-0.46107902154012-0.887359079457468j,0.910635961559724-0.413209566097153j,0.737284999911376-0.675581844712898j,-0.078707958613216+0.99689771654415j,0.775097244150494-0.631841959757588j,0.0521874404635606-0.998637307062911j,-0.558240102992321-0.829679448589106j
-0.575174561179488-0.818030698795579j,-0.456721197285639+0.889609885258686j,-0.998104928249696-0.0615349673248423j,-0.886213558895079-0.463276945282752j,-0.960070244648953+0.279759048718178j,0.990766593154814-0.135578604095201j,0.997215067322998+0.0745795515137266j,-0.222018409500027+0.975042473866179j,-0.992119518870784+0.125295092783413j,0.340971539305578-0.940073619129685j
0.731577785585494+0.681757980252395j,0.304270083549182+0.952585805193933j,-0.457664832978955-0.8891247947585j,0.892674668044891+0.450701605312145j,0.75355859595521-0.657380743908743j,0.236147845019361-0.97171713749049j,0.27901425834237-0.960286959008429j,0.980682156714227+0.195608045597141j,-0.120200142822636+0.992749679257273j,-0.333295974959898+0.942822248928997j
-0.581089475626192-0.813839677895147j,0.105703841244728+0.994397655843028j,-0.942473761976247-0.334280133998926j,0.614227857147823+0.789128721758113j,-0.418923437427523-0.908021560082088j,-0.377857989004166-0.925863564541627j,-0.825444734350728-0.56448294086948j,-0.999306722075181-0.0372300310953103j,-0.264953785541163-0.964261111695068j,-0.995214803025233-0.0977112881884544j
0.225193860700809+0.974313976653658j,0.892856850042143+0.450340588147263j,-0.222577908099188+0.974914906453989j,-0.863430830575411+0.504467244538093j,-0.423324266760942-0.905978236588115j,0.956653536262841+0.291228452517609j,-0.923410483744897+0.383813859194812j,-0.99603354064184+0.0889785699844589j,-0.55432042370188-0.832303350868521j,0.0900528198128265-0.9959369908j
-0.0932034277874559+0.995647086596786j,0.130361915451991-0.991466474975169j,-0.124771682184805-0.992185480303342j,0.967794430677436-0.251741812080827j,0.903970935141337+0.42759390596651j,0.989577318766814+0.144002535332834j,-0.998244016293692+0.059235833191066j,-0.919694422371884-0.392634906061658j,0.0961563953312176-0.995366237943053j,0.579034484042747+0.815303051809172j
0.061010072033459-0.998137150451015j,0.484249968462094-0.874929693200809j,-0.897488317207805+0.441038230174553j,0.892093447181261+0.451850950531538j,-0.294471302706708-0.955660322437954j,-0.963991329807531+0.265933668526398j,-0.908445809410077+0.418002645165398j,0.490083228258271-0.87167564459491j,0.629807403944032+0.7767513333991j,0.349155432943232+0.937064823609458j
0.788370979646098+0.61520012878075j,-0.286812274643632+0.95798680529209j,-0.636873796160206+0.770968071819118j,-0.630096296120282-0.776517004073641j,0.421253900053883+0.906942749951392j,0.897936342522288-0.440125351209965j,-0.714939163871417+0.699186664605983j,0.981230257952393+0.192839780332481j,-0.304488772884664-0.952515924899522j,-0.23955246136317-0.970883421557319j
-0.820048399687924+0.572294174502305j,-0.464301598362164+0.885677156619917j,-0.873910465974958-0.486086923769228j,-0.0704163234063392+0.99751768976692j,0.874396589074239+0.485211917635312j,-0.204241261848372-0.978920582559476j,0.730013967052064+0.683432226273321j,0.534523296349462+0.845153740842283j,0.0845116430694279-0.99642249181043j,0.613230759096173+0.78990381445992j
-0.836060892918197+0.548636658757714j,-0.975903760555556+0.218201398101669j,-0.956467377964432+0.291839262077336j,-0.904494400715934-0.426485496908773j,-0.72963253271312+0.683839430865637j,0.983821035012787-0.17915404284126j,0.686124262765545+0.727484361374482j,-0.846835501429018-0.531854898933406j,-0.720962673756927+0.692973897812365j,-0.999993558770348-0.00358920852202741j
