0.345458249236981+0.938434120241863j,0.740176922224284+0.672412168098248j,-0.781837427014071-0.623482347560873j,-0.348506995037541+0.937306179649907j,0.652879923572958-0.757461421720848j,-0.40312772741367+0.915143723898214j,0.254937965845525-0.966957410422272j,0.940063545916764+0.340999310319538j,-0.969231800521483-0.246149785411007j,-0.160763918307659+0.986992888814488j
-0.99660140975272-0.0823749359871792j,-0.95355841649365-0.301208144534843j,0.100989636538106-0.994887477713888j,-0.260438566946108-0.965490420898653j,-0.692451500403943+0.721464427112195j,-0.891926365793243+0.452180669647497j,-0.822833186987815+0.568282980909578j,-0.668714967697109+0.743518857849519j,-0.91209560660769+0.409977565736164j,-0.629694090126114+0.776843197086932j
0.757493594700493-0.652842595108289j,0.989575429965169-0.144015514474136j,0.84813397572609-0.529781803405001j,-0.990327589541937-0.138748929336615j,0.461711666543643-0.887030065430418j,-0.999596872759514+0.028391758828933j,0.44142607130762+0.897297622625804j,-0.040326554403664+0.999186553657488j,0.94181488798471+0.336131993077643j,-0.84382106554435-0.536624644741179j
-0.151088512195952+0.988520238276594j,-0.646604836130053+0.762825134544758j,0.947049742802011-0.321086880234377j,0.782045783907773+0.623220981572409j,0.199274603554391-0.979943688371041j,-0.993571221471641-0.11320877997466j,-0.000574566003294216-0.99999983493694j,-0.799176592660016+0.601096309874156j,0.991190420381208+0.13244451874096j,-0.0467037728974596-0.998908783421761j
0.864798931492234+0.50211832080685j,-0.520626265010392-0.853784687249267j,0.293368250762919+0.955999513307567j,-0.930993549527966-0.365035629408033j,-0.998272794733271+0.0587488493114918j,0.769311053974481+0.638874402549259j,-0.837600297156599+0.546283573067301j,0.929856364203431-0.367922739104798j,-0.323554951931992-0.946209381204967j,-0.0307372322718931-0.99952749964784j
-0.285266374783705-0.958448274774264j,-0.954483029811044-0.298265227277218j,0.25389681267511+0.967231310759438j,-0.99020805033224+0.139599488026369j,0.537241983061976+0.843428154400619j,0.0735112060013164+0.997294391136455j,-0.994560143966316-0.104163909458611j,0.977219906155834+0.212229251077187j,0.836811645301334+0.547490886031972j,0.721575786871005-0.692335456120435j
-0.00679975940889336-0.999976881368755j,0.903655735809792+0.428259630525763j,-0.834326331631024-0.551270870214561j,-0.996749149844678-0.0805675634726014j,-0.871616026578412-0.49018925142404j,0.926702785340823-0.375795087303654j,-0.901657872991959+0.432450089688528j,0.492652128897384+0.870226338312554j,0.890418147667224-0.455143408504254j,0.783898547391405+0.620888933222074j
0.93559325050285+0.353079693006425j,-0.88584670948111+0.463978024588977j,0.559542138302769+0.828801903631721j,0.30968961106197-0.9508377068671j,-0.875416819974973+0.483368794301934j,-0.958607995643168+0.284729188333383j,0.549893470886075+0.835234799728115j,0.956288510547957-0.292424835802246j,-0.989472329850919+0.144722176805748j,0.82976520563677+0.558112626191676j
0.916175270714193+0.400777835379871j,0.207252266584411+0.97828753339477j,-0.999208576292547-0.0397771424743156j,0.969670371441811+0.244416388051006j,-0.541592186082457+0.840641364658215j,-0.137124753303556+0.99055378553183j,-0.937014702561145+0.3492899185265j,-0.803962450565944+0.594680063630858j,-0.606478264171095+0.795100066084776j,0.653934863641199+0.756550853620936j
-0.942162933211407-0.335155198799718j,-0.926213481269778+0.376999452405594j,-0.910601077913258+0.413286434453409j,0.845158788497542+0.534515315239299j,-0.259763103514404+0.96567237200438j,-0.791158096899963+0.611611695203443j,0.69509449924999+0.718918380007359j,-0.332227091486312+0.943199427312456j,0.43155837550095+0.902085011811515j,-0.424985645029264+0.905200089217329j
-0.0996223390816395-0.995025321062687j,-0.880782172675713+0.473521661908567j,-0.828220519817857+0.560402329182025j,0.277966468188266+0.960590777887724j,-0.967995869968181+0.250966124655391j,0.830309794560955+0.557302112911968j,0.348195161819635+0.937422065712877j,0.922622037147792-0.385705297564422j,-0.275053178289048+0.961429014079091j,-0.926885717066858-0.375343665854983j
