-0.874442157560341-0.485129789933803j,0.208176752732364+0.978091222546143j,0.298839169140561+0.954303489979671j,0.427392201974221+0.904066317087207j,-0.0652439975049268-0.997869340539921j,-0.788203976366343+0.615414081444587j,0.346663168276084+0.937989684250732j,0.0120929664526386-0.999926877407731j,0.553761294147407+0.832675464454303j,-0.942102280999681+0.335325650875679j
-0.857897713045983+0.513820507522298j,-0.324424446064303+0.945911612570577j,-0.343513950242184+0.939147574127203j,-0.999910763395165-0.0133590885354418j,0.139730069378401-0.990189632197544j,-0.152911365990112-0.988239907183998j,0.804187840566625-0.594375232563395j,0.00851696605628464+0.999963729986841j,0.189692264566346+0.981843594858006j,-0.604875007783037+0.796320428570981j
-0.900428215577636-0.435004630540497j,-0.0184685599590531-0.999829441601436j,-0.982691871431636+0.185247633782967j,-0.754102340340221-0.656756926338354j,0.537111750771593+0.84351109487847j,-0.999838063053866-0.0179957680773375j,0.227992404325328-0.973662910647189j,-0.868456513517013+0.495765351885219j,-0.406844693862005+0.913497342676119j,-0.396115255968569+0.918200797205576j
-0.72202812833045-0.691863701822568j,0.523926482394962-0.851763488912997j,-0.952063648683149-0.30589999813032j,-0.181568045493098+0.983378383358011j,0.882128988888741+0.471007905413622j,0.23879979131449-0.97106882334269j,0.598827167992051-0.80087828218439j,0.987640373375112+0.156737018216726j,0.691571046438229+0.722308443622482j,0.335475004304456+0.942049107789464j
0.992505957279263-0.122196255119268j,0.920677271085072+0.390324688570099j,0.837411079760245+0.54657358470272j,-0.531353313648182-0.847150314923566j,-0.896245910541492-0.443557513562392j,-0.693969942636639-0.720003971320228j,0.486510313214293+0.873674833754601j,-0.977995186056579+0.208627457565291j,0.74618079937285-0.665743354940396j,-0.990129045130111-0.140158745676946j
0.772246810875049-0.63532264487685j,-0.423835926525983-0.905738984137186j,0.0876038360317949-0.99615539345652j,-0.94123497691966+0.337752451098502j,0.154593340412012-0.987978187562993j,0.475029644154514-0.879969793330678j,-0.991121956544959+0.132955884617764j,0.609752054174146-0.792592223296702j,-0.472459153457403-0.881352567542816j,-0.99991057642321-0.0133730758243521j
-0.224032292448068-0.974581721530043j,0.962900957898506+0.269855044937349j,0.857520037813015-0.514450565894495j,0.446663198279537+0.894702177991478j,0.999948958018974+0.0101035318957467j,-0.398484098338759+0.917175241364019j,-0.944237385444988-0.329265485479443j,-0.155562933206758-0.987825983568012j,0.907664500889774-0.419696502039888j,0.5899109127544+0.80746833684874j
-0.387366728750697+0.921925711463231j,0.96106108334315-0.276336016623405j,-0.731219387760329+0.682142365612494j,-0.161151439225999+0.986929690320131j,-0.953267514744259+0.302127531571196j,-0.531757505192372-0.846896661743087j,-0.959242525940631-0.282584105050228j,0.695061348201963-0.718950431000406j,0.649237687347803-0.760585580541254j,0.964482893248108+0.264145317262599j
0.458744023962394-0.88856846696177j,0.948841639673903-0.315752344125802j,0.997724522151995-0.0674223842397478j,-0.418036407622972+0.908430273549754j,-0.598835654268655-0.800871936814265j,-0.50235738723265+0.864660080894674j,-0.374615646922128-0.927180196661423j,-0.541653224059524+0.840602037153089j,0.0516334189977588+0.998666105383877j,-0.0211698252702806-0.999775894137294j
0.863794013491806-0.503845117328448j,0.185041339284144-0.982730737667206j,-0.853874642723945+0.520478716676345j,0.408019336874405-0.912973285883312j,0.596248450941953-0.802799965588764j,0.305032715993134+0.95234187252995j,-0.999341709207451+0.0362787573978299j,-0.215580134109558-0.976486152373553j,0.628640600225562-0.777695953279973j,0.449671353471772-0.893194085217129j
0.315464891019744-0.948937248996951j,0.913104631704938+0.40772531385602j,-0.711390522012478-0.702796930265645j,0.831794485622516-0.555083717729114j,0.998192657782062+0.0600950742572391j,-0.999087179195154-0.0427177757832798j,0.0895764391857512-0.995979950371894j,0.218641151425939-0.975805332483452j,0.623805809022235+0.781579370652856j,0.625931963975012+0.779877667634087j
0.978927245760903-0.204209322771935j,0.975270656802105+0.221013904496507j,0.996697605356457-0.0812027307219619j,0.435399426124957-0.900237379656087j,-0.852286730222328+0.52307487942639j,-0.978955528533168-0.204073695400329j,0.981953674315323+0.189121605055153j,0.999850880223055-0.017268969777686j,0.758657351378747-0.651489848884067j,0.1964316932548-0.98051751125875j
0.977966823277812+0.2087603711625j,0.658765509255455-0.75234832611989j,-0.921659759841617+0.387999081298774j,0.539165844953587-0.842199615076785j,0.373778634561834+0.927517941791473j,-0.553528245100653+0.832830404029411j,0.973347751654277-0.229334154345933j,0.798293305848115-0.602268875036796j,0.958779720442264-0.284150396214142j,0.0304357991707536+0.999536723751978j
0.619353016008637+0.78511262985702j,-0.0405991163863648+0.99917551598738j,0.826992977548375+0.562212250921013j,0.309393817683775+0.950933996436692j,-0.53618369089366+0.844101326630667j,-0.367893992958992-0.929867737877108j,-0.300304836091822-0.953843281372713j,-0.998766326085568-0.0496570828536728j,-0.863427582366892-0.504472804032153j,-0.998710233453562+0.0507727249134038j
-0.645581508750254+0.763691374548479j,0.664382004825514-0.747393170736815j,-0.769839546738921-0.638237473262745j,0.224490080583449-0.974476374120808j,0.866918483604225+0.498449940099657j,-0.825214599974469+0.564819319773126j,-0.0314970235984805-0.999503845667658j,-0.982690835836111+0.185253127271108j,0.969301558325258+0.24587494591403j,-0.563469931167531-0.826136572650102j
