-0.66055717158359-0.750775747523512j,0.721928358340015+0.691967806638785j,0.0487735579581478-0.998809861807593j,-0.998159856381956+0.0606374563084014j,0.965876024807468-0.25900483528715j,0.78692130316428-0.617053370970641j,0.208797257536313+0.977958948650358j,-0.898348335757278+0.439283812178561j,-0.0907981738802576-0.995869314528774j,-0.952882379616359+0.3033400247522j
0.40500837968373+0.914312972885084j,-0.478469159747555-0.878104357790387j,0.946756438408055-0.321950689287808j,-0.821043387456532-0.570865795011317j,-0.403451176686644-0.915001173786221j,0.559889755519997-0.828567113554333j,0.496270856585301+0.868167746984471j,0.0800093543646328+0.996794112750549j,-0.206088004762853+0.978533460998072j,0.941113934713791-0.33808957672121j
-0.996074085522441+0.0885235344449906j,0.381772486247099+0.924256332812877j,-0.558913065609309+0.82922625687517j,0.01019135832607-0.999948066759204j,0.515343219515676+0.85698387738581j,-0.10430161681+0.994545711735172j,-0.947893038332959-0.318588744119925j,-0.9888761836309+0.148741028124676j,-0.0911995564916729+0.995832636990635j,-0.452756179353403+0.891634365677607j
0.405790027912475+0.913966330477657j,-0.320420772000487-0.947275318410974j,0.530684681422498-0.847569329850663j,0.828739814514271-0.559634094600081j,0.533669425232956+0.845693174012612j,-0.838235968629873-0.545307675441249j,-0.985767174911705+0.168116259970881j,0.420407456629319-0.90733542331955j,0.838065012509154+0.545570375669382j,-0.145842737657226-0.989307786218549j
-0.990547349788893+0.137171235418365j,-0.978758090232898+0.205018537707327j,0.477945995037824+0.878389222285488j,0.910426377938382-0.413671137927217j,-0.805549365681134-0.592528665509715j,-0.982587658782132+0.185799603899063j,0.374104087406009+0.927386721808177j,0.99995614500894-0.00936525807760542j,-0.829587856144662-0.558376207352447j,-0.955792826859107-0.294040936137601j
0.8085487512958-0.588429194362416j,0.962183472391058-0.272402212651596j,0.099987113287438-0.994988732185669j,-0.958955492847048+0.283556630566939j,0.182143271989649+0.98327200126359j,0.275116440615527-0.961410913243158j,-0.608869875938816-0.793270114257591j,0.608896169546508+0.793249932058988j,0.981300485091442-0.192482097763144j,0.113921550575495+0.993489748469744j
0.95820501916491+0.286082402896744j,0.518776539609074-0.854909879432467j,-0.903024442793853+0.429589170856123j,-0.645364465437487-0.763874797823954j,-0.783120149879519-0.621870429311991j,-0.924680917454962+0.380742959087426j,-0.118134044865531+0.992997657320353j,0.97809533416464-0.208157433894064j,-0.849361875511164-0.527810955199072j,-0.129849498518079-0.991533714875396j
-0.662351503094766-0.749193223640006j,-0.974019090509796-0.226465916469721j,0.92367488050934+0.383177132819871j,0.978631208565246+0.205623339196029j,0.439586301553645-0.898200358208784j,0.931198455897686+0.364512600240053j,0.99786149091774-0.0653639422267804j,0.478230878909875+0.878234152408734j,0.635263744311669-0.772295264237143j,0.53667376585227-0.843789825161422j
0.122305155858375-0.992492543473481j,0.896220193524109-0.443609473207696j,0.99871899661919-0.0506000572327624j,-0.603142781726975+0.79763323955979j,0.680563997225231+0.732688641703156j,0.0192846099047199+0.99981403461885j,0.73943733950273-0.673225386441365j,0.800641001352157-0.599144379055512j,0.911634602738219+0.411001643658916j,0.554761614725933+0.832009345396237j
-0.789284908132998-0.614027144182962j,-0.999058188673441-0.0433905017779495j,0.104027957280308+0.994574373339715j,-0.452144117642239+0.891944895653045j,-0.994896839293103+0.100897369463202j,-0.458538469839629+0.88867455892308j,0.0218941611756778-0.999760294123753j,-0.916772147071538-0.399410603707316j,0.984599410799232+0.174825628137884j,0.34492625007556+0.938629789644891j
-0.712390273600957+0.701783512259125j,0.997577720720757+0.0695607009853903j,0.0727941163291066+0.997346989080463j,-0.679019061458213-0.734120640069742j,-0.558727484141275-0.829351311848701j,-0.077934169344546+0.996958507285321j,0.682820202243547+0.730586457175386j,-0.973336052618149-0.22938380211715j,-0.703051848733499-0.711138592675443j,-0.943461911104287+0.331480953141271j
