0.574688432844159-0.818372290070433j,0.916285592168691-0.400525546730882j,-0.997520244409325-0.0703801249896687j,-0.882361377171034+0.470572417462857j,0.969461960676806-0.245241731360474j,0.287622182929374-0.957743953197796j,0.146620895600844+0.989192758249476j,0.724231874764513-0.689556518042632j,0.53456740415774-0.845125842944147j,-0.816894704188114-0.576786825672548j
-0.981261722838657+0.192679607877196j,-0.371448832590898-0.928453426277731j,0.999968653858849+0.00791778376322906j,-0.89789378985821-0.440212155822691j,0.652072917008685+0.758156257577411j,0.999827133205564-0.0185931090983804j,-0.946469199885517+0.32279413512031j,-0.421513890619924-0.906821945044591j,0.25502903354259-0.966933395870849j,0.77096963934629+0.636871898584206j
-0.529825999555839-0.848106367264541j,0.841589813577787+0.540117196247357j,-0.816176411581098-0.577802790905862j,-0.28475832281742-0.958599341532326j,-0.597118512414893+0.802153029123138j,-0.23451932816946-0.972111456940481j,0.718372302512659+0.695658849568279j,-0.417717655666091-0.90857688730499j,-0.275009912149441-0.961441390943596j,0.620455901095537-0.784241337086821j
-0.437200421365224+0.899364103996858j,0.0933260584497289-0.995635599410868j,-0.654465892800061+0.756091525651108j,-0.20698966472651+0.978343129324475j,0.148164983585623+0.988962657353184j,0.711178992465536+0.703010981902634j,-0.445955891859638-0.895054938266738j,0.553608502193483+0.832777056779957j,-0.524014165486382-0.851709548126361j,0.206750416510343+0.978393716901739j
0.604044918068496+0.796950272573907j,-0.779787358180074+0.626044468087164j,0.770054157353518-0.637978522164001j,0.859948498569103+0.510380818417724j,-0.96606409589229-0.258302463456725j,-0.040559167076924-0.999177138432433j,-0.472642719313727-0.881254140347565j,0.981111522930846+0.193442962064572j,0.956217085926122+0.292658306875023j,-0.932507807678299+0.361149814646238j
-0.932866415918291+0.360222500757187j,-0.483968101263625-0.875085639785776j,0.881060172005962+0.473004200092161j,0.81933962010996-0.573308457043909j,0.965124257116259-0.261792223577761j,-0.895526493689463-0.44500820116067j,0.733588405823279-0.679594033847899j,0.209527792077652-0.977802691930772j,0.228814893041822+0.973469950600562j,-0.790495649930471-0.612467654199797j
0.268745909049328+0.963211106855216j,0.625966112791481+0.779850258470639j,-0.610360418926106+0.792123828077624j,-0.339643776305083-0.94055414794536j,0.613970952167417-0.78932861971085j,-0.0271364324249059+0.999631739209619j,0.537790285377289+0.843078649328646j,0.190409260280943+0.981704799621182j,0.038322191906385+0.999265435010883j,0.707055954355966+0.707157604363959j
0.583073571436578+0.812419356177703j,0.936207139135326-0.351448705548972j,0.996337906596857+0.0855030752557654j,0.21107945378226+0.977468907020056j,-0.735200660750547+0.677849532294564j,0.0997768457201087-0.995009839679058j,0.19486798584915+0.980829479619722j,0.986604341232783-0.16313146189692j,0.477206347383642-0.878791273293473j,0.970773572433063+0.239997231370589j
-0.771712136187924+0.635971995342775j,-0.989190143163152+0.146638537461548j,0.744182031895043+0.667976873405483j,-0.725030134221393+0.68871714402279j,-0.787213423349527-0.616680651632851j,-0.818132355273668-0.57502995509309j,0.864146243427033-0.503240767397621j,0.051612640335835-0.998667179473504j,0.871209895298196-0.490910703014821j,0.0136406778158944+0.999906961626292j
0.811260623440266+0.584684702087639j,-0.895591873478986+0.44487660778962j,-0.288638174620654+0.957438250829607j,0.920967912108803+0.389638428374246j,0.984942436402729+0.172882610383626j,0.157637548584851+0.987497039629061j,-0.970493874015253+0.24112577734217j,0.932164463422342+0.362035099310186j,-0.773437756326213+0.633872256128216j,-0.803568318851234+0.595212530898503j
-0.813516769552533+0.58154145652465j,0.674271512216733-0.738483532526596j,0.519143323575504-0.854687199849734j,-0.93593294292535+0.352178259333387j,-0.999955733458169-0.00940909794483473j,0.893267351738349-0.449525792717567j,0.287439129411921+0.957798907330196j,-0.767638647178479+0.640882912362309j,0.85320599391247-0.521574090567998j,0.578577152103251+0.815627659575183j
