38.9364094065278+65.6772451230365j,109.193877065162+24.9612930851819j,104.182837663491-105.124230104922j,57.577531158604-72.5249287549432j,-151.783601482474-87.9886934310614j,-164.302856728439-103.663052771171j,11.8323326598497+45.9860964750459j,-22.7318799953188+69.2883675811885j,-65.5941372117498+121.853742144407j,-87.3781847862754-106.105711334594j
28.3789800572413-3.00597238182858j,-59.3851505709433-51.8201703344637j,-106.416899146757+11.5738657301066j,76.7896007127557+44.8864883038595j,121.010241152794-18.5766645421054j,251.367882235482+13.9118096588246j,-49.6541335437382-20.7580140545962j,36.0839746417078-69.1388315173878j,151.77945649086-110.681794533182j,172.159956480744-13.1252309875659j
52.8558027494784+40.970406271372j,79.3772048311618+16.4231558145298j,80.7597342306122-112.495638845991j,55.9024898495249-31.9067782279211j,-125.70459308796-43.4276230120627j,-155.224340149862-75.8501828526591j,15.1416398583798+54.0510838901757j,0.848336231210421+43.3194129632976j,-40.6652466093817+119.256496606931j,-63.1139057243088-78.6553873507128j
43.8343537567666+67.3240769200697j,-7.25152560416952-44.1392420370608j,-53.425897541603-16.097773875077j,60.5561331479075-22.8415512480534j,57.714470375261-62.9597767815128j,201.544134035243-29.0500330311575j,-41.9297086409229-14.9498075993222j,13.9108370192236-7.24021758319421j,127.987735269034-66.2518597289214j,76.7969692067381-20.9350425268625j
5.06273951421251-55.5115967752645j,16.5576966872947+12.1214672494069j,12.4374266674935-52.6892303465099j,89.1358120868975+40.573340493688j,-42.8599496607936-11.2351098591548j,-76.9438673450925-31.8070513020212j,-2.66136236003729+38.2033842171904j,11.307651732889-40.1400778253487j,-27.8756328863355+43.5618305656988j,72.6279403901024-104.723899716503j
119.372530255593+159.611245349923j,49.9816136508175-45.1927513744163j,7.4328619735583-94.5100311006254j,17.0896886329027-85.2452202672794j,-26.383202813079-74.8588378533654j,109.928517514026-67.0887341275076j,-15.8270207269789+7.15483296087618j,19.6506957045532+75.8404472382675j,131.759839943617+15.8885774861023j,-65.0078516305808+35.4480661248924j
-79.0587557302541-121.046598595779j,-22.2410634880003+14.3017707679741j,-29.2049522784102+24.1531288717481j,129.816380487091+73.9525187060636j,18.2111500182058-17.8313202620986j,3.8507802550763-7.18835883053262j,-30.5195186685841+16.3669284837187j,-8.11791021560809-102.270410063727j,-44.91327918153-24.6881143303981j,179.648892825878-179.332170906652j
191.312380276518+179.946519886481j,60.3908550316308-44.6285986166075j,19.4436149340745-147.671583847261j,-7.80833022552729-87.2579513712948j,-51.4402541931596-56.8943821387227j,56.6081394428452-82.1006063659431j,8.12508121093066+25.309852352492j,43.898861273795+100.582845756193j,153.272663937178+48.0668697583988j,-113.806356097826+102.058962574664j
-115.381942749126-96.4861356971503j,-3.57447775423226+4.30740852243235j,-17.591231764641+36.968234500885j,127.88093830741+43.2842392485294j,-1.11544598338946-33.8286345605386j,14.8962325880219+1.90770699616414j,-43.1236020550564+5.39349715662648j,-25.6550241187319-84.7058363964393j,-57.4769182183004-14.6977489592773j,157.393699394318-214.904289428613j
180.880730727897+118.475647903243j,17.2307216938248-23.4352132606719j,-8.99465573636137-113.033806334465j,23.5617193656167-38.9741520854869j,3.33184686070928-53.6969300000312j,86.5089153796507-96.1291471127233j,6.40798049627909+30.0763911998735j,44.4571780849172+45.5832739639594j,145.840164061596-4.66681670448653j,-33.7383487658927+85.9373568968965j
-56.2323968839213-20.4747745458548j,51.7580437143326-28.4438586856635j,10.4730077315656-38.9837397396086j,71.8052119178842-11.7541469999588j,-78.008036465581-16.1555657974816j,-49.2093246373669+25.1042143893789j,-25.3548324376051+6.0468406602894j,-4.70736920240947-8.20544047350078j,-23.6512961887877+64.1346967743436j,40.9906353817811-145.198385358231j
