-70.8296835256365-20.7096029115687j,41.5418482045453-9.55992317445052j,-59.3840934390452-61.8302500501264j,40.9284753873295+63.1967592118125j,-196.572348155061+130.546009978259j,-143.261784630049-8.45144982367759j,60.7735474160727+149.932039359833j,-16.2004093243039-172.347155440558j,-66.4302115189852+24.3467279736421j,86.3408335956707-99.072865728269j
44.0142649871052-29.9972326602803j,-66.0051881671921+60.1112243298091j,76.0844579974667-31.8659522662104j,-62.5749884532414-14.4851890443925j,58.9710100399051-46.1250622054469j,49.710435224625-59.0425559316734j,-27.8965756000728-43.9834284714768j,70.8992125591258+3.89517220741778j,13.9425415156942+72.5851724744838j,17.5921050779994+2.6676123145271j
-20.5489562583932-41.057242389827j,8.31425151365028+4.50530906635413j,44.0009371165467-13.3749380476208j,12.1499384847475-34.8087242349532j,8.59724784694675-14.7421119646011j,-21.8235704621729-17.6657438131478j,4.09734666484584+22.6711015724225j,-12.4682707781029-4.05877892219875j,-63.4094686132861+76.9252024477333j,58.7513103604735-15.3770994397288j
-4.50502148297683+5.15829976708087j,-38.7276165739148+39.0977919209009j,-53.5332185432059-72.1031417087803j,-19.2111909559156+83.431728867909j,-133.583860856211+143.264891759096j,-78.4112776731893-32.9348226022833j,60.1314551992041+82.4463933481738j,31.8224499373526-178.473432933121j,11.3426575528296+16.2062451251493j,29.1145370531001-89.543819341431j
11.4315144657452-80.6756679984367j,-5.27241397907447+26.0693165091568j,167.126309417271+5.46334917770002j,-34.7495880628513-109.423373470721j,142.795080366941-198.988996298175j,81.0653700928553-51.6166979662827j,-91.1522459766499-71.7026698759532j,49.8196832290997+146.09497535472j,-57.7903059564089+127.447244483165j,63.1923249173666+58.708045209368j
-14.3323818670396+36.3835050854146j,-38.6644369042981+26.6275457599886j,-142.081790843269-69.7218075531689j,16.5542375777335+120.779990829988j,-183.382866967935+270.67108994472j,-135.786743053173-3.81665215195335j,135.399383090478+124.081881218627j,-35.5561004772587-262.670309238794j,9.06404103409521-17.2441741016982j,12.3212908960297-128.57230943103j
-2.89774827016154-91.6178100559139j,7.13597856698479+24.5094066661441j,196.84773245138-12.4415200809996j,-45.481752755049-104.274591735981j,110.714693982535-226.251115352106j,81.1779098542422-59.2646809511759j,-118.842012842538-57.2540156407966j,92.9457979384633+146.401016345831j,-58.1002891622898+139.879268795503j,79.6478608773161+49.6574696855005j
15.6823899618393+20.4838427206703j,-55.4593057624048+45.6771509314458j,-107.948145851465-51.3470685111464j,-5.52172705082766+81.1038078726515j,-93.4407436714331+181.461896323988j,-86.028918157596-27.2855803072341j,102.114543332945+65.2232879449609j,-35.565452752855-186.672461014539j,18.5474833623667-6.90181963787015j,5.71478834745223-76.3233742304991j
-39.5180369098388-49.4614425651639j,22.7108939888868-7.90944608816875j,105.878635755848-19.8030273470393j,8.14612150793401-44.3209398560232j,1.99006990310051-33.227552998069j,-2.88692839163982-1.46749434030453j,-24.9364929708583+22.2947622298947j,37.4579642923638+18.5532591215764j,-73.2309147049107+113.203230271505j,66.5105102213414-34.8508981021895j
45.589257923187-39.2848205735828j,-61.7414612690413+85.5713448550342j,13.9775661671429-64.6595545381389j,-79.2499813338385+20.4730809891784j,-2.62563256191102-70.8576943397223j,5.63123779297574-108.804038767643j,-31.5414981914776-9.42525010436618j,64.167808144516-45.7544996161825j,40.9092025990884+29.0617134500689j,37.2855281553559+16.3367629707627j
-56.1624665627744+14.0544568226995j,18.5539810738289-44.4685182737j,-18.1584759975958+11.2323404613016j,83.3293777882616+1.73898432254641j,-45.1494239049025+217.71966563967j,-80.1021070947078+86.3064961476829j,117.633401445538+70.7918617286661j,-85.0121949900958-99.1856294633205j,-93.5661158554001+79.1443143360501j,21.6450369440492-115.429484082986j
