110.226615796083+72.8915861731941j,-77.7198106688108+65.0442107145189j,-97.734421123967-18.2574409381806j,-12.6974362787993-19.8683400662552j,-27.4079116477308-146.526428740427j,-43.7699723139351+16.3589123624304j,105.523017382014-79.1527885012823j,-91.6827225179641-52.2155681035042j,-34.409345239947+106.137387896799j,-32.2590463044532-149.30501175941j
-60.7130030030841-27.3219018928659j,0.737942257878643-49.3250976838876j,68.571618831698-156.287451052753j,-76.4315819121178+14.1459494879592j,41.9441044741785-55.8852358932687j,-28.6347835161345+126.963560658571j,-90.6731024317014+109.371541395785j,84.4453285856486+49.9012022193617j,-84.3374428581191+38.2953385985941j,101.229313427001+17.3687481629596j
83.3486280496972+39.0720936997073j,-71.3565435667998+66.0111747103312j,-49.3258467398276-27.6654885222043j,-28.2388182560865-13.158778727511j,-14.0402598309617-134.330631363981j,-39.0476040419151+22.0622930408701j,45.4398194499372-72.8257630231988j,-88.6276484009913-48.2370475127125j,-27.5609308000563+82.8596210245662j,-27.7368943472953-119.371167945615j
-4.002723699362+7.68778787121089j,-3.27283341263659-31.211815959895j,-1.38357439946349-102.084523473204j,-43.4335347744032-17.032995354484j,-18.166579508716-87.2166825070086j,-56.3205535665849+114.321522965893j,11.1370685462102+55.4259138903349j,62.1578096998076+43.3621833431911j,-86.0045295467181+81.8598966660618j,61.9293580445592-30.0644347643431j
11.4315325140001+12.4893264813555j,-71.8195305555529+36.8050785111419j,14.442874700625-115.21437600644j,-66.5612535799034+40.8383377930376j,75.4110981461601-99.2900082451219j,9.65031353733219+36.109562352775j,-67.6500536546025+22.1662709690904j,-53.0073896606594-41.5834672332279j,-29.9825265389075+32.0743870383488j,34.5205444235467-71.5873298320857j
65.5444961422969+18.0328066416402j,2.89657177769542+2.92212312676569j,-45.713054230333-2.64638234794663j,-12.2896455370683-79.3292792246086j,-123.026463597695-112.739230198579j,-109.182089208081+107.729477490604j,106.075069104675-59.8156405986201j,22.2748211553022+38.4314458454552j,-74.5564484451982+131.838684252062j,-11.6034436104274-66.7507889340511j
-36.3915152988683+16.6639364036459j,-80.7058553475913+9.35080143323478j,24.1796189622653-199.053480888899j,-82.2856768763278+98.8959237739791j,163.883969723348-90.9409355899975j,56.9841782091951+34.8946618143534j,-121.849309143275+128.08011052954j,-18.9408622515893-37.4917799982049j,-42.8578931182649-2.48612537776147j,95.7019379158259-55.6971648724227j
79.5592458207307+4.12887542425932j,10.892415174632+18.7068922029536j,-28.0482599820974+41.9801261541196j,-14.6343776172701-114.935530487128j,-178.816720980893-104.341473012483j,-133.385051434861+117.502246752718j,112.295630712157-126.396818361487j,2.39261481388725+33.1978554209501j,-60.8826187865904+147.33361384041j,-46.6405769187504-63.6137737658195j
-11.666872357522+29.0680964072043j,-81.9531298744699+11.2765221579954j,-14.6605827216131-189.581784250164j,-65.7310413223435+104.536753391972j,165.967470815626-108.944957434962j,55.1247209158705+23.9331655379598j,-86.4457659952681+134.112426452195j,-17.9302094733443-27.5751490172525j,-47.0262248816311+6.40256899942235j,89.4983553385092-72.9767419908934j
23.2497673918127+1.10233393545608j,2.26346504288828+2.30120998479612j,9.49948673309232-20.7561123388331j,-37.5869854754698-85.0532075222423j,-132.115379585606-87.4091591538785j,-100.200057525128+125.596156511853j,54.4384078600161-66.326874333876j,20.0679163405482+16.3717547915692j,-65.2912505892456+121.660316673913j,-2.58315424826578-44.7856613462036j
62.4725903978351+15.8117356062004j,-61.4096260914222+39.678503582955j,-40.268858818391-87.7623822885901j,-45.5469685386785+48.5144176916683j,75.3482171898384-115.101449687755j,2.32916383308246+25.940408354797j,-28.3250237461118+20.6543019728336j,-49.5918575744287-2.85051196500095j,-29.0691003955528+43.8780230028514j,13.4624897891038-84.6085805097457j
