76.4408971154923-28.5455603365083j,37.9536030772383+0.675037483550469j,131.664432975071-34.4384025494792j,-168.894180964262-50.209338313576j,101.091643030376-91.6722347436321j,-37.7685747418394+110.630761275367j,-30.9015879460492-152.035745970567j,248.519239667933+44.6306436024834j,107.172890017919+27.632867819329j,76.4002631343557+210.969229698371j
-120.516207703453+42.6617331195353j,45.6375430970809-46.3379390766616j,-194.126819910899+74.4231280658866j,117.500405460156+34.6872710302978j,-124.551904950543+111.341026012054j,-98.5959909908248-135.038104503558j,-36.0465916583211+173.847383078141j,-235.853651099456-45.8602169618213j,-94.9402433643545+35.2235350022022j,-36.4573398402486-100.74346500154j
41.3031007511868-8.53060858348796j,71.8912276176163-17.4165289790893j,76.0442497506679-22.5402488657108j,-150.429426471149-44.1682507853915j,20.5585252589856-71.8784950992021j,-37.6191727587273+38.852515961536j,-47.2787433759497-91.9899724501925j,190.681185049541+2.69009678990377j,59.0065549965202+42.1947750498422j,83.7561558591888+153.720138613683j
-62.3688266385719-3.03418177688049j,2.97145389093083-21.0299399165835j,-109.656597303288+44.4376839389935j,74.0040683869996+46.4280960556614j,-12.5030738207188+36.3015965201021j,-49.2820982444868-30.9571713632013j,-31.870589822051+82.5254034093652j,-112.15640736543-27.8468237264483j,-27.0075693542707-18.7354081914105j,-18.1361630001789-16.9439478873479j
-22.1176163814408+56.0760849137977j,111.213320972268-48.8717275446608j,-15.3121316235426+22.4009968799778j,-96.4288221823623-70.1171665764639j,-89.3196306733845+46.0758669048683j,-128.845405911479-61.3428989388248j,-35.4012407816848+10.3990956965385j,34.0499372917429+18.4397914679766j,-3.981044953205+124.086638997399j,45.7755133425517+63.3488722327277j
-9.47847940351881-69.4057261867314j,-25.827020638609+6.5638147838726j,-30.7220651417371-0.648634813077359j,24.9187487249786+80.3118491406098j,66.4815431112187-94.2429811554043j,58.8172524980873+40.4490683099495j,-53.5343121604819-3.8037551815254j,35.1453725394377-73.5121952398004j,13.9155761875887-107.005767676787j,31.1403458594592+56.7381384793536j
-52.7590199989931+107.666755051719j,122.436138474234-68.2317741989482j,-65.088872377824+54.8135853740834j,-65.2133710630747-98.3205647261426j,-119.927433921789+155.407234242838j,-223.903346806746-82.4066276087941j,-13.4401490197033+63.3157479283276j,-67.2922230983387+76.6487401252168j,-10.9368445287601+193.397964089101j,4.66798827968848+20.2744992657202j
-3.78440048734358-88.4558273552696j,-20.783925540584+8.76831017837143j,-15.0811074565445-3.76426927717368j,17.8764484391466+91.8944227490365j,48.6618097590652-148.674776671101j,109.376386597929+13.761997460822j,-61.1104802268799-10.8514088137931j,66.2712755163819-119.147158363459j,-9.6869841365767-135.276386180002j,50.2887507104513+61.8016759213092j
-37.3374220670112+87.0721216059351j,103.208845334598-54.3732624296466j,-48.4883419743019+23.3091318380729j,-81.6446664218428-82.4107429732209j,-67.6331235916602+137.872699459812j,-212.143343481826-17.6528991420941j,-29.595674068024+29.1300849698298j,-25.6115988644501+84.9630776884105j,33.7629401397777+168.819302010271j,21.8091429383527+46.4023770277723j
-29.900961842735-27.8775934521957j,4.01942751564935-21.4436180494093j,-51.4222022871566+63.5099375855871j,50.269862739707+47.4967890941892j,-13.8994876069586-58.2394392743708j,31.8010213545006-61.2542478790629j,-15.7466958409702+54.0221416055005j,-32.6281157275994-74.9599802462515j,-56.7177114634272-60.012783963184j,-2.22290385519508+16.1952830410371j
-11.060227269732+0.129066866124168j,78.231201779473-18.1678152578407j,-5.57153845534627-65.7752051162641j,-119.306362117087-13.2556267257787j,-18.4002971796804-2.94736119326056j,-86.6007445636438+46.45212637122j,-97.5315492017085-44.3413719076173j,99.0690486176619-11.3980873396593j,68.9634859367955+59.0877613589224j,103.642895691037+92.545335449273j
