-126.281719009223+60.9977291793228j,17.0976403885584-147.90513754516j,62.0220706107351-182.369763224229j,32.3462308527555+11.6809305425105j,-1.96348935335774+5.71095051285129j,6.33563658559805+7.93965444904815j,69.5443338499608-35.4478376308405j,98.7158160435012-8.84896322192271j,59.8453765763274-83.3457265496953j,-33.7518476374618+49.7465020679423j
119.671235212574-53.4075935764303j,19.1978577543423+115.756750464226j,74.3636655300424+104.048599860474j,-41.3112507144152-70.4917281744012j,112.083746792073-33.80967216043j,-7.60298078899131+49.0269797594531j,0.933361851893331-18.2865875869168j,-153.508608217192+37.0206169944774j,-62.568663076163+12.3094647604716j,-6.04753587162101+110.818501346717j
-61.7408194828652+55.2515357931815j,-24.2096480728908-86.1305465823461j,45.4975555596466-140.281046079583j,8.03943591391948+0.786990860676216j,30.3555781542592+13.6915149571783j,15.2623087409901-37.824543188298j,79.9330712808739-11.8286983144329j,64.2508967409936-22.057788577382j,26.3586813702249-71.9840106312931j,-32.7094475249539+73.7674089762884j
34.6445159880056+3.55324093027034j,53.0588987006811-0.592498762658646j,69.4921851794899+32.3562063468415j,4.54833045023499-61.7913699282321j,42.843813948658-38.8235110744384j,-5.40490530146203+104.812376211268j,-20.7907168745713-51.7356854938244j,-101.414357384065+47.493965740579j,-24.4858205177331-14.6370304080476j,-14.6952220378487+84.6917326073652j
16.8270535825867-40.8581453248134j,-36.5940097279425+56.9669408094436j,69.7028858538401-62.4679282713396j,-49.3763813858342+0.0634938584931835j,119.766356788025+5.13457032400264j,1.19822036801967-89.5302810378165j,108.071511476487+18.6546151424366j,6.49188012120512-25.6364416786499j,-8.47662303206721-35.5548694066759j,-13.5724497948823+95.9002941652842j
-14.101147479789+112.668253351394j,38.758718107377-135.989257889933j,31.489386534135-35.0667064815274j,56.4075964201751-69.7986832749906j,-46.2981273831802-19.2977791488058j,18.6759460114844+138.863215627719j,-50.1033013004988-72.3861427320805j,-49.7970657065749+47.5510282692887j,-2.87213236134076-49.7976939408565j,-33.1750814620406+73.5162984811643j
24.9850942742366-132.100413045973j,-3.06119105406238+151.125223649421j,105.594052456706-25.2644555789043j,-83.8744424159085+14.0970966133837j,186.878285660357-23.9605883928293j,-24.6023995387695-97.3952242856972j,128.820946423236+21.5668942002524j,-27.7424523266354-24.0772674840357j,-15.9385950728908-11.8707993361409j,3.19810653744336+95.0243363044735j
16.0635718849819+157.325004425325j,1.14810020671607-167.432265940082j,10.7222369498435-39.0389611727227j,62.4775446793471-82.8450424195795j,-77.4037366704638+5.79439816287307j,38.9936391744298+118.64809346778j,-56.7767953420073-59.2833845147899j,-37.9557164989027+51.9648370382004j,-9.98319713243875-53.1483635523326j,-36.8762132749474+86.0777477544221j
-27.7918153420908-114.435654902349j,19.2643675798266+114.305075831114j,96.9419622996375-55.1788663946998j,-61.8535238412668+19.4340654385542j,175.959130346999-37.8419196612077j,-31.4243285486702-55.0474452438596j,116.267583457065-5.77696044177722j,-16.7104569629871-37.0044756780791j,-2.34962249857835-31.2757644632187j,-3.421712102414+76.7032285471322j
70.3743802866996+77.4850838859383j,8.19709995766628-75.790881942615j,50.7716937860106+8.90380774164431j,16.1014367992539-74.6917511551598j,-31.1421220993208-3.21641973330382j,31.0731872192795+65.2890203968592j,-27.9790477445265-27.1959641908155j,-65.0705559412504+77.4441954130898j,-24.7542339466209-13.6045561786721j,-15.2640714570278+104.88106981734j
-62.6267720166892+8.93005567301326j,-22.4258841364055-5.80665422613712j,28.4398157151722-108.622832260487j,-4.70394221603078-2.50441401653859j,107.785704180476-8.14787174698798j,-10.5114144570486-4.55108373583812j,75.9429083169608-37.0475375994399j,17.5216330550633-70.7942067936985j,4.77376928331019-81.3399012744045j,-29.6264605911502+64.3771670756276j
