31.7934324708802+61.3349665372204j,-38.5318221572754+120.815359980015j,-4.04720307446038-130.735631173565j,-101.963769164429+159.421528057183j,205.520393369369+139.786633218089j,41.5468141712681+50.7451109295347j,118.870980624955+12.1920767621151j,131.81614006998-38.2560400496121j,23.1933339907567-73.0935980703627j,-95.4309666830215+43.9834217886057j
-62.3388804527082-226.614346223062j,-144.049935330011-28.7404495946871j,46.6088609737477+82.9038238369731j,-13.6043828351281-197.833772454438j,-36.2538137259483+13.0289804073399j,-108.928239269588+2.74109207937144j,-15.7184163237419+106.202590254163j,-115.630724648792+57.4221255061299j,-109.444072645509+195.671326298087j,52.3084920950912-174.270918655615j
46.3190333146567+7.71542130819059j,-92.2418936322708+61.4326450915833j,-10.5144092179288-77.9723595118154j,-84.2093197755769+73.5386942401083j,131.235867594139+69.4633163593945j,1.69783991454725+45.7249739760507j,87.8512504510405+3.15486990743909j,60.4327207654865-36.0897516751679j,-1.92635551015841-64.5271882936574j,-13.6831903905755-2.12858737306787j
-59.2681462237287-151.973928571008j,-47.5342516163724+43.5864016055145j,39.243323826347-9.1143229434406j,-3.78063661391348-56.4694011400787j,79.447500489174+89.5485682166721j,-49.769314245521+5.20788336980257j,41.5022779803734+108.184408564232j,-12.7685379270971+12.87125072646j,-73.3727475553321+174.043513804409j,-56.3223995164403-74.4724643968239j
20.9030890964524-68.3182344744534j,-207.664610665373+4.84145191137499j,12.7731498818512+29.8354821520336j,-126.578751889436-81.8398085217596j,3.34544560705446+3.2024706141023j,-60.812959543315+50.2760591756716j,20.3060370700262+8.82376378651153j,-43.6658872150147+43.5384490224648j,-38.2710778170046-31.5419439753135j,85.946707585882-135.785861952137j
-26.1956923681846-92.2401694632973j,59.8032027864455+75.6414854303349j,3.36879801413156-108.051078093056j,58.2645892975535+75.2904772109643j,192.17766310768+127.020974205976j,2.60360956057924-1.8102734306936j,107.827751212367+92.2016213571403j,64.9782201261752-81.336618009201j,-38.7391372691585+140.612119657778j,-125.79181431936+61.7554635080378j
-12.3048371998499-98.3162896973665j,-275.600475723207+7.86522548958184j,48.9978214467179+96.2682019654642j,-188.608571943174-154.086608874212j,-61.5263259278697-7.42451900986734j,-89.2230172252816+57.3148908679733j,-27.0795439601514+27.136130819383j,-76.7564307323211+125.205270580972j,-63.2997603925144-3.51491769091003j,107.808542807467-238.559695496951j
-13.0476936303973-94.851295709893j,70.5481251487148+50.9989493998053j,-20.1027392341711-129.933381070288j,92.7299083524841+75.7846897778646j,194.959659287749+113.458421053974j,2.83243105531394+0.0188711003776234j,130.619827919511+75.8370318843967j,50.2114459682827-123.853095516496j,-19.9268068668207+128.484026780333j,-107.065405270871+102.674088452708j
-1.33383973976392-68.105539269029j,-221.275588190795+45.6913731057611j,46.1907559691143+71.5230873479666j,-176.836664855539-84.1987909706083j,3.53533903034471+11.445525570277j,-61.0371901624701+44.2254247567549j,-19.5819416296028+30.750222436727j,-24.6765296975611+111.796877029164j,-73.8211647906661-8.252375733367j,59.5206400662744-203.47802630016j
-56.4592623905616-138.670771855595j,-34.8881197977842+22.8676362140931j,13.581242805669-70.5931868719451j,24.9345388643406-38.5129071258848j,81.0755189523665+98.921779555623j,-43.7321816529652+28.3015462343327j,101.62749361622+86.3822687392624j,-18.0660563045297-52.4109273121723j,-9.82744776820036+152.146125855033j,-55.876206804447-1.26906605298312j
61.7062292353855-25.7041597521124j,-87.5995142548864+58.3987688413484j,-15.7184817964323-4.66373852308402j,-63.9028678483225+45.0345505618427j,141.374123972166+7.36970713024662j,-6.7287315790826+6.76934629485545j,23.6439970477448+3.01150682179621j,36.7164961943762-2.66416082520233j,-82.9954928258831-42.3199034482934j,21.4773932878677-55.5371158685238j
