-225.961454758617-226.644001702736j,8.38884208911308-148.661157039296j,54.2686415022108+213.097289349513j,118.761880204392-117.671940862613j,-154.957062369397+127.429932716287j,-67.5276264321792-1.55262901691002j,-8.78953559564043+57.4522874450203j,28.5713205577962-185.500877226306j,2.30590948344701+117.501408998112j,-95.2061992687243+25.8126893510039j
131.092594835774+151.824236051437j,-23.9610855410208+135.2223564458j,-63.8409055299166+18.0858394906392j,-9.38176976687071+60.7416634089189j,155.739756210072-80.6808705330463j,-4.32785886940932+133.975825405602j,174.571948744385-112.114524914618j,18.2520589608022+210.706976071855j,-40.7490862650902-6.76633540825468j,-50.6055096595755+44.9244100479271j
-107.584746872714-121.729271315355j,41.5654091735428-64.0625615513813j,-16.4055300544314+142.943483412368j,23.358919422366-140.401680286675j,-60.5382729129358+71.0223469105356j,-58.1238997018494+43.9347851278786j,7.90428852778294-13.9248955327965j,9.40365247701656-65.7973183034018j,27.5979527455545+92.3989520793368j,-56.4451535492614+17.4908151488636j
-62.7290463372879+49.097494248584j,-80.0375849472949+34.666391063821j,62.1589255155053+86.7460092098286j,108.82551410668+66.5907367360427j,41.8803017946307+21.1477704103406j,-23.0086522517632+83.0835102803634j,169.713989969536-12.688665344405j,14.1915931823366+38.8681936717824j,-64.0587949329847+28.5865904616602j,-110.948348417521+71.7776080336657j
112.175960021545-50.9970056655147j,107.641475704687+25.9244371816323j,-160.11702471867+100.030593198456j,-93.49233012604-127.404680225126j,42.8812829147802-54.3714278572595j,-30.3200563973437+90.0218684635627j,-5.89805268902439-119.611383374846j,42.1336320646699+114.499172557682j,46.8325194853807+54.6610193322583j,10.6048323493048-21.6782941439354j
-250.802430294805+27.6205083838405j,-135.549218011258-23.1232569084716j,191.270198578261+92.9390845234463j,195.948937961732+36.8517841624632j,-26.320723287508+136.021871361918j,-46.4716498445477+53.995822431681j,194.973497414266+65.2397023732636j,-34.9025066311667-106.989056816028j,-72.9366053227021+61.2407151526629j,-164.595516803005+119.542137353132j
215.587492571708-71.9369832879542j,132.953221595048+40.8902150585775j,-232.378853143297+128.555664823626j,-134.882880360464-94.5574773877707j,66.4767285107163-126.635450283446j,-15.4083677697735+99.4013089765174j,-33.6863173577417-154.111783819348j,89.3032287397759+191.240622148177j,48.8816719676413+35.1001107917673j,39.8514703251391-61.5324211603521j
-239.317490695034+71.2742234250023j,-115.632798426389+3.10447254450282j,190.910982538023+45.8125990721829j,183.348964065823+12.8079100766632j,-8.84925231970893+140.217947177681j,-40.7652029288006+65.3081907676537j,207.902133079255+41.8058410639013j,-54.2131324540405-101.270034458827j,-67.7463894170386+64.4032639552071j,-161.286137436461+143.236066094311j
87.4587777049489-106.96281225565j,65.3726318889208-13.7855597710839j,-150.516971268058+173.184644800547j,-78.7100146718022-93.1043484472026j,25.2429583768674-56.8069708537874j,-38.9653383730948+75.8678949563242j,-22.5880837186592-84.1494385630258j,64.5999649608347+109.581626625044j,44.188997391063+48.7184485368099j,9.46841293182226-56.0048243457488j
-25.0106751772622+74.2376579086924j,-9.8158010447262+67.8796222572995j,52.6532737672167+24.1954356406715j,100.389630592253+36.0628137567204j,35.7818539411315+7.67457817133727j,2.09745892469983+93.8570327310408j,165.427799116928-62.1279355408764j,21.9916545105402+28.5952573792368j,-64.3141346100757+39.4825258955968j,-111.445874681218+111.050627527973j
-161.610747807226-64.5119323451485j,-56.3465076742344-70.269808576567j,16.3440025680678+161.849395813457j,3.84290314196645-137.96084723042j,-3.29073808585829+107.220091160655j,-87.0746125494061+53.4665605576421j,42.6557016314228+23.0353879641751j,-49.6912588690394-32.6282005201362j,47.673185891139+77.6679191315019j,-43.5481252964223+0.458057103020309j
197.837032227293-3.84195736646743j,100.748180960166+103.80713683077j,-95.6938153047677+65.9461409814892j,38.9357425292507+86.3397264577249j,39.8808648952343-149.710714016618j,48.5176660222214+105.814869946233j,89.5457824435947-153.375323940282j,150.295023791389+145.343462853324j,-70.9527599372889+16.1146607980291j,-65.6330320555544+48.2478253049475j
-307.200953487507+26.0389901130523j,-128.575101451823-82.08605895842j,117.272599807299+106.160668760061j,26.430927321393-176.976611017728j,15.2878602872448+218.185861521594j,-114.857641286826+55.6391217734556j,105.626809398136+75.1081533331364j,-155.540782737374-99.0963097170263j,57.8776600909463+88.5542329709021j,-71.1084226271328+56.5331069737591j
235.949397767926-70.5081951642204j,117.600826545496+97.1692429500426j,-121.901872672972+112.241293711413j,56.3412336754919+94.2089041306937j,12.645449890766-188.68810986572j,54.6195117185865+94.2462730070643j,56.2393811680459-165.587345551451j,203.287553237784+151.180605685174j,-76.8891956406139+22.3540174803311j,-55.4775995919775+19.1218395778535j
-238.426784063636+39.290193226912j,-85.4911709623663-68.1953764368303j,74.5820410959701+92.8637434734209j,-25.3425294854165-145.022767243705j,34.1140172795805+175.691101368914j,-92.0411692699384+72.4597733341605j,93.4538196953783+47.8998581989874j,-133.070965926467-54.262039110325j,58.636791477937+66.2007221695645j,-65.7773001278071+52.753886492648j
87.4584235600723-11.4094873616647j,26.7648252527872+88.3255225987744j,-22.3358091793425+78.5605983414743j,123.31819076353+20.6844617487563j,18.7428012046026-78.8036114721485j,12.8778087868115+80.7066253709763j,111.704728733471-119.672489835284j,106.12082360379+76.3849394092825j,-66.6456144071808+56.678365386602j,-64.8273343436898+61.001197253658j
-57.3808531800261-84.7549637361521j,29.8876834750191-72.2582226477302j,-43.4880089979481+173.166109314808j,-90.633534260933-44.2945735851428j,-2.54886063814849+26.7781869483813j,-36.7308987053863+79.5796919651164j,3.56443840193442-3.16988880462572j,21.1947398839983+22.2111043396041j,41.3268112203689+27.8899227661975j,-58.9984721689711-14.464214572987j
-75.8460601916679+151.237688471063j,-82.3997503949152+105.860038756683j,85.5450299135932-31.4335455799185j,168.176329472951-87.7728900798598j,80.786823853851+69.4493515052532j,-37.3432363639413+82.9994004172699j,210.268654127952-85.4682968492029j,-66.8408261610971+19.7601122597258j,-42.5658794945584+91.368983938532j,-59.8260684836392+141.441266341385j
46.8285632428245-239.435802947571j,105.432112991545-95.6313291945179j,-106.103067896334+284.138299712632j,-109.436364038291+44.9097449469619j,-71.1967994577862-85.9596479617711j,0.910431409662741+72.3786097695347j,-79.8850946908678-16.7370070195084j,171.338504819803+46.096070500955j,19.8036841624117+3.72672157916748j,-74.0920770051259-84.5858109987483j
-101.853548438083+251.889805505559j,-104.813083816778+122.293629986989j,95.4859532971027-110.565131775591j,159.872406105267-138.344145404928j,132.372599601111+120.733143801706j,-48.6553850968377+90.8751370841847j,251.110794146607-97.4977284893729j,-153.18496090054+24.7767211733586j,-26.623408907+102.282470592933j,-36.2867768974287+187.839493452224j
-0.886798132442982-246.927649937777j,70.683867069714-91.626481301857j,-60.2567056411508+304.833970645001j,-86.5161921133292+43.3781533735245j,-81.6091980560042-70.3136703509541j,-10.9619631703374+72.1393773505141j,-67.1746207178921+6.65412024689633j,172.494017657562+25.1498504250391j,17.7357250701335+5.69668783737686j,-94.7616959098535-92.4996741923944j
-6.90804181496935+154.321847613136j,-22.1827965125533+89.4136209031423j,18.8638990169065-60.9914285774186j,133.705673650317-88.632212171618j,88.7132683842267+48.1587776169034j,-13.0562955007031+80.0769533536509j,181.238030187438-124.218546713436j,-65.9051284552798+40.4719465140333j,-36.6749476453821+91.9056637334568j,-24.6730339794598+160.043275882466j
-107.014441741811-57.1811129334213j,-37.73740308711-30.2224262533492j,27.2937245909334+192.391777128632j,-72.5607264775216-41.2092910595879j,15.4709783731726+32.665590133029j,-55.0178602396602+96.552492639289j,42.1047544944725+18.9322395675971j,20.2747916788817+30.4284273425482j,40.9432960308812+18.9093168987994j,-88.1835671955732-33.3845791298305j
75.3182306730891-84.3336912468622j,86.3892800129631+10.2274589938348j,-47.6362777151316+88.4703351857222j,136.131907904876+4.45524842722155j,-42.9656050176663-56.1305246856824j,32.4106986076114+47.2056541121916j,54.0729017095257-120.624382700342j,114.917228556915+5.5245884667195j,-63.6178630179893+81.9280617905597j,-46.9404875038451+88.9382254113688j
-144.647110112571+175.47324189163j,-121.799962499406+48.0970812528601j,63.1266445521978+43.0718843979579j,-92.4380628907042-117.669877590287j,151.965561229556+110.14336857767j,-85.4444400403161+131.579593765856j,154.626686679902-3.98636079856435j,-142.489659804652+87.5243046107152j,66.9256067791956+22.1161105796215j,-53.302116325096+35.721327840855j
66.0130722146394-251.646980926553j,131.424076757001-45.4952486695472j,-43.9212421891187+198.720241996972j,161.226605123158+40.3016929876395j,-148.367756846411-92.7920796504702j,46.103074351276+20.9895060921092j,-22.3286680504813-93.472538800906j,222.719713384312-56.9897412250813j,-77.2291711161206+86.6157008614487j,-80.0637842960609+41.2029665997806j
-105.598092959127+237.930080540304j,-123.886375773751+63.2499246450427j,37.8541840494605+0.670371380034831j,-111.484012948277-103.501595193941j,197.473712139251+103.710580685713j,-75.8816271085252+141.841102675991j,176.780027540734-26.0090136913025j,-170.502408036885+129.645084173375j,66.0047130084825+11.8497751698295j,-32.09945320427+57.0051128786121j
24.6273380602272-193.03771593758j,99.7416850611805-11.6259181321825j,-10.7819067565151+161.860747799073j,158.225489640452-23.2115881628081j,-118.0469179468-57.0356420607288j,23.0497312919338+32.4975458609866j,6.43431878486242-95.6274790152248j,171.492786264988-58.2106913220218j,-56.8420595030978+98.6328536105577j,-75.2692717629354+50.7026632799227j
-90.2664924605036+77.7533710736838j,-74.0220457834518-14.8575027235104j,24.7184075291463+106.154626002368j,-81.8157439464526-7.55930305486282j,96.494809933808+57.0450078316117j,-42.2836577690417+111.04380780828j,106.690841873539+3.0177998289632j,-57.367248851519+77.3084227708712j,32.6701854667438+2.61648919904912j,-64.5861248772296+27.9571610925768j
51.7627038587121+26.6578306143321j,50.7651644667198+93.1381884327737j,-25.3240879034199+16.0377915344679j,101.017991442721-130.235223123072j,30.763481178285-20.6920766857782j,-6.43997403504576+76.6758425111722j,91.4322944318448-154.692352172815j,31.765903712393+41.1548717468669j,-14.0613131562956+102.217184505354j,-15.3447721835174+90.669023090207j
-158.899214578504-140.855896402058j,-39.6667674789008-119.838391400455j,75.0838923590712+252.648138869256j,-11.3572247432514+84.4133356178123j,-62.532706720926+42.0749946430575j,-18.9541614700973+65.9696090505557j,28.2307513810526+74.8272546099561j,73.5710720761739-49.0098104794988j,-7.23491578116184+5.3137481049211j,-137.293921349147-5.83967619837984j
141.089378296775+189.595135836637j,38.2012784144224+170.096174357267j,-92.6915843379249-93.0893944467892j,32.7109380125787-190.04452421586j,160.405963025045-29.6657464119099j,-14.8382136578416+111.257465788455j,138.808177202014-224.64158680413j,-57.9595631958384+159.809959136882j,17.9554501675105+95.5536312466334j,56.6897248354019+111.944528085795j
