-140.489829615095-93.0919876611329j,-123.608934804413-59.4104123284831j,-93.4211293280338+45.8107377975954j,13.3432907075999-49.8793040686348j,-16.1404543881574-8.15579855899745j,194.980694891844+46.9147249920921j,25.7909258092191-127.641625775778j,-44.2556751456881+27.568375988912j,73.6003850756302-108.609268896729j,57.3418644562052-37.21101031793j
61.8701956770599+78.7956612844776j,96.5939751759703+32.5905957257115j,41.8716274819022-9.18971739123331j,-4.97634875476136-56.5136958909748j,-53.4153468296768+45.9995860481035j,-152.357175920959-17.1580856736429j,129.173612340139+137.2581134304j,-58.1957190032612-14.9936359754536j,54.5369557005348+138.13214807685j,-52.481149086329+21.354055958289j
-85.0210667179157-68.0739177974787j,-86.0401423222485-13.887823063732j,-15.7235971124074+73.5230317398746j,-16.6550944168616-97.5745635424392j,-2.42659482529196-32.5100930313698j,57.8248498553135+14.686514627176j,47.2803408739529-26.9658932637359j,-63.3642161173876+1.01285503708676j,74.0769162236065+9.82228658011127j,8.31735273593934-57.349886368361j
-23.8629686602352+54.0966081860616j,40.658442495684-9.2566665630987j,-61.9175766306104-25.088580212691j,50.76815556692-2.09713291937361j,-65.5412941629272+87.7454388205126j,22.094940214497+4.49472243900649j,76.5275833754039+6.82136497771129j,-36.7664814786245+10.2852083747758j,24.2521880037404-11.2261242475876j,5.32920819039712+35.0335092918726j
9.7529439375748-50.1235099631495j,-26.0895318985195+15.4789805165685j,91.4883858794424+71.5313738092362j,-90.71056982126-141.371899141194j,2.24738712623878-80.5649131501845j,-112.669352294028+10.6588732082119j,122.336046858654+95.0657983511696j,-81.1424226865277-14.0762120962306j,131.469771484457+147.288204566532j,-46.109802625267-60.9957577791235j
-103.686479080564+47.7188331113231j,-7.36884386589905-21.7822950601611j,-145.38235297054-5.85671570337067j,121.202518412185+18.4865185488759j,-58.2883704878471+132.508429886696j,148.87555377463-4.78044639256973j,0.885863342676123-82.8300974966416j,-28.3867446622846+16.3867869368887j,-40.6456853899244-106.016582743211j,43.176613416543+30.3366535514969j
53.9398912451742-49.9939029315274j,-3.52101340590088+13.9267911552048j,133.382273682277+44.5292317633831j,-142.67610415118-134.236628209516j,-14.9251985466439-108.93802322579j,-166.429246462033+20.9530209771131j,175.582677968562+129.57691603612j,-76.2541057757687-8.37562451811995j,182.448435035137+174.024494616962j,-60.0488362347775-52.1234094655098j
-100.5979211676+48.0989281997048j,2.17164411853281-12.8556508534448j,-135.677699874277+16.7535232123093j,136.077890602561-11.8128940579911j,-34.9057285753174+139.257046070039j,119.898733690002+0.32979720732634j,-7.64563346179068-65.3698249821564j,-46.927575541255+5.92280972558734j,-52.8127109698072-66.0179009457952j,30.5283604178091+24.155740868222j
3.87609011968655-40.25242409045j,-43.3882841119788+7.27263443051525j,78.8661125140593+38.9292233502869j,-119.135211270251-91.8934392561491j,-36.6906943243784-90.6295319010531j,-65.1684703074534-11.7159846311191j,130.691839791733+67.7238989979051j,-47.2035623890435+5.8037418274091j,145.08691976337+78.8876345275304j,-26.7043343839682-53.5025072303836j
-15.6630918250289+24.5857889045738j,62.0085111806521-15.6879373870181j,-51.3516813618707-0.349915215336106j,75.5702726339172-52.1815994120288j,-19.8436853610436+102.825197164823j,-24.8591600794781+63.9206652134725j,87.0298687633045+13.0817313828982j,-79.9690675469143-4.04386198282392j,34.4867220054583+51.7018036189938j,-13.9623087458183+35.9432117352637j
-95.5113063957908-1.27888329578954j,-107.556110768377+23.3913369342789j,-10.0462917620971+77.1245749022415j,-41.1784219070683-64.9372141695742j,-40.6027816771805-43.8902102753702j,85.8527869022644-96.4238868219555j,7.50368817313011-7.74502997067357j,-17.8441959127999+12.5788805217489j,27.9685294591066-33.1383682344753j,15.2539711421549-73.1281094976741j
75.0952799470329-20.7653361014738j,113.457346645542-42.2624386599968j,20.3618052394885-48.152902181096j,-2.90238508704921-59.9692639274824j,-25.0887287316771+59.7507188209957j,-145.138915476095+149.662909743352j,209.797971786698+60.9443715110403j,-98.1746142647278-3.77836542251678j,154.043642521154+127.224248123039j,-42.5523821681118+58.0265742466272j
-157.971490796584+40.2023241911768j,-132.987626579926+53.5846889254496j,-45.6944394228466+118.601763511722j,12.8364104259801-73.7901459841665j,-29.9621851555644-13.2173098734817j,149.907986527559-156.947321798413j,-81.3007101517489-24.6618329319949j,-15.200429672617+10.8092084306186j,-58.5790121755129-62.5118527005024j,22.227168672443-88.9712191077986j
98.0940454627118-42.7332305401026j,106.482217032131-65.8338172079272j,15.3533786339434-65.6648309515952j,-21.8212027671803-43.1939882495933j,-32.5468307884652+50.0207677994799j,-143.315414375518+162.050816462107j,240.539988579058+45.3818223567521j,-84.251299352652+0.00815393863105429j,182.752971740683+108.31968277305j,-27.417898281372+60.615472346052j
-140.991302191854+34.2217717374105j,-96.1031993520068+62.3004077508096j,-3.7281002084887+100.845683473817j,-11.9779869187433-85.7776041213289j,-31.9024398725058-23.1520900553649j,91.0925159189723-108.270231759519j,-42.098568887361+4.70031414568449j,-41.9494895796531+11.5311523468002j,-15.0146111427081-15.1035183403171j,-11.1055530506198-73.3427415363606j
50.7690394251389-3.68143037893432j,49.6567553554237-54.8499800910496j,-46.9902898257834-9.82019170041185j,35.6973185546454-46.7881646780891j,-15.2516455220354+76.5011371152481j,-49.0573975871899+56.1824018594992j,139.82103357179+14.326032128399j,-51.0407081018737-3.0712628488225j,75.9420630213481+51.1082030855672j,14.2210316264442+28.0778879579087j
-79.2324042367078-29.6958409407435j,-34.0549480979624+34.0748291180797j,61.6427679892956+16.4472393290435j,-90.0712016567795-60.5016955023415j,-63.5531516897023-55.0847985617884j,-10.2923754983648+34.6785231484388j,97.322058431183+17.5798304219152j,-73.1029264653596+19.8565992602073j,132.026032430053+25.7979553528635j,-51.3827972045876-29.3951244123563j
-7.90597705303629+72.2612295198827j,-2.86981095752718-17.160568350981j,-96.1951171972304+85.1987945813549j,109.435250444151-91.1162257234786j,27.1722289285782+105.498728929772j,34.8516851167798-90.4525282185771j,-3.16354043299143+20.6189272834404j,-28.9839824450846-10.2487143969745j,-72.4136977632363+35.8450648544028j,43.5295764283006-16.548410361637j
-37.2475188306271-95.7606291112968j,-2.02488772285945-0.216908215313434j,85.8144991306493-65.5868323989234j,-144.120668777448-6.53602903848391j,-106.777556680024-70.7353912058649j,-61.0401798153975+148.139627525006j,209.66088917363-8.83734615981369j,-80.8668629704671+25.5271057971665j,245.057366267375+10.1829287077072j,-65.849724239395+5.14889047345527j
-26.4429859149728+110.788019827874j,-10.3821538219098+1.39502474048754j,-92.2927934946352+133.53007687604j,127.032571667666-139.541103499957j,62.280167114173+105.468644389572j,50.7225705271638-139.304842102899j,-57.2346847529782+48.4525019319995j,-36.0315216860506-7.11660443275666j,-118.438514022663+66.9296120134622j,42.7453842258644-31.0468911765732j
-40.4948118348235-91.0718309808283j,-15.8039121909337+6.65772343486173j,63.2009004292319-66.6555186388436j,-126.725399505886+22.0787887122765j,-123.900851597886-54.0061449914398j,-51.1870153107909+116.738362847278j,195.183374721565-25.9606407671666j,-61.4130167310481+15.2094207728114j,213.539070179868-21.9804434897039j,-55.4248170759485-4.17681130093216j
-9.14284369592901+61.399748759531j,15.4866664032441-32.8499637335951j,-62.1957757813094+86.9767405349063j,78.1373776425006-137.846635996807j,58.4379634208615+79.3208068213521j,31.8960567905891-31.5931728084068j,19.6271980078626+34.7622837600074j,-61.6552910996467+13.2239609007706j,-15.6658434316008+77.0716506227647j,29.0713789490326+0.683814550828428j
-60.9131066754033-3.32131492344542j,-42.1927975306754+63.160798473926j,40.865378605208+15.8858582481767j,-65.4145462423538-10.7066818245088j,-99.3402244160929-24.3501310310998j,-38.9105748286157-42.8780323352405j,79.3604435312059+19.2022485092077j,-35.8963310828631-7.93491374220702j,67.8170012958942-2.86071929235165j,-46.1960261053469-49.4250254552673j
5.27876496291994-44.3768085731221j,32.0043850961032-98.6506437193134j,-54.8002839270501-9.1612470821639j,17.8626625515501-81.6362978746753j,21.7040419196573+55.584496380968j,35.930910273447+142.323798149651j,143.704046616-41.0356200404329j,-80.529507816735+37.0239877601138j,137.705169970577+25.1178223960419j,27.713591831626+47.7802127646289j
-64.5515559379192+98.6769986046206j,-43.11022067795+122.675523265386j,51.5555509857932+100.159908023373j,-24.9500544999944-73.5884334017366j,-60.0946767686208-9.46891370523595j,-57.8303402060726-188.928189163665j,-21.0092491568199+102.615763056311j,-26.627071823866-22.550704702437j,-53.9922424055752+63.8444417673771j,-53.6628803974462-84.6297872730788j
0.0131344960849855-117.654567749807j,17.510387573456-136.198190140248j,-75.1211321654086-58.4496130468363j,0.780064505992145-30.8240793056429j,-6.9515243712659+52.0538910572571j,59.4670151815273+226.076095332628j,198.48930991521-112.937334998204j,-79.1436073957876+41.0842219944856j,202.244740349561-37.7890028200642j,39.4932064815632+61.519157584402j
-56.9237670611494+129.133149357607j,-19.0156430841106+128.791002503146j,71.2064139460781+101.532069706963j,-34.1144243096013-94.4889176423988j,-49.809548281604-11.9109159068676j,-69.3281800933285-191.498617205069j,-21.3464920764682+133.770465433869j,-35.5553859427188-10.4823377000005j,-49.0627896760736+93.9470964030969j,-64.4218121273085-71.6507496726049j
-0.730045199609494-98.3475804031322j,-7.39312802887279-108.620290981287j,-79.2931123153262-11.106617862366j,23.1820148057507-48.6267655356133j,6.457825331728+56.0746590066914j,44.4615740632248+149.865793495038j,152.090292974019-93.2356348633354j,-66.2148172391919+18.2039819129397j,137.991831972791-21.5532532848043j,42.4037339069752+24.8074143181604j
-69.9424270711434+69.2970907444501j,-1.91805832554308+75.0478864614207j,52.8740210392437+18.1552271171398j,-60.6387144575352-38.3207929166802j,-83.0885808004957-9.10481188910188j,-20.322778945116-57.7547075063395j,53.2619321027757+56.5278526651665j,-47.3248500559732+21.4663355660356j,52.3799919500702+22.6990560077868j,-56.662335815425-18.9926421577804j
28.2930031765549-13.304990302539j,-11.677387055391-42.1772788917728j,-35.7468378378634+87.3631216164377j,37.1337635169605-130.436609455922j,52.9334289655121+43.8259648933684j,-32.8987002268241-6.62143175463221j,73.9621614919884+21.6392347577103j,-58.0448445258229-11.7064945780969j,32.2684594627545+88.1324064761212j,23.7450951533192-30.9090719919992j
-109.632960590771-16.5745925094902j,-10.0918835781116+13.3953419755916j,-5.82918138605404-70.9894086097093j,-58.3018759809428+50.4595377355965j,-129.87864186313+14.9312122026265j,68.3452645676075+84.0872483309073j,113.797946524284-73.9987239762389j,-50.1238791112893+45.0367857136729j,134.742227925446-103.457644773178j,-32.6975670523575+27.9850848931105j
67.8348037465067+53.9269522423712j,3.03984906241863-0.150938743925519j,24.507523838683+147.37640875634j,14.1789273053868-203.504799920669j,89.9231456501497+13.5740337266296j,-106.740216228537-102.810963452704j,43.9445441492952+129.378801646373j,-58.5346175124418-19.4069750700601j,-6.35820641967963+192.713856336089j,1.57819809643215-59.0540479737924j
