57.1957237318974+144.906983287987j,-20.7961718662004-49.187398125869j,48.0239890169178+111.52195791974j,5.85281913115107+36.0178728700799j,66.1032070961158+18.9435857298567j,85.563716687003-150.767287911054j,-120.426068094286+1.22646349728242j,-40.3282442735412-17.2913310058765j,298.640900309528-72.3440915150869j,88.6051108975691-78.8048063155464j
-86.935751400377+77.8740038144692j,33.4673753810427+125.398035617051j,9.24501834953179-116.463939550657j,-56.1149310810314+23.963863692877j,-89.4237696380837+46.7270330316479j,-43.1580330083896-16.0931006431188j,3.27469433379185-70.9328862302664j,-5.39854054307917-27.3610646434244j,-215.969388436543+81.9032851004133j,-101.17926879181+68.6967077371909j
-22.9393992444938+70.0105590517092j,20.8530554062675+46.2694132247731j,11.7177088375687+41.698070935831j,33.9978082971954-2.16037810218845j,42.5271299032091+56.6117383491407j,8.79288019092926-133.306062321388j,-65.144421831165+19.9483340274556j,-46.8327218580796-32.6054236503229j,117.464643771114-50.8936658904851j,28.5591528010623-50.8882609112299j
22.6202191045597+149.856552442873j,-29.1974461482704+25.8826320405482j,57.7011005802618-31.8639901881543j,-88.0755589755143+75.2245547814503j,-63.3811200355317-10.0117018587356j,44.5495887967738-42.5381345170401j,-69.1772257053483-74.1436626376613j,4.91347663835758-17.8780634038163j,-10.2315295194569-1.43307417683833j,-45.1525482868362+20.0865649004821j
-130.311155099039+21.1821647264138j,92.3432342142593+123.985220986887j,-39.1207921232895-38.9229103659505j,61.7669849768231-55.9003196571288j,25.4344435701927+118.79607077962j,-76.1399182164823-102.95762233465j,5.11938672916302+8.6726005845053j,-58.6199568843051-31.4416131975825j,-58.2746530062314+72.3016090398796j,-9.6851130085871+5.26694917954513j
106.027307489546+168.451419983486j,-84.4653781216779-13.8931488313575j,95.4427847638791+26.4180650136626j,-103.373797748722+121.215544700278j,-57.0738303568667-59.6127896150163j,104.761758422877-68.4859121271231j,-122.045236552469-49.4981428668373j,11.9043594780274-28.4139285253667j,93.1084776063194-125.810201238699j,-31.8293246935253-24.5410324017577j
-161.13260392369+32.4932071708592j,115.480542883998+119.839314599234j,-51.1318276990091-66.5392286884311j,63.6247849094-82.475439238942j,31.469379051687+142.2281753804j,-106.63031709755-91.2390451131741j,26.9660166597366-16.9246714557419j,-59.0032341419804-12.6089245974835j,-69.9145081021593+153.479426629381j,0.455217002167362+24.0554154910395j
80.1956232833673+140.324919216185j,-59.6047445329069+25.8143390534507j,71.855456333165+21.2206242537985j,-92.2584203575428+123.237136482515j,-67.3659895460675-47.7066724226799j,98.6098400985121-58.7911955609739j,-111.252165695225-30.7647549127418j,2.7071209909494-49.1623822279434j,21.2954774453827-128.536727618176j,-56.691604481996-7.33230503167118j
-77.8057816060284+63.5345901916143j,46.8046484170728+60.0033509017184j,7.22834709021412-37.13693660041j,46.199385575448-58.5239681903984j,41.1467098721437+96.6489312683439j,-75.7819425385795-124.429216316717j,-12.4730701084177-16.7488088114049j,-43.3881780576961+6.27854750824641j,54.2808338978354+63.0602541853622j,27.1690223264496-26.7804688426936j
-34.4309923432571+121.968899282806j,43.1974386725538+85.0093238886205j,-13.2134953004998-21.6238296158176j,-73.0978394379727+80.8049441310618j,-67.5141758582068+23.0851133474089j,50.2833357169968-7.15854361190316j,-57.8564443530108-49.9693191433902j,-17.1186436129393-60.1682194197992j,-111.945359140816+42.2701328753233j,-72.9388408184535+67.6047490839282j
44.9313538123289+63.7249325232842j,-62.4802125010116+16.9862138500342j,100.653121323944+4.95740352523741j,31.5909105442344-7.8034810733162j,31.8868320988448+17.258849778067j,-29.6114740584932-183.045805671555j,-65.3074428498487+20.9333704651668j,-26.1383012762117+8.95957892986296j,155.414559235539-150.608896271618j,25.2436069942783-106.548931636189j
