0.148492043932959+108.337527281246j,-75.4953601724937-44.2992649545062j,55.8623823237753-73.0405665486878j,-20.8427462985685+76.1061572981894j,-24.1014244440401+89.7647733314217j,-58.2917986272872+115.819697585369j,-36.178982172554-15.0374918797971j,-140.932038553917-48.1424855233872j,-0.525895320443553+78.1465706754716j,36.9321900791253-30.0620086632892j
-69.9841202140714-7.05427723362286j,48.0637027816854-14.6064774405874j,-42.952117863053-4.3861840164411j,36.072111910991-32.4834909617891j,-46.1237240500082-111.049195407439j,70.7093362801155-49.360514863887j,16.1414715497478+45.1495220608245j,9.32803771754569+47.4390973922263j,-89.4661598361668-44.1313267000036j,99.9533605741961-83.8387913057996j
-3.32999910649956+62.6308907001123j,5.5659472284703+33.8151255471394j,26.7544954479784-51.6073433489157j,-36.4423265395529+77.5309846636173j,-60.6585004535963+2.27873221419016j,-18.5165347701441-3.91240951302171j,-34.1345750449102-33.0503021573267j,-125.208242961422-3.74940480822635j,28.4748500331114+29.809390655356j,68.8292519700121-73.2457534604476j
-52.9944343539409+38.6371671052355j,-51.8477547290411-87.1119100012805j,-23.1925871215404-42.9715849965411j,45.4614366569277-34.1772807391559j,5.47062477483358-15.4895966621783j,39.2400766618888+94.2298201796084j,28.4213563345006+65.238856577887j,-22.9193867467543+4.06823186534912j,-112.925961465049+13.9873667595494j,64.8426495117982-25.8785603891322j
-25.4809980105889+30.1168975376184j,100.257827326339+83.3478383919158j,20.5451238155614-7.57246513535534j,-34.7060442030845+78.0529766296033j,-116.015925130689-75.5552413704357j,-3.59381733654112-137.714822580512j,-58.197196151215-46.5661331684668j,-84.1134483931314+32.1206122162021j,41.9084450992622-23.4658249135572j,92.9071725737487-137.138732867737j
-31.6572655113506+53.1636828314561j,-117.625247294024-105.682932697016j,-33.9609046505009-78.6792236113913j,33.0890707655511-32.3002972100238j,45.4842521008829+30.558149403458j,40.7418916344203+184.051009008037j,59.2020063610619+66.5012246241934j,-60.5200169571725-13.2503089776253j,-115.06741897581+53.072586042923j,52.988146594446+23.2085764862805j
-34.5731224700058+36.9571638875142j,118.108486105237+73.0325146812495j,41.2797744396548+8.4441366669707j,-12.0184419509201+72.6073509436882j,-126.676288452131-80.462178814025j,-12.0538624421582-162.018717383013j,-86.8963346910688-32.7834687743763j,-60.7626370616086+33.8589528838195j,36.4634739491-37.8132411863345j,88.3231585318781-162.682081839209j
-38.1168962537532+31.709580762187j,-81.6565185064701-77.3332997287006j,-58.3396400143263-68.8806035600399j,5.47366659547006-23.7504812564296j,15.6011780635303+1.58377768985759j,43.7011073864287+135.725949364209j,78.7967311540049+40.4241740227378j,-60.9659863058156+0.422388160208897j,-107.187046015353+43.0514973476776j,64.5244398225026+13.0347211996029j
-8.83639529467208+66.3849737495745j,35.2646634008273+41.0513611850237j,57.2419826027099-25.6484169165602j,16.9104859439534+62.2671774204488j,-59.1322586470625-27.9206918199303j,2.20881337743966-54.2622950972267j,-91.5488484120166-0.0148951375088586j,-84.1002927839145+17.0986697525463j,32.4900338226269-5.62229661506397j,73.0437969328641-122.672445575152j
-75.8009816989287+6.46349104592792j,27.0280983103885-54.8238274335588j,-60.8778879146753-18.5347483680539j,-18.5107355997327-14.5583008616765j,-79.2644257090219-54.6705710581792j,8.50050832888594-5.75399700634114j,68.5049488299643+9.39940585421903j,-18.2388282250552+15.4420071144925j,-110.182514756308+1.24178373097597j,71.9532153420689-52.0257719316993j
34.3396715506958+81.2735735962398j,-72.1362577608939+34.6110784918269j,41.5676946233502-79.3341052431302j,33.9777811562964+56.9486223895977j,40.4422971386574+19.3846096329018j,53.277557019972+85.7432451131158j,-69.3597274674793+22.4068901588461j,-134.430948651189+14.7829905188384j,42.9783876748267+35.3894645270243j,72.7268967376372-52.7204973870921j
-110.519439100969+8.02652261053042j,104.585224294579-63.0139964266558j,-32.8206732242959+25.3206040699656j,-25.9798396713874-15.8048411373068j,-161.196739581658-80.6933220821704j,-43.4237744322876-113.18589990451j,42.4341853060584+0.432666558087341j,27.0552291919588+6.84807650742422j,-123.685516034594-24.4956311317195j,61.6318436335857-114.254048347264j
53.4365212069184+66.4272394510088j,-100.203489234365+48.3525747627628j,7.17761161857028-102.879153427936j,34.2716274474388+65.3190631847451j,82.0669687994475+25.6432803647357j,87.2878230470752+137.541525174494j,-47.0763265012407+18.2771266598093j,-161.345400314656+35.7176096478689j,53.6815380885097+40.2420181370245j,83.55752707996-17.2717475269043j
-105.582216751399+32.5576170616341j,75.1067108417527-69.8574201324885j,-5.12574830254274+24.6796853284533j,-20.390975253841-30.4456210576815j,-152.57014797714-70.3765968106162j,-41.5562574020166-103.916685377133j,31.7570897874552+13.9115139808328j,28.8922434450955-15.5635668440405j,-124.246246470031-4.09592392842676j,53.6536443353848-119.717922938365j
27.7556962762829+42.1505282852976j,-21.3524061603769+37.0765042452426j,-6.6984012898728-80.6883816337225j,27.7082077474624+82.7315538535138j,22.5791270688226+11.9271576287617j,40.7683248137216+75.5879205630699j,-50.6770331707795+3.0142468381518j,-136.284787699299+55.4917238071436j,40.3199834025421+1.39178423746716j,76.6042971371552-45.5755899354868j
-63.0072573285085+51.0364569704568j,-33.8382152561247-35.7438304142726j,-12.4739453256361-9.85804702210911j,-14.6276619020158-46.4947448137878j,-57.9015710741752-60.4245568458901j,46.5961745099041-12.0593372587281j,49.2222473740403+23.6321608580627j,-15.7353755715643-21.7907547260874j,-96.0406488803622+46.3705000925396j,74.6024865038734-70.9384908388801j
-17.8315150468699+35.9079283449349j,90.2224950651611-15.8882090470411j,18.300546936441-45.4271901833648j,26.2138663139734+92.3876568198934j,-85.593764706838+14.4042449865331j,-71.7668906718684-20.4861852253501j,-75.730608929217+5.17331559951849j,-82.4910387085092+49.5170724973785j,2.54686246200809-47.0324297965283j,38.7256031516796-105.221651447571j
-23.9044611522704+46.9373709955838j,-122.657140554706+23.3210123232479j,-50.0183488997407-34.1845112788515j,-16.5092529569001-46.535744388141j,35.5641597707619-71.4926546164967j,157.340747463824+63.0875312361663j,74.5837859940063+7.86387911784737j,-64.2048669108392-1.94112312306844j,-56.431612139979+85.0869115973719j,117.092910915521-20.1231954822881j
-37.4611027623328+47.8584112693429j,137.122758803006-63.5006471281689j,54.4588427111548-38.9159799229876j,32.0126669498956+80.9734820735235j,-143.235118538798+29.7045096529269j,-150.881635473489-61.0350370644564j,-92.4337085690991+32.6477856773404j,-49.6220770758514+26.9875685912805j,-28.1571779655983-67.5079270180998j,-1.77694091820872-139.352739240088j
-25.9165726201611+36.1939987443832j,-122.025554331508+42.3013540460845j,-74.8227951481117-21.3197986928658j,-23.1471106596305-25.2439458452209j,42.7959672366912-77.1324513319785j,181.366525176586+65.4205276868947j,77.6827765102149-24.8226850713929j,-73.9359686485293+17.7881410363076j,-42.4365490844295+88.8321577348267j,138.768281884106-13.1253402168511j
-12.3366258488549+51.8168769989776j,94.8904943057152-43.3495814019276j,56.35035266804-65.7620932781123j,39.2113382729319+53.0367333261954j,-101.556381025019+18.427442903236j,-108.427066084654-35.1395007944357j,-79.5582944555881+63.0023481757198j,-61.4969823761304+23.0649476178918j,-20.3198856077938-56.2858274362502j,-0.765728497447753-124.7148508304j
-63.8652855572219+45.7940526774417j,-55.5750498907853-16.8945843498056j,-52.9107907463733+10.6698692577811j,-28.521211920574+3.70242614582638j,-36.9742064306972-40.8354427959757j,78.6764077740234+25.8987591410857j,52.7097088606319-45.1457383353728j,-45.7253868215866+4.77324654305429j,-69.795185542684+72.3692995347033j,107.712061292433-46.2496491772306j
30.2405941218414+29.8931025291599j,24.5937188759247+42.7097095356045j,12.2809750013028-92.0658840545746j,44.2387436192406+28.1469207597174j,-6.17688264161512-37.0044157723228j,32.8568359700216+0.509382478552848j,-48.3979066000525+69.3408698972034j,-94.2609026007551+56.5428551692494j,20.0213939632718-40.1863476651081j,50.1463196348105-88.1584220435056j
-96.5446777018898+77.5050535351651j,-1.13266889494214-108.392721051955j,0.826450975510768+23.6985023451603j,-32.8626625396182+19.7271977501364j,-125.970376341962+25.5640626023196j,-67.9688366066083+4.04744917828222j,24.437976278508-37.1323131071438j,-18.2099597180861-38.5765886295476j,-110.868368997861+64.9320721423383j,43.9325539260386-79.8146200879285j
47.2211497851632-1.83226360689304j,-3.15997784182897+114.288851700995j,-39.9436443142877-88.1940251890518j,50.792283267274+22.6936612392105j,55.3490577074976-94.4989083942002j,150.055674479268+5.20757008051921j,-29.4274169134647+51.7565043870653j,-106.773660733636+102.895254555988j,50.2435269689663-41.2402984974438j,106.01908817189-68.8790204360143j
-91.3250511006891+101.693672028371j,-2.25345511390332-138.171446182002j,36.3196226635395+6.14080839897078j,-41.4544183553276+14.6972408231012j,-150.68643156747+59.489205816763j,-127.25765864149+8.60418058859558j,19.5530610857939-17.0504508846484j,-22.6245010773557-71.7159229231044j,-119.366898145225+74.8378977135459j,6.15105163198605-87.1008540249444j
25.2108426340844-9.25931280668663j,18.2936044249111+90.1365972762437j,-52.4672036133009-63.9621449914925j,63.0141772708205+34.7178852268564j,41.9451357881077-88.8680577554885j,138.228366558499+2.63619239915338j,-37.3090851944469+37.7042560533701j,-86.4381409066726+117.001100976777j,33.1918181114291-52.6224433358277j,110.165578309611-74.1655648480244j
-56.8818472260362+90.8487132286179j,-31.3419185461816-61.8923703031761j,21.8819801704702-14.4807228538227j,-54.7487655470028-0.20098556760727j,-110.388984766493+13.7842194069092j,-48.5164859691494-4.5086485190947j,36.2805652352986-14.9977214064903j,-50.438039916039-58.3538100180365j,-77.8205290795089+84.0248636156029j,33.0888360031932-80.2085681349519j
-8.86505078804253+19.0356922938453j,40.6237063369302-22.6428575754401j,-18.9938880369007-54.9727292324968j,76.2882050073606+47.0656030568373j,-11.025627366211-7.89788708800443j,14.0444081421617+37.2711566982468j,-54.5984231188488+50.4858628752119j,-58.6191013254303+82.6764651638299j,-23.746833699343-52.7684479919138j,53.1819689283636-79.1810247565808j
-29.2936769791167+54.4542287384318j,-38.7335427341221+61.6307421669684j,-21.6847237175111-6.82831302587517j,-63.4803754986305-6.52308912289565j,-62.1716818517522-81.2913633158791j,89.6408600166262-59.4392740208694j,47.182829571195-40.1017709623945j,-68.9239252911955-8.04435342242811j,-16.7033949668038+76.229170678093j,101.497399864565-85.9821502289537j
-21.1925867290508+54.2290247866961j,31.3530113064824-127.997331335399j,18.8842599748011-77.2939055746949j,78.9455521122702+44.7475612400265j,-44.1990997090432+80.4741231622105j,-104.093048481088+99.0536415751649j,-52.6452534726823+82.0559513375513j,-51.972660583664+33.3394167033989j,-75.2493136636884-37.5016700284515j,-14.8142396686053-66.047369128143j
-29.9719952789553+32.9801738484202j,-20.5024472671837+124.406307403818j,-44.3786370618708+23.8677720696818j,-57.0489329939593+3.76872771737464j,-49.4608193794325-136.493199921491j,161.385574798945-110.239823818602j,31.5053929814686-69.4822776141391j,-63.1158375906725+30.8978970070309j,16.1375734316682+61.7310963036288j,147.722592638187-105.955897341393j
